gene_id	pfam_ids	go_ids	bin_id
gene-B0T19DRAFT_394994	PF00620.33	GO:0007165	3
gene-B0T19DRAFT_8	PF07366.19	GO:0030638	2
gene-B0T19DRAFT_6	PF20684.4	NA	100
gene-B0T19DRAFT_451879	PF00743.26,PF07992.21	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene-B0T19DRAFT_405612	PF20150.5	NA	100
gene-B0T19DRAFT_451883		NA	100
gene-B0T19DRAFT_113		NA	100
gene-B0T19DRAFT_446888	PF04261.19,PF20628.4	NA	100
gene-B0T19DRAFT_118	PF01183.27	GO:0003796,GO:0009253,GO:0016998	8
gene-B0T19DRAFT_405615		NA	100
gene-B0T19DRAFT_405616		NA	100
gene-B0T19DRAFT_198	PF03031.25	NA	100
gene-B0T19DRAFT_352011		NA	100
gene-B0T19DRAFT_340	PF00478.32,PF03060.22	GO:0003824	8
gene-B0T19DRAFT_395007		NA	100
gene-B0T19DRAFT_191	PF01619.25	NA	100
gene-B0T19DRAFT_190	PF08617.16	NA	100
gene-B0T19DRAFT_514	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0T19DRAFT_395011	PF04667.23	NA	100
gene-B0T19DRAFT_451899	PF07690.22	GO:0022857,GO:0055085	6
gene-B0T19DRAFT_405642	PF30933.1,PF30934.1	NA	100
gene-B0T19DRAFT_395014	PF20684.4	NA	100
gene-B0T19DRAFT_t1		NA	100
gene-B0T19DRAFT_436012	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-B0T19DRAFT_733	PF01885.23	GO:0016740	8
gene-B0T19DRAFT_405658	PF00106.32,PF13561.13	NA	100
gene-B0T19DRAFT_405659	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-B0T19DRAFT_405661		NA	100
gene-B0T19DRAFT_470459	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_350465	PF24883.3	NA	100
gene-B0T19DRAFT_405670	PF00004.36,PF22942.2	GO:0005524,GO:0016887	8
gene-B0T19DRAFT_881	PF07690.22	GO:0022857,GO:0055085	6
gene-B0T19DRAFT_446910	PF00069.32,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_349174	PF01625.29	GO:0008113	8
gene-B0T19DRAFT_405681	PF01027.27	NA	100
gene-B0T19DRAFT_436023	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_959		NA	100
gene-B0T19DRAFT_953		NA	100
gene-B0T19DRAFT_996	PF00027.36,PF00027.36,PF00646.39,PF12937.13,PF13516.13,PF16643.11,PF25372.2	GO:0005515	100
gene-B0T19DRAFT_t52		NA	100
gene-B0T19DRAFT_405690	PF00293.35	NA	100
gene-B0T19DRAFT_451958		NA	100
gene-B0T19DRAFT_1032	PF26061.1	NA	100
gene-B0T19DRAFT_1031		NA	100
gene-B0T19DRAFT_1024	PF14420.12	NA	100
gene-B0T19DRAFT_1054	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0T19DRAFT_1071	PF11374.14	NA	100
gene-B0T19DRAFT_451966	PF00144.30	NA	100
gene-B0T19DRAFT_405704		NA	100
gene-B0T19DRAFT_470475		NA	100
gene-B0T19DRAFT_436036		NA	100
gene-B0T19DRAFT_1230		NA	100
gene-B0T19DRAFT_446919	PF00144.30,PF26335.1	NA	100
gene-B0T19DRAFT_446920	PF00026.29,PF14543.12	NA	100
gene-B0T19DRAFT_1292	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_1339	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_1658	PF15892.12	NA	100
gene-B0T19DRAFT_t51		NA	100
gene-B0T19DRAFT_1545	PF03169.21	GO:0035673	6
gene-B0T19DRAFT_1750		NA	100
gene-B0T19DRAFT_479971	PF05175.21,PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	GO:0008168,GO:0008757	8
gene-B0T19DRAFT_1680		NA	100
gene-B0T19DRAFT_395048		NA	100
gene-B0T19DRAFT_1756	PF06985.18	NA	100
gene-B0T19DRAFT_1778		NA	100
gene-B0T19DRAFT_395051	PF30669.1	NA	100
gene-B0T19DRAFT_405739	PF09494.17	GO:0005634,GO:0006260,GO:0006281,GO:0033557	3
gene-B0T19DRAFT_436049		NA	100
gene-B0T19DRAFT_405744	PF00875.25,PF03441.20	NA	100
gene-B0T19DRAFT_452004		NA	100
gene-B0T19DRAFT_470487		NA	100
gene-B0T19DRAFT_436053		NA	100
gene-B0T19DRAFT_395056	PF25534.1	NA	100
gene-B0T19DRAFT_436055	PF01965.31	NA	100
gene-B0T19DRAFT_470489	PF00400.39,PF00400.39,PF23098.2	GO:0005515	100
gene-B0T19DRAFT_1859	PF09732.15,PF10312.15	GO:0005515	100
gene-B0T19DRAFT_1899	PF00250.25	GO:0003700,GO:0006355,GO:0043565	3
gene-B0T19DRAFT_446932	PF00295.24	GO:0004650,GO:0005975	8
gene-B0T19DRAFT_2186	PF09302.17,PF21928.2	GO:0005634,GO:0006302	3
gene-B0T19DRAFT_2202		NA	100
gene-B0T19DRAFT_446935	PF20684.4	NA	100
gene-B0T19DRAFT_405781		NA	100
gene-B0T19DRAFT_405783	PF00201.25,PF06722.19	GO:0008194	8
gene-B0T19DRAFT_452035		NA	100
gene-B0T19DRAFT_395066	PF10186.15,PF17649.7	GO:0034272	100
gene-B0T19DRAFT_2370		NA	100
gene-B0T19DRAFT_395068		NA	100
gene-B0T19DRAFT_351766	PF20253.4	NA	100
gene-B0T19DRAFT_t50		NA	100
gene-B0T19DRAFT_376870	PF00107.33,PF08240.18	NA	100
gene-B0T19DRAFT_446938	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-B0T19DRAFT_349001	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-B0T19DRAFT_395074		NA	100
gene-B0T19DRAFT_436073		NA	100
gene-B0T19DRAFT_395076		NA	100
gene-B0T19DRAFT_470503		NA	100
gene-B0T19DRAFT_436076		NA	100
gene-B0T19DRAFT_395079	PF20150.5	NA	100
gene-B0T19DRAFT_405798	PF07173.18	NA	100
gene-B0T19DRAFT_2526		NA	100
gene-B0T19DRAFT_2501		NA	100
gene-B0T19DRAFT_446941	PF00171.28	GO:0016491	8
gene-B0T19DRAFT_405806	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-B0T19DRAFT_395084		NA	100
gene-B0T19DRAFT_395085	PF20150.5	NA	100
gene-B0T19DRAFT_479995	PF20150.5	NA	100
gene-B0T19DRAFT_470508	PF00732.26,PF05199.20,PF13450.13	GO:0016614,GO:0050660	8
gene-B0T19DRAFT_452053	PF20684.4	NA	100
gene-B0T19DRAFT_405809		NA	100
gene-B0T19DRAFT_436090	PF20684.4	NA	100
gene-B0T19DRAFT_405813		NA	100
gene-B0T19DRAFT_446945		NA	100
gene-B0T19DRAFT_446946	PF07335.17	GO:0016977	8
gene-B0T19DRAFT_436092	PF05730.17	NA	100
gene-B0T19DRAFT_2628	PF28293.1,PF28293.1	NA	100
gene-B0T19DRAFT_405815		NA	100
gene-B0T19DRAFT_405818	PF00501.35,PF13193.13	NA	100
gene-B0T19DRAFT_t2		NA	100
gene-B0T19DRAFT_436095	PF04479.19	GO:0016020	100
gene-B0T19DRAFT_349543	PF00168.37,PF00387.26,PF00388.26	GO:0004435,GO:0006629,GO:0007165,GO:0035556	3
gene-B0T19DRAFT_376905	PF00083.31,PF07690.22,PF12832.14	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_2713		NA	100
gene-B0T19DRAFT_376908	PF12955.14	NA	100
gene-B0T19DRAFT_405826	PF15458.12	GO:0000390,GO:0071008	100
gene-B0T19DRAFT_436100		NA	100
gene-B0T19DRAFT_436101	PF00581.26	NA	100
gene-B0T19DRAFT_2825		NA	100
gene-B0T19DRAFT_2815	PF00656.28,PF31181.1	GO:0004197,GO:0006508	5
gene-B0T19DRAFT_452078	PF00397.33	GO:0005515	100
gene-B0T19DRAFT_480012	PF00756.27	NA	100
gene-B0T19DRAFT_470526		NA	100
gene-B0T19DRAFT_436108	PF05730.17,PF20684.4	NA	100
gene-B0T19DRAFT_470528	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_405846	PF01544.24,PF26616.1	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-B0T19DRAFT_405850		NA	100
gene-B0T19DRAFT_363532	PF00457.25	NA	100
gene-B0T19DRAFT_3042	PF00324.28,PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_470534		NA	100
gene-B0T19DRAFT_3079		NA	100
gene-B0T19DRAFT_395116		NA	100
gene-B0T19DRAFT_3119		NA	100
gene-B0T19DRAFT_470537	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-B0T19DRAFT_452117	PF20238.5	NA	100
gene-B0T19DRAFT_3142	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_3220		NA	100
gene-B0T19DRAFT_3185	PF00248.28	NA	100
gene-B0T19DRAFT_3333		NA	100
gene-B0T19DRAFT_446965	PF00128.32,PF09260.19	GO:0005509,GO:0005975,GO:0016052	8
gene-B0T19DRAFT_3363	PF00128.32,PF08323.18,PF13692.13,PF26108.1,PF26111.1,PF26114.1,PF26122.1,PF26127.1,PF26775.1	GO:0005975	8
gene-B0T19DRAFT_376947	PF27522.2	NA	100
gene-B0T19DRAFT_436128	PF00501.35,PF13193.13	NA	100
gene-B0T19DRAFT_3479	PF26733.1	NA	100
gene-B0T19DRAFT_452130	PF02535.29,PF02535.29	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-B0T19DRAFT_405905		NA	100
gene-B0T19DRAFT_452137	PF05057.22,PF24883.3	NA	100
gene-B0T19DRAFT_452139		NA	100
gene-B0T19DRAFT_436135		NA	100
gene-B0T19DRAFT_470551		NA	100
gene-B0T19DRAFT_t3		NA	100
gene-B0T19DRAFT_t4		NA	100
gene-B0T19DRAFT_405919	PF13409.13,PF13417.13,PF22041.2	NA	100
gene-B0T19DRAFT_489162	PF22244.3	NA	100
gene-B0T19DRAFT_480037		NA	100
gene-B0T19DRAFT_470556	PF16010.11	NA	100
gene-B0T19DRAFT_3600	PF24883.3	NA	100
gene-B0T19DRAFT_3631		NA	100
gene-B0T19DRAFT_452150		NA	100
gene-B0T19DRAFT_436144		NA	100
gene-B0T19DRAFT_405930		NA	100
gene-B0T19DRAFT_t5		NA	100
gene-B0T19DRAFT_349851	PF10310.16	NA	100
gene-B0T19DRAFT_351418		NA	100
gene-B0T19DRAFT_351146	PF06985.18,PF26640.1	NA	100
gene-B0T19DRAFT_3691		NA	100
gene-B0T19DRAFT_349653	PF20684.4	NA	100
gene-B0T19DRAFT_3743	PF00561.27,PF12146.16,PF12697.14	NA	100
gene-B0T19DRAFT_405940	PF00238.25	GO:0003735,GO:0005840,GO:0006412	4
gene-B0T19DRAFT_3841	PF01966.29	NA	100
gene-B0T19DRAFT_446977		NA	100
gene-B0T19DRAFT_3866		NA	100
gene-B0T19DRAFT_351385	PF20684.4	NA	100
gene-B0T19DRAFT_395153	PF00891.25	GO:0008171	8
gene-B0T19DRAFT_3912	PF01565.29	GO:0050660	100
gene-B0T19DRAFT_3924	PF00743.26,PF07992.21,PF13450.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene-B0T19DRAFT_436158		NA	100
gene-B0T19DRAFT_405956	PF06985.18,PF26639.1	NA	100
gene-B0T19DRAFT_405957		NA	100
gene-B0T19DRAFT_3992		NA	100
gene-B0T19DRAFT_405961	PF05630.17	NA	100
gene-B0T19DRAFT_352233	PF00390.25,PF03949.22	GO:0004470,GO:0016616,GO:0051287	8
gene-B0T19DRAFT_4045	PF08939.16	NA	100
gene-B0T19DRAFT_4049		NA	100
gene-B0T19DRAFT_452191		NA	100
gene-B0T19DRAFT_452195	PF11915.14,PF11915.14	NA	100
gene-B0T19DRAFT_470577		NA	100
gene-B0T19DRAFT_470578		NA	100
gene-B0T19DRAFT_4165	PF01266.31,PF01593.31,PF13450.13	GO:0016491	8
gene-B0T19DRAFT_405978		NA	100
gene-B0T19DRAFT_452203	PF00909.27,PF00909.27,PF00909.27	GO:0008519,GO:0016020,GO:0072488	6
gene-B0T19DRAFT_489175	PF00389.37,PF02826.26	GO:0016616,GO:0051287	8
gene-B0T19DRAFT_452218		NA	100
gene-B0T19DRAFT_470583	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-B0T19DRAFT_4192	PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
gene-B0T19DRAFT_4212	PF00703.28,PF17753.8,PF17786.8,PF22666.3	GO:0004553,GO:0005975	8
gene-B0T19DRAFT_436176	PF00107.33,PF08240.18	NA	100
gene-B0T19DRAFT_t49		NA	100
gene-B0T19DRAFT_4256		NA	100
gene-B0T19DRAFT_350504	PF27239.2	NA	100
gene-B0T19DRAFT_4300	PF09731.15	NA	100
gene-B0T19DRAFT_452232	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
gene-B0T19DRAFT_446995	PF02383.24	GO:0016791	8
gene-B0T19DRAFT_4366	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_406011	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
gene-B0T19DRAFT_446998		NA	100
gene-B0T19DRAFT_t48		NA	100
gene-B0T19DRAFT_4472		NA	100
gene-B0T19DRAFT_4505	PF10680.15	NA	100
gene-B0T19DRAFT_4503	PF00533.34,PF06732.17	GO:0005730,GO:0042254	100
gene-B0T19DRAFT_406018	PF06728.20	GO:0016020,GO:0016255,GO:0042765	8
gene-B0T19DRAFT_4523		NA	100
gene-B0T19DRAFT_406019	PF10568.16	GO:0001401	100
gene-B0T19DRAFT_4534	PF01476.27,PF01476.27,PF01476.27,PF30480.1	NA	100
gene-B0T19DRAFT_406050		NA	100
gene-B0T19DRAFT_4650		NA	100
gene-B0T19DRAFT_406053	PF00133.29,PF08264.20,PF09334.18	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-B0T19DRAFT_406055	PF00270.36,PF00270.36,PF00271.38	GO:0003676,GO:0005524	4
gene-B0T19DRAFT_406057	PF09184.17	GO:0019888,GO:0030289	100
gene-B0T19DRAFT_4686	PF13476.13	GO:0006302,GO:0016887	3
gene-B0T19DRAFT_350311	PF00320.34,PF00989.32,PF08447.19,PF14598.13	GO:0005515,GO:0006355,GO:0043565	4
gene-B0T19DRAFT_395194	PF24845.2	NA	100
gene-B0T19DRAFT_4851	PF01565.29,PF02913.25	GO:0003824,GO:0050660	8
gene-B0T19DRAFT_4882	PF06423.19	GO:0006506,GO:0016020,GO:0016746	8
gene-B0T19DRAFT_4890		NA	100
gene-B0T19DRAFT_4905		NA	100
gene-B0T19DRAFT_350731	PF13641.13	NA	100
gene-B0T19DRAFT_4990		NA	100
gene-B0T19DRAFT_4984		NA	100
gene-B0T19DRAFT_5013		NA	100
gene-B0T19DRAFT_351283		NA	100
gene-B0T19DRAFT_5040	PF01425.27	NA	100
gene-B0T19DRAFT_480095	PF14420.12,PF24465.2,PF24465.2,PF24962.2	NA	100
gene-B0T19DRAFT_436207	PF00096.33	NA	100
gene-B0T19DRAFT_5291	PF00096.33,PF00096.33	NA	100
gene-B0T19DRAFT_377089	PF00225.30,PF13931.12,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
gene-B0T19DRAFT_447017	PF03676.20,PF03676.20	NA	100
gene-B0T19DRAFT_348758	PF28296.1	NA	100
gene-B0T19DRAFT_5359		NA	100
gene-B0T19DRAFT_351645	PF10607.15,PF13445.13	NA	100
gene-B0T19DRAFT_480101	PF25995.1,PF28231.1	NA	100
gene-B0T19DRAFT_363713		NA	100
gene-B0T19DRAFT_406151	PF00152.26,PF01336.32	GO:0000166,GO:0003676,GO:0004812,GO:0005524,GO:0006418	4
gene-B0T19DRAFT_395211		NA	100
gene-B0T19DRAFT_5534	PF15406.13	NA	100
gene-B0T19DRAFT_377113	PF00171.28	GO:0016491	8
gene-B0T19DRAFT_351949	PF16862.11	NA	100
gene-B0T19DRAFT_452287		NA	100
gene-B0T19DRAFT_5711	PF00072.31,PF02518.32,PF26131.1	GO:0000160	3
gene-B0T19DRAFT_377125	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_t6		NA	100
gene-B0T19DRAFT_406176	PF03372.30	GO:0003824	8
gene-B0T19DRAFT_395219	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF23098.2,PF25175.2	GO:0005515	100
gene-B0T19DRAFT_395220	PF09341.16	NA	100
gene-B0T19DRAFT_5763	PF00102.33,PF00782.26,PF14671.12,PF22741.2,PF22785.2	GO:0004725,GO:0006470,GO:0016311	8
gene-B0T19DRAFT_5808		NA	100
gene-B0T19DRAFT_5830		NA	100
gene-B0T19DRAFT_t47		NA	100
gene-B0T19DRAFT_t46		NA	100
gene-B0T19DRAFT_5847	PF01370.28,PF07993.19,PF16363.12	NA	100
gene-B0T19DRAFT_5870	PF00787.30	GO:0035091	100
gene-B0T19DRAFT_406188	PF00106.32,PF08659.17,PF13460.13,PF13561.13	NA	100
gene-B0T19DRAFT_406193		NA	100
gene-B0T19DRAFT_447035	PF00005.34,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene-B0T19DRAFT_t45		NA	100
gene-B0T19DRAFT_447036	PF00646.39,PF12937.13	GO:0005515	100
gene-B0T19DRAFT_406207	PF10263.16	NA	100
gene-B0T19DRAFT_406208		NA	100
gene-B0T19DRAFT_6051	PF01204.25,PF22422.3	GO:0004555,GO:0005991	8
gene-B0T19DRAFT_6068	PF00169.36,PF01412.24,PF16746.11	GO:0005096,GO:0005515,GO:0005737	100
gene-B0T19DRAFT_350070	PF00122.26,PF00403.33,PF00403.33,PF00403.33,PF00403.33,PF00702.33,PF08282.19	GO:0046872	100
gene-B0T19DRAFT_452361	PF01399.34,PF22061.3	NA	100
gene-B0T19DRAFT_6115	PF00615.25,PF27892.1	NA	100
gene-B0T19DRAFT_350806	PF01198.25	GO:0003735,GO:0005840,GO:0006412	4
gene-B0T19DRAFT_447043	PF00179.32	NA	100
gene-B0T19DRAFT_395238	PF00069.32,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
gene-B0T19DRAFT_6324	PF00916.27	GO:0016020	100
gene-B0T19DRAFT_6321		NA	100
gene-B0T19DRAFT_6355	PF00566.26,PF23436.2	NA	100
gene-B0T19DRAFT_6391	PF28404.1	NA	100
gene-B0T19DRAFT_351991	PF03006.27	GO:0016020	100
gene-B0T19DRAFT_6398	PF09766.15	NA	100
gene-B0T19DRAFT_6425		NA	100
gene-B0T19DRAFT_351815	PF13632.13	NA	100
gene-B0T19DRAFT_395244	PF01965.31	NA	100
gene-B0T19DRAFT_351219	PF00254.35	GO:0003755	8
gene-B0T19DRAFT_6480		NA	100
gene-B0T19DRAFT_6491		NA	100
gene-B0T19DRAFT_489243	PF10236.16	NA	100
gene-B0T19DRAFT_436252	PF04939.18	GO:0005515,GO:0005634,GO:0042254	100
gene-B0T19DRAFT_352244	PF00620.33	GO:0007165	3
gene-B0T19DRAFT_406268	PF00432.28	GO:0003824	8
gene-B0T19DRAFT_452411		NA	100
gene-B0T19DRAFT_6581	PF00488.28,PF01624.26,PF05188.24,PF05192.24	GO:0005524,GO:0006298,GO:0030983	3
gene-B0T19DRAFT_6608	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-B0T19DRAFT_406282		NA	100
gene-B0T19DRAFT_406283		NA	100
gene-B0T19DRAFT_406287	PF01557.24	GO:0003824	8
gene-B0T19DRAFT_6893	PF01485.28	GO:0008270	100
gene-B0T19DRAFT_406295	PF12223.14	NA	100
gene-B0T19DRAFT_6929		NA	100
gene-B0T19DRAFT_6940	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-B0T19DRAFT_406301		NA	100
gene-B0T19DRAFT_470670		NA	100
gene-B0T19DRAFT_480152	PF01370.28,PF04321.24	NA	100
gene-B0T19DRAFT_7023	PF01115.23	GO:0008290,GO:0051016	100
gene-B0T19DRAFT_363836	PF03901.24	GO:0016757	8
gene-B0T19DRAFT_7043		NA	100
gene-B0T19DRAFT_406319	PF11700.15	NA	100
gene-B0T19DRAFT_7107	PF00201.25,PF03033.27,PF06722.19	GO:0005975,GO:0008194,GO:0016758	8
gene-B0T19DRAFT_470677	PF05368.20,PF13460.13	NA	100
gene-B0T19DRAFT_7135	PF03403.20	NA	100
gene-B0T19DRAFT_7154		NA	100
gene-B0T19DRAFT_7159	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-B0T19DRAFT_7168	PF08101.17	NA	100
gene-B0T19DRAFT_7196		NA	100
gene-B0T19DRAFT_452441	PF03167.26	NA	100
gene-B0T19DRAFT_395274		NA	100
gene-B0T19DRAFT_395275	PF00933.28,PF01915.28,PF07691.18,PF14310.13	GO:0004553,GO:0005975	8
gene-B0T19DRAFT_377258	PF00815.26,PF01502.24,PF01503.23	GO:0000105,GO:0004635,GO:0016616,GO:0046872,GO:0051287	8
gene-B0T19DRAFT_7481	PF01735.24	GO:0004620,GO:0009395	8
gene-B0T19DRAFT_348802		NA	100
gene-B0T19DRAFT_395279		NA	100
gene-B0T19DRAFT_395280	PF11374.14	NA	100
gene-B0T19DRAFT_395281	PF01545.27,PF01545.27,PF16916.12	NA	100
gene-B0T19DRAFT_350329	PF00646.39,PF12937.13,PF19270.5	GO:0005515	100
gene-B0T19DRAFT_7758	PF01822.25,PF01822.25,PF01822.25	NA	100
gene-B0T19DRAFT_7759	PF01663.28	NA	100
gene-B0T19DRAFT_7838	PF00097.32,PF00176.30,PF00271.38,PF04851.22,PF13445.13,PF13920.13,PF13923.13	GO:0003677,GO:0005524,GO:0016787,GO:0046872	4
gene-B0T19DRAFT_7776		NA	100
gene-B0T19DRAFT_7869	PF00365.26,PF00365.26	GO:0003872,GO:0006096	3
gene-B0T19DRAFT_352168	PF10156.15	GO:0003712,GO:0006357,GO:0016592	100
gene-B0T19DRAFT_7873	PF26118.1	NA	100
gene-B0T19DRAFT_7934	PF00645.26	GO:0003677,GO:0008270	4
gene-B0T19DRAFT_489276	PF00448.29,PF00454.34,PF02259.30,PF02260.26,PF02881.25,PF04086.21,PF08064.19,PF23593.2,PF25030.1,PF25385.2	GO:0003924,GO:0004674,GO:0005047,GO:0005515,GO:0005525,GO:0005785,GO:0006614,GO:0006886	3
gene-B0T19DRAFT_406408	PF03878.21	GO:0005789,GO:0006888	6
gene-B0T19DRAFT_8030	PF04117.18	GO:0016020	100
gene-B0T19DRAFT_8075	PF14538.12	NA	100
