gene_id	pfam_ids	go_ids	bin_id
GML000001	PF10604.16	NA	100
GML000002	PF00324.28	GO:0016020,GO:0055085	6
GML000003	PF00324.28	GO:0016020,GO:0055085	6
GML000004		NA	100
GML000005	PF00117.35,PF01965.31	NA	100
GML000006		NA	100
GML000007	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000008	PF04299.19	NA	100
GML000009	PF00172.24,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000010	PF00107.33,PF00107.33,PF08240.18,PF08240.18	NA	100
GML000011	PF07690.22	GO:0022857,GO:0055085	6
GML000012	PF01156.25	GO:0016799	8
GML000013	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000014	PF02558.23,PF08546.18	NA	100
GML000015	PF00248.28	NA	100
GML000016	PF10182.15	NA	100
GML000017	PF01794.26,PF08022.19,PF08030.18	GO:0016491	8
GML000018	PF00675.26,PF00675.26,PF05193.27,PF05193.27	NA	100
GML000019	PF02002.24,PF05645.20,PF08221.18,PF20912.3,PF22536.3	GO:0003677,GO:0006351	4
GML000020	PF13181.13,PF13181.13,PF13414.13,PF13414.13,PF13432.13,PF13432.13,PF13432.13,PF13432.13,PF14559.13,PF14559.13,PF18833.8,PF18833.8	GO:0005515	100
GML000021	PF13202.13,PF13405.13,PF13499.13	GO:0005509	100
GML000022	PF01192.28	GO:0003677,GO:0003899,GO:0006351	4
GML000023	PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF00096.33,PF13894.13,PF13894.13,PF13894.13,PF13894.13	NA	100
GML000024	PF10033.15,PF10033.15	GO:0006914,GO:1990316	8
GML000025	PF06202.21,PF06202.21,PF14699.13,PF14699.13,PF14701.13,PF14701.13,PF14702.13,PF14702.13	NA	100
GML000026	PF00535.33	NA	100
GML000027	PF01423.29,PF01423.29,PF06728.20,PF06728.20	GO:0016020,GO:0016255,GO:0042765	8
GML000028	PF00626.28,PF04810.21,PF04811.22,PF04815.21,PF08033.18	GO:0006886,GO:0006888,GO:0008270,GO:0030127	6
GML000029	PF00899.28	NA	100
GML000030	PF11496.15	GO:0070823	100
GML000031	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000032	PF00432.28	GO:0003824	8
GML000033	PF04042.22,PF29084.1	GO:0003677,GO:0006260	4
GML000034	PF08537.16	NA	100
GML000035	PF00004.36,PF04212.25,PF07728.21,PF09336.17,PF17862.8	GO:0005524,GO:0016887	8
GML000036	PF01243.28	NA	100
GML000037	PF00855.24	NA	100
GML000038	PF07690.22	GO:0022857,GO:0055085	6
GML000039		NA	100
GML000040		NA	100
GML000041	PF01090.26	GO:0003735,GO:0005840,GO:0006412	4
GML000042	PF07690.22	GO:0022857,GO:0055085	6
GML000043	PF08534.17,PF08534.17	GO:0016491	8
GML000044		NA	100
GML000045	PF00399.25	GO:0005199,GO:0005618	7
GML000046	PF12550.14	NA	100
GML000047	PF01909.30,PF03828.25,PF22600.3	GO:0016779	8
GML000048	PF00472.27,PF00472.27	GO:0003747,GO:0006415	100
GML000049	PF00069.32,PF00169.36,PF00786.34,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000050	PF12783.14,PF16206.10,PF16213.12	NA	100
GML000051	PF08692.16	GO:0005739	100
GML000052	PF08733.16	NA	100
GML000053	PF00566.26,PF23436.2	NA	100
GML000054		NA	100
GML000055	PF00240.30,PF16843.11,PF18514.7	GO:0005515	100
GML000056	PF01509.24,PF01509.24,PF10256.15	GO:0006396	8
GML000057	PF12929.13	GO:0005262,GO:0098703	6
GML000058	PF00004.36,PF03215.22,PF08542.17,PF13177.13	GO:0005524,GO:0016887	8
GML000059		NA	100
GML000060	PF00134.29,PF08613.17	GO:0000079,GO:0019901	100
GML000061		NA	100
GML000062		NA	100
GML000063	PF04078.20	GO:0006402,GO:0030014	8
GML000064	PF01602.27,PF08752.17,PF16381.11	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0030126	6
GML000065	PF00076.29,PF00076.29	GO:0003723	4
GML000066	PF01926.30,PF06071.20	GO:0005525	100
GML000067	PF02630.22,PF02630.22	NA	100
