gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BC939DRAFT_497937	rna-XM_051559753.1		None	None
gene-BC939DRAFT_433631	rna-XM_051553244.1		None	None
gene-BC939DRAFT_433632	rna-XM_051553245.1		None	None
gene-BC939DRAFT_433636	rna-XM_051553246.1	PF04082.24	Partial	None
gene-BC939DRAFT_34	rna-XM_051551651.1		None	None
gene-BC939DRAFT_433642	rna-XM_051553247.1	PF15404.14,PF23207.2	Complete	None
gene-BC939DRAFT_433647	rna-XM_051553248.1	PF04101.23	Complete	None
gene-BC939DRAFT_497942	rna-XM_051559754.1		None	None
gene-BC939DRAFT_145	rna-XM_051550182.1	PF00085.27,PF02966.23	Partial	None
gene-BC939DRAFT_497944	rna-XM_051559755.1	PF02966.23	Partial	None
gene-BC939DRAFT_497945	rna-XM_051559756.1		None	None
gene-BC939DRAFT_524188	rna-XM_051561248.1	PF13516.13	Complete	None
gene-BC939DRAFT_482646	rna-XM_051559137.1	PF04051.22	Partial	None
gene-BC939DRAFT_509055	rna-XM_051561080.1	PF00975.27	Partial	None
gene-BC939DRAFT_433658	rna-XM_051553249.1		None	None
gene-BC939DRAFT_304	rna-XM_051551407.1	PF26719.2	Partial	None
gene-BC939DRAFT_281	rna-XM_051551209.1		None	None
gene-BC939DRAFT_433663	rna-XM_051553250.1	PF00070.34,PF00890.31,PF01134.29,PF02852.29,PF07992.21,PF12831.14,PF13450.13	Complete	None
gene-BC939DRAFT_318	rna-XM_051551507.1		None	None
gene-BC939DRAFT_433673	rna-XM_051553251.1		None	None
gene-BC939DRAFT_497955	rna-XM_051559757.1	PF00668.26	Partial	None
gene-BC939DRAFT_472152	rna-XM_051558250.1		None	None
gene-BC939DRAFT_433675	rna-XM_051553252.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08662.18,PF23760.2,PF24782.3	Complete	None
gene-BC939DRAFT_433677	rna-XM_051553253.1	PF01344.32,PF07646.22,PF24681.2	Complete	None
gene-BC939DRAFT_433680	rna-XM_051553254.1	PF24681.2	Partial	None
gene-BC939DRAFT_497963	rna-XM_051559758.1	PF24681.2,PF24981.2	Partial	None
gene-BC939DRAFT_433684	rna-XM_051553255.1	PF03371.21	Partial	None
gene-BC939DRAFT_433688	rna-XM_051553256.1	PF01223.30	Partial	None
gene-BC939DRAFT_433690	rna-XM_051553257.1	PF02518.32,PF10436.15	Complete	None
gene-BC939DRAFT_542	rna-XM_051561735.1		None	None
gene-BC939DRAFT_433693	rna-XM_051553258.1	PF01222.23	Partial	None
gene-BC939DRAFT_497968	rna-XM_051559759.1	PF00999.27	Partial	None
gene-BC939DRAFT_433699	rna-XM_051553259.1		None	None
gene-BC939DRAFT_433702	rna-XM_051553260.1	PF01116.27	Partial	None
gene-BC939DRAFT_497971	rna-XM_051559760.1		None	None
gene-BC939DRAFT_433724	rna-XM_051553261.1	PF06677.19,PF06677.19	Complete	None
gene-BC939DRAFT_433726	rna-XM_051553262.1	PF00583.32	Complete	None
gene-BC939DRAFT_433729	rna-XM_051553263.1	PF00168.37	Partial	None
gene-BC939DRAFT_433730	rna-XM_051553264.1		None	None
gene-BC939DRAFT_433734	rna-XM_051553265.1	PF00957.28	Partial	None
gene-BC939DRAFT_433736	rna-XM_051553266.1	PF04182.19,PF20222.4,PF24101.2	Complete	None
gene-BC939DRAFT_433737	rna-XM_051553267.1	PF01926.30,PF02421.25,PF08438.17	Complete	None
gene-BC939DRAFT_433738	rna-XM_051553268.1	PF00056.30,PF02866.24	Partial	None
gene-BC939DRAFT_1008	rna-XM_051549837.1	PF00069.32,PF00130.29,PF07714.24,PF25346.2	Complete	None
gene-BC939DRAFT_1044	rna-XM_051549861.1		None	None
gene-BC939DRAFT_433744	rna-XM_051553269.1	PF00043.31,PF00647.25,PF02798.27,PF13410.12,PF13417.13,PF14497.12	Complete	None
gene-BC939DRAFT_1068	rna-XM_051549893.1	PF01494.26,PF08491.17	Partial	None
gene-BC939DRAFT_472173	rna-XM_051558251.1		None	None
gene-BC939DRAFT_t3	gene-BC939DRAFT_t3		None	None
gene-BC939DRAFT_472175	rna-XM_051558252.1	PF01535.27,PF01535.27,PF01535.27,PF13812.13,PF17177.11,PF23276.3	Complete	None
gene-BC939DRAFT_524219	rna-XM_051561249.1	PF09768.16	Partial	None
gene-BC939DRAFT_433756	rna-XM_051553270.1	PF02627.27	Partial	None
gene-BC939DRAFT_1237	rna-XM_051550011.1		None	None
gene-BC939DRAFT_1164	rna-XM_051549962.1	PF12937.13	Partial	None
gene-BC939DRAFT_433758	rna-XM_051553271.1	PF01565.29,PF08031.18	Complete	None
gene-BC939DRAFT_390978	rna-XM_051551930.1	PF01237.24,PF01237.24	Partial	None
gene-BC939DRAFT_390898	rna-XM_051551923.1	PF02222.28,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF25596.2,PF25596.2	Complete	None
gene-BC939DRAFT_497990	rna-XM_051559761.1	PF05495.18,PF13639.13,PF14599.12	Complete	None
gene-BC939DRAFT_433763	rna-XM_051553272.1	PF00855.24	Partial	None
gene-BC939DRAFT_433764	rna-XM_051553273.1	PF08293.17	Partial	None
gene-BC939DRAFT_524229	rna-XM_051561250.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08513.18,PF12894.14	Complete	None
gene-BC939DRAFT_390820	rna-XM_051551916.1	PF00324.28,PF13520.13	Partial	None
gene-BC939DRAFT_1422	rna-XM_051550159.1		None	None
gene-BC939DRAFT_433773	rna-XM_051553274.1	PF31054.1	Partial	None
gene-BC939DRAFT_390950	rna-XM_051551927.1	PF02991.23,PF04110.20	Partial	None
gene-BC939DRAFT_1497	rna-XM_051550212.1		None	None
gene-BC939DRAFT_497999	rna-XM_051559762.1	PF13640.13	Complete	None
gene-BC939DRAFT_482664	rna-XM_051559138.1	PF04981.20,PF21192.4,PF21193.4,PF29994.1	Complete	None
gene-BC939DRAFT_498001	rna-XM_051559763.1		None	None
gene-BC939DRAFT_1546	rna-XM_051550247.1	PF06258.18,PF06258.18	Partial	None
gene-BC939DRAFT_433782	rna-XM_051553275.1		None	None
gene-BC939DRAFT_433784	rna-XM_051553276.1		None	None
gene-BC939DRAFT_433785	rna-XM_051553277.1		None	None
gene-BC939DRAFT_433786	rna-XM_051553278.1	PF04082.24	Partial	None
gene-BC939DRAFT_1612	rna-XM_051550293.1	PF02338.26,PF10275.16	Partial	None
gene-BC939DRAFT_498006	rna-XM_051559764.1	PF02020.25	Complete	None
gene-BC939DRAFT_391042	rna-XM_051551933.1	PF04468.18	Partial	None
gene-BC939DRAFT_1643	rna-XM_051550311.1		None	None
gene-BC939DRAFT_498008	rna-XM_051559765.1	PF01433.27,PF11838.15,PF17900.7	Partial	None
gene-BC939DRAFT_405111	rna-XM_051552818.1	PF01433.27,PF11838.15,PF17900.7	Partial	None
gene-BC939DRAFT_1683	rna-XM_051550342.1	PF01909.30,PF03828.25,PF22600.3	Complete	None
gene-BC939DRAFT_1692	rna-XM_051550353.1		None	None
