protein_id	length
GML000001_mRNA1	317
GML000101_mRNA1	871
GML000201_mRNA1	344
GML000301_mRNA1	252
GML000401_mRNA1	348
GML000501_mRNA1	273
GML000601_mRNA1	324
GML000701_mRNA1	968
GML000801_mRNA1	838
GML000901_mRNA1	361
GML001001_mRNA1	825
GML001101_mRNA1	371
GML001201_mRNA1	57
GML001301_mRNA1	87
GML001401_mRNA1	834
GML001501_mRNA1	305
GML001601_mRNA1	99
GML001701_mRNA1	588
GML001801_mRNA1	237
GML001901_mRNA1	558
GML002001_mRNA1	529
GML002101_mRNA1	713
GML002201_mRNA1	278
GML002301_mRNA1	540
GML002401_mRNA1	223
GML002501_mRNA1	436
GML002601_mRNA1	613
GML002701_mRNA1	41
GML002801_mRNA1	430
GML002901_mRNA1	1522
GML003001_mRNA1	254
GML003101_mRNA1	270
GML003201_mRNA1	775
GML003301_mRNA1	326
GML003401_mRNA1	151
GML003501_mRNA1	134
GML003601_mRNA1	497
GML003701_mRNA1	423
GML003801_mRNA1	361
GML003901_mRNA1	521
GML004001_mRNA1	81
GML004101_mRNA1	1455
GML004201_mRNA1	139
GML004301_mRNA1	119
GML004401_mRNA1	336
GML004501_mRNA1	259
GML004601_mRNA1	614
GML004701_mRNA1	490
GML004801_mRNA1	364
GML004901_mRNA1	393
GML005001_mRNA1	193
GML005101_mRNA1	237
GML005201_mRNA1	392
GML005301_mRNA1	178
GML005401_mRNA1	895
GML005501_mRNA1	218
GML005601_mRNA1	499
GML005701_mRNA1	432
GML005801_mRNA1	483
GML005901_mRNA1	738
GML006001_mRNA1	354
GML006101_mRNA1	1263
GML006201_mRNA1	1090
GML006301_mRNA1	149
GML006401_mRNA1	470
GML006501_mRNA1	243
GML006601_mRNA1	178
GML006701_mRNA1	133
GML006801_mRNA1	860
GML006901_mRNA1	711
GML007001_mRNA1	563
GML007101_mRNA1	1430
GML007201_mRNA1	308
GML007301_mRNA1	219
GML007401_mRNA1	818
GML007501_mRNA1	115
GML007601_mRNA1	407
GML007701_mRNA1	97
GML007801_mRNA1	547
GML007901_mRNA1	298
GML008001_mRNA1	355
GML008101_mRNA1	239
GML008201_mRNA1	488
GML008301_mRNA1	828
GML008401_mRNA1	472
GML008501_mRNA1	103
GML008601_mRNA1	329
GML008701_mRNA1	571
GML008801_mRNA1	169
GML008901_mRNA1	688
GML009001_mRNA1	301
GML009101_mRNA1	235
GML009201_mRNA1	875
GML009301_mRNA1	168
GML009401_mRNA1	266
GML009501_mRNA1	367
GML009601_mRNA1	574
GML009701_mRNA1	583
GML009801_mRNA1	500
GML009901_mRNA1	1476
GML010001_mRNA1	133
GML010101_mRNA1	731
GML010201_mRNA1	643
GML010301_mRNA1	83
GML010401_mRNA1	225
GML010501_mRNA1	239
GML010601_mRNA1	333
GML010701_mRNA1	658
GML010801_mRNA1	441
GML010901_mRNA1	338
GML011001_mRNA1	243
GML011101_mRNA1	2592
GML011201_mRNA1	707
GML011301_mRNA1	869
GML011401_mRNA1	1139
GML011501_mRNA1	890
GML011601_mRNA1	247
GML011701_mRNA1	439
GML011801_mRNA1	1132
GML011901_mRNA1	286
GML012001_mRNA1	348
GML012101_mRNA1	245
GML012201_mRNA1	80
GML012301_mRNA1	630
GML012401_mRNA1	442
GML012501_mRNA1	73
GML012601_mRNA1	728
GML012701_mRNA1	177
GML012801_mRNA1	43
GML012901_mRNA1	362
GML013001_mRNA1	348
GML013101_mRNA1	288
GML013201_mRNA1	360
GML013301_mRNA1	224
GML013401_mRNA1	118
GML013501_mRNA1	145
GML013601_mRNA1	130
GML013701_mRNA1	258
GML013801_mRNA1	293
GML013901_mRNA1	293
GML014001_mRNA1	533
GML014101_mRNA1	763
GML014201_mRNA1	547
GML014301_mRNA1	606
GML014401_mRNA1	204
GML014501_mRNA1	310
GML014601_mRNA1	333
GML014701_mRNA1	137
GML014801_mRNA1	161
GML014901_mRNA1	132
GML015001_mRNA1	276
GML015101_mRNA1	3143
GML015201_mRNA1	415
GML015301_mRNA1	592
GML015401_mRNA1	696
GML015501_mRNA1	339
GML015601_mRNA1	514
GML015701_mRNA1	381
GML015801_mRNA1	392
GML015901_mRNA1	595
GML016001_mRNA1	315
GML016101_mRNA1	385
GML016201_mRNA1	91
GML016301_mRNA1	252
GML016401_mRNA1	547
