protein_id	length
rna-XM_066792572.1	323
rna-XM_066792202.1	614
rna-XM_066792594.1	350
rna-XM_066786730.1	683
rna-XM_066782086.1	121
rna-XM_066785156.1	204
rna-XM_066783209.1	191
rna-XM_066783558.1	688
rna-XM_066783891.1	457
rna-XM_066787893.1	367
rna-XM_066792638.1	430
rna-XM_066787936.1	433
rna-XM_066785021.1	278
rna-XM_066785291.1	420
rna-XM_066792668.1	335
rna-XM_066787261.1	196
rna-XM_066788018.1	587
rna-XM_066793310.1	109
rna-XM_066786419.1	987
rna-XM_066793384.1	1514
rna-XM_066786423.1	956
rna-XM_066785123.1	219
rna-XM_066793475.1	361
rna-XM_066790079.1	752
rna-XM_066792726.1	954
rna-XM_066790096.1	881
rna-XM_066793598.1	154
rna-XM_066792274.1	305
rna-XM_066782111.1	145
rna-XM_066788266.1	482
rna-XM_066782161.1	327
rna-XM_066786844.1	256
rna-XM_066790156.1	2146
rna-XM_066782238.1	510
rna-XM_066790172.1	666
rna-XM_066782293.1	566
rna-XM_066791653.1	336
rna-XM_066782369.1	394
rna-XM_066788430.1	872
rna-XM_066788449.1	287
rna-XM_066792821.1	517
rna-XM_066782488.1	515
rna-XM_066782520.1	278
rna-XM_066792844.1	520
rna-XM_066791098.1	332
rna-XM_066785620.1	478
rna-XM_066792868.1	265
rna-XM_066782679.1	887
rna-XM_066788601.1	67
rna-XM_066782761.1	145
rna-XM_066782808.1	520
rna-XM_066788657.1	317
rna-XM_066785588.1	510
rna-XM_066788689.1	461
rna-XM_066782959.1	205
rna-XM_066785566.1	473
rna-XM_066790343.1	450
rna-XM_066792922.1	379
rna-XM_066784981.1	433
rna-XM_066787476.1	640
rna-XM_066783133.1	615
rna-XM_066792386.1	395
rna-XM_066783204.1	340
rna-XM_066788873.1	467
rna-XM_066788894.1	1268
rna-XM_066788920.1	130
rna-XM_066783361.1	323
rna-XM_066783390.1	266
rna-XM_066783413.1	650
rna-XM_066783447.1	311
rna-XM_066786569.1	630
rna-XM_066783488.1	2485
rna-XM_066786576.1	344
rna-XM_066793027.1	333
rna-XM_066786025.1	494
rna-XM_066789093.1	174
rna-XM_066785954.1	1377
rna-XM_066790503.1	310
rna-XM_066790509.1	283
rna-XM_066783753.1	139
rna-XM_066789194.1	430
rna-XM_066790542.1	406
rna-XM_066793089.1	224
rna-XM_066783875.1	71
rna-XM_066783916.1	82
rna-XM_066787065.1	817
rna-XM_066792463.1	252
rna-XM_066790595.1	257
rna-XM_066790606.1	1699
rna-XM_066789359.1	133
rna-XM_066789379.1	146
rna-XM_066791406.1	102
rna-XM_066784174.1	1026
rna-XM_066789434.1	462
rna-XM_066793169.1	162
rna-XM_066790673.1	316
rna-XM_066786651.1	368
rna-XM_066786112.1	175
rna-XM_066784357.1	171
rna-XM_066787665.1	341
rna-XM_066793204.1	332
rna-XM_066789567.1	196
rna-XM_066791477.1	319
rna-XM_066789609.1	241
rna-XM_066789632.1	362
rna-XM_066787691.1	464
rna-XM_066784603.1	85
rna-XM_066790773.1	113
rna-XM_066787160.1	780
rna-XM_066787708.1	542
rna-XM_066784725.1	285
rna-XM_066789784.1	547
rna-XM_066790812.1	513
rna-XM_066784807.1	928
rna-XM_066786346.1	441
rna-XM_066789866.1	624
