gene_id	pfam_ids	go_ids	bin_id
gene-TRVA0_001S00100	PF00412.29,PF00412.29	NA	100
gene-TRVA0_001S00122	PF01180.28	GO:0005737,GO:0016627	8
gene-TRVA0_001S00144	PF09335.17	NA	100
gene-TRVA0_001S00166	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-TRVA0_001S00188		NA	100
gene-TRVA0_001S00210	PF02535.29	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-TRVA0_001S00232	PF08297.17	GO:0006364,GO:0030515	4
gene-TRVA0_001S00254	PF08690.16	NA	100
gene-TRVA0_001S00276	PF10276.15	NA	100
gene-TRVA0_001S00298		NA	100
gene-TRVA0_001S00320	PF00150.25	GO:0000272,GO:0004553	8
gene-TRVA0_001S00342	PF00557.30,PF05195.23	GO:0030145,GO:0070006	8
gene-TRVA0_001S00364	PF16787.11	GO:0003677	4
gene-TRVA0_001S00386	PF12550.14	NA	100
gene-TRVA0_001S00408		NA	100
gene-TRVA0_001S00430		NA	100
gene-TRVA0_001S00452	PF01512.23,PF10531.16,PF10589.15,PF22461.3	GO:0051539	100
gene-TRVA0_001S00474	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-TRVA0_001S00496	PF01399.34,PF10602.16	NA	100
gene-TRVA0_001S00518		NA	100
gene-TRVA0_001S00540	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-TRVA0_001S00562	PF01399.34,PF22241.3	NA	100
gene-TRVA0_001S00584	PF16093.11	GO:0043248	100
gene-TRVA0_001S00606	PF00291.32	NA	100
gene-TRVA0_001S00628	PF00149.34	GO:0016787	8
gene-TRVA0_001S00650	PF00186.25	GO:0004146,GO:0046654	8
gene-TRVA0_001S00672	PF00782.26	GO:0016311	8
gene-TRVA0_001S00694		NA	100
gene-TRVA0_001S00716		NA	100
gene-TRVA0_001S00738		NA	100
gene-TRVA0_001S00760	PF01106.23,PF08712.17	GO:0005506,GO:0016226,GO:0051536	100
gene-TRVA0_001S00782	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-TRVA0_001S00804		NA	100
gene-TRVA0_001S00826	PF00076.29,PF00076.29,PF00076.29,PF00076.29,PF00658.25	GO:0003723	4
gene-TRVA0_001S00848		NA	100
gene-TRVA0_001S00870	PF00928.27,PF01217.27	NA	100
gene-TRVA0_001S00892	PF23867.2,PF23868.2	NA	100
gene-TRVA0_001S00914	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
gene-TRVA0_001S00936	PF08450.19	NA	100
gene-TRVA0_001S00958	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-TRVA0_001S00980		NA	100
gene-TRVA0_001S01002	PF00441.30,PF01756.25,PF02770.25,PF14749.12,PF22924.2	GO:0003997,GO:0005777,GO:0006635,GO:0016627	8
gene-TRVA0_001S01024	PF03834.22	NA	100
gene-TRVA0_001S01046	PF00293.35	NA	100
gene-TRVA0_001S01068		NA	100
gene-TRVA0_001S01090	PF00857.27	NA	100
gene-TRVA0_001S01112	PF00291.32	NA	100
gene-TRVA0_001S01134		NA	100
gene-TRVA0_001S01156		NA	100
gene-TRVA0_001S01178	PF00132.31,PF00483.30,PF12804.14,PF25087.2	GO:0009058	8
gene-TRVA0_001S01200		NA	100
gene-TRVA0_001S01222	PF00582.33	NA	100
gene-TRVA0_001S01244		NA	100
gene-TRVA0_001S01266		NA	100
gene-TRVA0_001S01288	PF00316.26,PF18913.6	NA	100
gene-TRVA0_001S01310	PF06813.20,PF07690.22,PF23262.1	GO:0022857,GO:0055085	6
gene-TRVA0_001S01332		NA	100
gene-TRVA0_001S01354	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-TRVA0_001S01376	PF04427.24	GO:0006364,GO:0019843	4
gene-TRVA0_001S01398	PF01363.28,PF13639.13	GO:0046872	100
gene-TRVA0_001S01420		NA	100
gene-TRVA0_001S01442		NA	100
gene-TRVA0_001S01464		NA	100
gene-TRVA0_001S01486	PF13243.13,PF13249.13	NA	100
gene-TRVA0_001S01508		NA	100
gene-TRVA0_001S01530		NA	100
gene-TRVA0_001S01552	PF03795.21	NA	100
gene-TRVA0_001S01574		NA	100
gene-TRVA0_001S01596		NA	100
gene-TRVA0_001S01618		NA	100
gene-TRVA0_001S01640		NA	100
gene-TRVA0_001S01662	PF02366.25,PF02815.26,PF16192.11	GO:0000030,GO:0006493,GO:0016020	8
gene-TRVA0_001S01684		NA	100
gene-TRVA0_001S01706	PF21730.3,PF21730.3	GO:0070072	100
gene-TRVA0_001S01728	PF11221.14	NA	100
gene-TRVA0_001S01750		NA	100
gene-TRVA0_001S01772		NA	100
gene-TRVA0_001S01794	PF04857.27,PF04857.27	NA	100
gene-TRVA0_001S01816		NA	100
gene-TRVA0_001S01838	PF00012.27	GO:0005524,GO:0016887	8
gene-TRVA0_001S01860		NA	100
gene-TRVA0_001S01882		NA	100
gene-TRVA0_001S01904		NA	100
gene-TRVA0_001S01926		NA	100
gene-TRVA0_001S01948		NA	100
gene-TRVA0_001S01970	PF03909.23,PF08567.18	NA	100
gene-TRVA0_001S01992	PF00627.38,PF22562.3	NA	100
gene-TRVA0_001S02014		NA	100
gene-TRVA0_001S02036		NA	100
gene-TRVA0_001S02058		NA	100
gene-TRVA0_001S02080		NA	100
gene-TRVA0_001S02124	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-TRVA0_001S02146	PF01055.33,PF13802.13,PF21365.4,PF29281.1	GO:0004553,GO:0005975	8
gene-TRVA0_001S02168	PF08538.17,PF12697.14	NA	100
gene-TRVA0_001S02190		NA	100
gene-TRVA0_001S02212	PF03153.19,PF03153.19	GO:0005672,GO:0006367	8
gene-TRVA0_001S02234		NA	100
gene-TRVA0_001S02256	PF00850.25	NA	100
gene-TRVA0_001S02278	PF00491.27	GO:0046872	100
gene-TRVA0_001S02300		NA	100
gene-TRVA0_001S02322	PF04055.28,PF16881.11	GO:0003824,GO:0051536	8
gene-TRVA0_001S02344	PF00169.36,PF00620.33	GO:0007165	3
gene-TRVA0_001S02366	PF12709.13	NA	100
gene-TRVA0_001S02388	PF03178.22,PF10433.16	GO:0003676,GO:0005634	4
gene-TRVA0_001S02410		NA	100
gene-TRVA0_001S02432		NA	100
gene-TRVA0_001S02454	PF00293.35	NA	100
gene-TRVA0_001S02476	PF01602.27,PF02883.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
gene-TRVA0_001S02498	PF03669.19	GO:0005789,GO:0044183,GO:0045048	100
gene-TRVA0_001S02520	PF01302.32	NA	100
gene-TRVA0_001S02542	PF16860.11	NA	100
gene-TRVA0_001S02564	PF03966.23	NA	100
gene-TRVA0_001S02586		NA	100
