gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-SCHPADRAFT_110	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA110		None	None
gene-SCHPADRAFT_911996	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA911996	PF11899.14,PF13489.13	Partial	None
gene-SCHPADRAFT_11	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA11		None	None
gene-SCHPADRAFT_991695	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA991695		None	None
gene-SCHPADRAFT_934175	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA934175	PF08433.17,PF13671.13	Partial	None
gene-SCHPADRAFT_24	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA24	PF03656.19	Partial	None
gene-SCHPADRAFT_897618	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA897618	PF00137.27,PF00137.27	Complete	None
gene-SCHPADRAFT_862975	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA862975	PF03226.22	Partial	None
gene-SCHPADRAFT_20	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA20		None	None
gene-SCHPADRAFT_413	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA413	PF00176.30,PF00270.36,PF00271.38,PF00385.31,PF04851.22,PF11496.15,PF13907.12,PF18196.8,PF23588.3	Complete	None
gene-SCHPADRAFT_934180	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA934180		None	None
gene-SCHPADRAFT_264	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA264	PF12251.14	Partial	None
gene-SCHPADRAFT_884404	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA884404		None	None
gene-SCHPADRAFT_234	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA234		None	None
gene-SCHPADRAFT_934182	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA934182		None	None
gene-SCHPADRAFT_923511	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA923511		None	None
gene-SCHPADRAFT_816343	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA816343	PF03031.25	Partial	None
gene-SCHPADRAFT_923513	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA923513	PF01583.27,PF01747.24,PF14306.13	Complete	None
gene-SCHPADRAFT_923514	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA923514	PF17875.8	Partial	None
gene-SCHPADRAFT_816095	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA816095	PF00025.28,PF00071.29,PF08477.20	Partial	None
gene-SCHPADRAFT_897626	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA897626	PF00106.32,PF08659.17,PF13561.13	Partial	None
gene-SCHPADRAFT_917947	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA917947	PF00571.34,PF00654.26	Complete	None
gene-SCHPADRAFT_637	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA637		None	None
gene-SCHPADRAFT_897629	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA897629	PF06728.20	Partial	None
gene-SCHPADRAFT_884413	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA884413	PF01185.24	Partial	None
gene-SCHPADRAFT_816631	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA816631		None	None
gene-SCHPADRAFT_841378	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA841378	PF00117.35,PF00988.29,PF07722.20	Partial	None
gene-SCHPADRAFT_1119	rna-gnl|WGS:LBNM|SCHPADRAFT_mRNA1119	PF20415.4	Partial	None
