protein_id	length
gene-PYCC9005_000001	925
gene-PYCC9005_000102	628
gene-PYCC9005_000202	107
gene-PYCC9005_000302	302
gene-PYCC9005_000402	958
gene-PYCC9005_000503	186
gene-PYCC9005_000606	166
gene-PYCC9005_000709	413
gene-PYCC9005_000810	376
gene-PYCC9005_000910	709
gene-PYCC9005_001010	197
gene-PYCC9005_001110	495
gene-PYCC9005_001211	85
gene-PYCC9005_001313	114
gene-PYCC9005_001414	273
gene-PYCC9005_001516	261
gene-PYCC9005_001616	103
gene-PYCC9005_001716	289
gene-PYCC9005_001816	422
gene-PYCC9005_001916	103
gene-PYCC9005_002017	272
gene-PYCC9005_002118	632
gene-PYCC9005_002219	381
gene-PYCC9005_002319	421
gene-PYCC9005_002419	748
gene-PYCC9005_002520	357
gene-PYCC9005_002620	92
gene-PYCC9005_002720	205
gene-PYCC9005_002820	1042
gene-PYCC9005_002920	181
gene-PYCC9005_003020	102
gene-PYCC9005_003121	488
gene-PYCC9005_003221	733
gene-PYCC9005_003324	334
gene-PYCC9005_003425	1434
gene-PYCC9005_003525	614
gene-PYCC9005_003626	306
gene-PYCC9005_003727	861
gene-PYCC9005_003827	552
gene-PYCC9005_003929	258
gene-PYCC9005_004029	260
gene-PYCC9005_004129	1148
gene-PYCC9005_004230	348
gene-PYCC9005_004330	416
gene-PYCC9005_004431	175
gene-PYCC9005_004531	113
gene-PYCC9005_004631	478
gene-PYCC9005_004732	482
gene-PYCC9005_004833	140
gene-PYCC9005_004934	368
gene-PYCC9005_005036	387
gene-PYCC9005_005137	155
gene-PYCC9005_005241	664
gene-PYCC9005_005341	296
gene-PYCC9005_005441	304
gene-PYCC9005_005542	476
gene-PYCC9005_005643	196
gene-PYCC9005_005743	400
gene-PYCC9005_005844	383
gene-PYCC9005_005945	359
gene-PYCC9005_006047	662
