protein_id	length
GML000001_mRNA1	663
GML000101_mRNA1	822
GML000201_mRNA1	170
GML000301_mRNA1	919
GML000401_mRNA1	273
GML000501_mRNA1	103
GML000601_mRNA1	135
GML000701_mRNA1	741
GML000801_mRNA1	545
GML000901_mRNA1	725
GML001001_mRNA1	289
GML001101_mRNA1	211
GML001201_mRNA1	62
GML001301_mRNA1	145
GML001401_mRNA1	493
GML001501_mRNA1	519
GML001601_mRNA1	226
GML001701_mRNA1	416
GML001801_mRNA1	348
GML001901_mRNA1	810
GML002001_mRNA1	918
GML002101_mRNA1	272
GML002201_mRNA1	286
GML002301_mRNA1	777
GML002401_mRNA1	483
GML002501_mRNA1	616
GML002601_mRNA1	169
GML002701_mRNA1	91
GML002801_mRNA1	548
GML002901_mRNA1	137
GML003001_mRNA1	520
GML003101_mRNA1	373
GML003201_mRNA1	218
GML003301_mRNA1	70
GML003401_mRNA1	200
GML003501_mRNA1	132
GML003601_mRNA1	774
GML003701_mRNA1	1144
GML003801_mRNA1	526
GML003901_mRNA1	283
GML004001_mRNA1	731
GML004101_mRNA1	121
GML004201_mRNA1	25
GML004301_mRNA1	349
GML004401_mRNA1	808
GML004501_mRNA1	483
GML004601_mRNA1	496
GML004701_mRNA1	85
GML004801_mRNA1	551
GML004901_mRNA1	536
GML005001_mRNA1	182
GML005102_mRNA1	89
GML005201_mRNA1	948
GML005301_mRNA1	155
GML005401_mRNA1	381
GML005501_mRNA1	23
GML005601_mRNA1	936
GML005701_mRNA1	453
GML005801_mRNA1	1117
GML005901_mRNA1	440
GML006001_mRNA1	977
GML006101_mRNA1	947
GML006201_mRNA1	323
GML006301_mRNA1	290
GML006401_mRNA1	515
GML006501_mRNA1	393
GML006601_mRNA1	139
GML006701_mRNA1	412
GML006801_mRNA1	538
GML006901_mRNA1	339
GML007001_mRNA1	522
GML007101_mRNA1	469
GML007201_mRNA1	1272
GML007301_mRNA1	179
GML007401_mRNA1	1255
GML007501_mRNA1	856
GML007601_mRNA1	559
GML007701_mRNA1	2414
GML007801_mRNA1	136
GML007901_mRNA1	96
GML008001_mRNA1	350
GML008101_mRNA1	191
GML008201_mRNA1	459
GML008301_mRNA1	376
GML008401_mRNA1	189
GML008501_mRNA1	382
GML008601_mRNA1	277
GML008701_mRNA1	953
GML008800_mRNA1	329
GML008901_mRNA1	505
GML009001_mRNA1	190
GML009101_mRNA1	808
GML009201_mRNA1	111
GML009301_mRNA1	1114
GML009400_mRNA1	202
GML009501_mRNA1	675
GML009601_mRNA1	258
GML009701_mRNA1	181
GML009801_mRNA1	235
GML009901_mRNA1	460
GML010000_mRNA1	422
GML010101_mRNA1	881
GML010201_mRNA1	455
GML010301_mRNA1	546
GML010401_mRNA1	599
GML010501_mRNA1	103
GML010601_mRNA1	300
GML010701_mRNA1	105
GML010801_mRNA1	458
GML010901_mRNA1	580
GML011001_mRNA1	72
GML011101_mRNA1	477
GML011201_mRNA1	162
GML011301_mRNA1	83
GML011401_mRNA1	641
GML011501_mRNA1	282
GML011601_mRNA1	860
