protein_id	length
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA418308	337
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA346373	428
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA369433	350
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA476496	571
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA369939	230
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA15105	365
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA344140	980
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA370696	398
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA23770	1489
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA27200	587
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA30072	222
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA431111	126
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA399289	117
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA499792	318
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA39907	114
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA431564	233
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA460005	552
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA431854	243
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA456341	199
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA362459	587
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA416290	242
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA407189	386
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA456662	304
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA392586	324
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA59232	192
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA427529	634
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA393204	85
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA64813	105
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA407843	791
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA71161	534
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA365020	274
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA394564	376
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA408211	159
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA408308	856
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA366173	325
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA365411	389
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA395499	483
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA395686	371
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA395916	376
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA88008	474
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA317520	91
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA92761	702
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA396727	372
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA409234	190
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA429281	69
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA397313	443
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA497078	302
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA429545	127
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA347367	398
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA411035	360
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA399986	532
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA411156	566
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA400177	614
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA450681	271
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA400364	513
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA120963	587
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA348115	221
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA438061	473
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA400715	1522
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA348027	469
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA349585	536
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA397858	438
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA368636	554
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA140518	200
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA351386	755
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA350149	673
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA350812	1405
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA401316	715
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA412073	755
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA451753	598
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA401585	357
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA451924	401
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA421852	99
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA379090	509
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA401961	709
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA171445	206
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA402138	312
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA379950	305
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA422383	907
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA452537	332
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA380695	57
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA353708	1169
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA190940	77
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA193446	176
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA422915	242
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA382041	173
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA403053	213
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA423181	360
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA403231	569
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA382864	535
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA403419	396
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA403502	859
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA354364	443
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA423708	122
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA403767	604
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA220593	1045
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA357194	516
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA385081	171
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA230772	335
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA385660	406
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA356510	561
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA386068	410
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA239817	350
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA424609	173
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA509447	183
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA358162	296
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA404856	150
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA424989	127
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA357408	558
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA387623	70
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA387787	356
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA414965	969
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA357708	368
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA510928	641
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA360017	723
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA425708	517
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA425798	764
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA360002	251
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA425998	808
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA359339	224
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA415586	487
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA361404	294
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA360920	309
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA390417	85
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA415897	1513
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA426650	642
rna-gnl|WGS:JANFOG|BGZ63DRAFT_mRNA360808	446
