protein_id	length
GML000001_mRNA1	173
GML000101_mRNA1	301
GML000201_mRNA1	795
GML000301_mRNA1	300
GML000401_mRNA1	351
GML000501_mRNA1	813
GML000601_mRNA1	1294
GML000701_mRNA1	586
GML000801_mRNA1	175
GML000901_mRNA1	334
GML001001_mRNA1	144
GML001101_mRNA1	298
GML001201_mRNA1	138
GML001301_mRNA1	425
GML001401_mRNA1	106
GML001501_mRNA1	552
GML001601_mRNA1	985
GML001701_mRNA1	570
GML001801_mRNA1	266
GML001901_mRNA1	330
GML002001_mRNA1	383
GML002101_mRNA1	602
GML002201_mRNA1	146
GML002301_mRNA1	475
GML002401_mRNA1	227
GML002501_mRNA1	324
GML002601_mRNA1	760
GML002701_mRNA1	264
GML002801_mRNA1	204
GML002901_mRNA1	913
GML003001_mRNA1	431
GML003101_mRNA1	317
GML003201_mRNA1	206
GML003301_mRNA1	156
GML003401_mRNA1	280
GML003501_mRNA1	719
GML003601_mRNA1	362
GML003701_mRNA1	97
GML003801_mRNA1	59
GML003901_mRNA1	419
GML004001_mRNA1	182
GML004101_mRNA1	679
GML004201_mRNA1	295
GML004301_mRNA1	228
GML004401_mRNA1	165
GML004501_mRNA1	579
GML004601_mRNA1	115
GML004701_mRNA1	240
GML004801_mRNA1	207
GML004901_mRNA1	461
GML005001_mRNA1	353
GML005101_mRNA1	766
GML005201_mRNA1	493
GML005301_mRNA1	197
GML005401_mRNA1	373
GML005501_mRNA1	643
GML005601_mRNA1	557
GML005701_mRNA1	263
GML005801_mRNA1	286
GML005901_mRNA1	1009
GML006001_mRNA1	372
GML006101_mRNA1	422
GML006201_mRNA1	341
GML006301_mRNA1	464
GML006401_mRNA1	154
GML006501_mRNA1	258
GML006601_mRNA1	127
GML006701_mRNA1	1437
GML006801_mRNA1	693
GML006901_mRNA1	313
GML007001_mRNA1	358
GML007101_mRNA1	143
GML007201_mRNA1	769
GML007301_mRNA1	202
GML007401_mRNA1	489
GML007501_mRNA1	95
GML007601_mRNA1	630
GML007701_mRNA1	588
GML007801_mRNA1	233
GML007901_mRNA1	92
GML008001_mRNA1	374
GML008101_mRNA1	607
GML008201_mRNA1	374
GML008301_mRNA1	598
GML008401_mRNA1	332
GML008501_mRNA1	247
GML008601_mRNA1	216
GML008701_mRNA1	726
GML008801_mRNA1	412
GML008901_mRNA1	209
GML009001_mRNA1	147
GML009101_mRNA1	116
GML009201_mRNA1	612
GML009301_mRNA1	507
GML009401_mRNA1	889
GML009501_mRNA1	438
GML009601_mRNA1	46
GML009701_mRNA1	139
GML009801_mRNA1	497
GML009901_mRNA1	301
GML010001_mRNA1	260
GML010101_mRNA1	446
GML010201_mRNA1	527
GML010301_mRNA1	1874
GML010401_mRNA1	822
GML010501_mRNA1	693
GML010601_mRNA1	511
GML010701_mRNA1	650
GML010801_mRNA1	134
GML010901_mRNA1	736
