gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1	PF13679.13	Partial	None
GML000001	GML000001_mRNA2	PF13679.13	Partial	Unchanged
GML000001	GML000001_mRNA3	PF13679.13	Partial	Unchanged
GML000001	GML000001_mRNA4	PF13679.13	Partial	Unchanged
GML000002	GML000002_mRNA1	PF00293.35	Partial	None
GML000003	GML000003_mRNA1		None	None
GML000003	GML000003_mRNA2		None	Unchanged
GML000004	GML000004_mRNA1	PF01388.28	Complete	None
GML000004	GML000004_mRNA2	PF01388.28	Complete	Unchanged
GML000005	GML000005_mRNA1	PF02996.23	Partial	None
GML000006	GML000006_mRNA1		None	None
GML000007	GML000007_mRNA1		None	None
GML000008	GML000008_mRNA1	PF02731.21	Partial	None
GML000008	GML000008_mRNA2	PF02731.21	Partial	Unchanged
GML000009	GML000009_mRNA1	PF02731.21	Partial	None
GML000010	GML000010_mRNA1	PF03031.25	Complete	None
GML000011	GML000011_mRNA1		None	None
GML000012	GML000012_mRNA1	PF00169.36	Partial	None
GML000013	GML000013_mRNA1		None	None
GML000014	GML000014_mRNA1	PF01596.24,PF13578.13,PF13847.13	Partial	None
GML000015	GML000015_mRNA1	PF00224.28,PF02887.22	Complete	None
GML000016	GML000016_mRNA1	PF00403.33	Partial	None
GML000016	GML000016_mRNA2	PF00403.33	Partial	Unchanged
GML000017	GML000017_mRNA1	PF12171.15,PF12756.14,PF12874.14	Complete	None
GML000018	GML000018_mRNA1		None	None
GML000019	GML000019_mRNA1	PF01255.25	Partial	None
GML000020	GML000020_mRNA1	PF00012.27,PF06723.20	Partial	None
GML000021	GML000021_mRNA1	PF00149.34,PF02872.24	Complete	None
GML000022	GML000022_mRNA1		None	None
GML000023	GML000023_mRNA1	PF00227.32	Partial	None
GML000024	GML000024_mRNA1		None	None
GML000025	GML000025_mRNA1		None	None
GML000026	GML000026_mRNA1	PF04280.22	Complete	None
GML000026	GML000026_mRNA2	PF04280.22	Complete	Unchanged
GML000027	GML000027_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000027	GML000027_mRNA2	PF00270.36,PF00271.38,PF04851.22	Complete	Unchanged
GML000028	GML000028_mRNA1		None	None
GML000028	GML000028_mRNA2		None	Unchanged
GML000029	GML000029_mRNA1	PF00266.26	Partial	None
GML000029	GML000029_mRNA2	PF00266.26	Partial	Unchanged
GML000030	GML000030_mRNA1		None	None
