gene_id	pfam_ids	go_ids	bin_id
gene-Q9186_000001		NA	100
gene-Q9186_000002	PF01419.23,PF12044.15	NA	100
gene-Q9186_000003	PF01237.24	GO:0008289	100
gene-Q9186_000004	PF04516.21,PF25416.2	NA	100
gene-Q9186_000005	PF00753.34,PF17778.8,PF19583.6	NA	100
gene-Q9186_000006		NA	100
gene-Q9186_000007		NA	100
gene-Q9186_000008	PF00169.36,PF20399.5,PF20400.4	NA	100
gene-Q9186_000009	PF00587.31,PF03129.26,PF07973.20	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0043039	8
gene-Q9186_000010	PF04410.21	GO:0001522,GO:0042254	8
gene-Q9186_000011	PF00650.26,PF03765.22,PF13716.12	NA	100
gene-Q9186_000012	PF08641.18	GO:0000070,GO:0000776	100
gene-Q9186_000013	PF00330.26,PF00694.26	NA	100
gene-Q9186_000014	PF12171.15,PF12874.14	NA	100
gene-Q9186_000015	PF04603.19	NA	100
gene-Q9186_000016	PF10263.16,PF17283.9	NA	100
gene-Q9186_000017	PF03198.21,PF07983.19	NA	100
gene-Q9186_000018	PF02364.22,PF14288.12,PF23605.2	GO:0000148,GO:0003843,GO:0006075,GO:0016020	8
gene-Q9186_000019	PF00155.28	GO:0009058,GO:0030170	8
gene-Q9186_000020	PF00332.25,PF29664.1	GO:0004553,GO:0005975	8
gene-Q9186_000021	PF09431.16	NA	100
gene-Q9186_000022	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
gene-Q9186_000023	PF00118.30	GO:0005524	100
gene-Q9186_000024	PF01798.24	NA	100
gene-Q9186_000025	PF02338.26,PF21403.5,PF24560.2	NA	100
gene-Q9186_000026	PF00439.31,PF00439.31,PF01426.25	GO:0003682,GO:0005515	100
gene-Q9186_000027		NA	100
gene-Q9186_000028	PF00226.37,PF13181.13	GO:0005515	100
gene-Q9186_000029		NA	100
gene-Q9186_000030		NA	100
gene-Q9186_000031	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-Q9186_000032	PF01636.30,PF03881.21	NA	100
gene-Q9186_000033	PF22939.3,PF24883.3	NA	100
gene-Q9186_000034		NA	100
gene-Q9186_000035	PF00348.23,PF19086.6	GO:0004659,GO:0008299	8
gene-Q9186_000036	PF00171.28	GO:0016491	8
gene-Q9186_000037	PF10213.15	NA	100
gene-Q9186_000038	PF04101.23	GO:0016758	8
gene-Q9186_000039		NA	100
gene-Q9186_000040	PF00588.25,PF08032.18	GO:0003723,GO:0006396,GO:0008168,GO:0008173	4
gene-Q9186_000041	PF00176.30,PF00271.38,PF00628.36,PF04851.22,PF11496.15,PF15446.13,PF18585.8,PF23614.2,PF23615.2	GO:0003677,GO:0005524,GO:0016787,GO:0070823	4
gene-Q9186_000042	PF00026.29,PF14543.12	NA	100
gene-Q9186_000043	PF00569.24,PF00569.24,PF16158.12	GO:0008270	100
gene-Q9186_000044	PF09405.16	GO:0003729,GO:0006397,GO:0035145	4
gene-Q9186_000045	PF07719.24,PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF13432.13,PF14559.13	GO:0005515	100
gene-Q9186_000046	PF01063.25	GO:0003824	8
gene-Q9186_000047	PF00579.32	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-Q9186_000048	PF04707.21	NA	100
