protein_id	length
GML000001_mRNA1	274
GML000101_mRNA1	417
GML000201_mRNA1	1076
GML000301_mRNA1	451
GML000401_mRNA1	742
GML000501_mRNA1	562
GML000601_mRNA1	317
GML000701_mRNA1	297
GML000801_mRNA1	697
GML000901_mRNA1	543
GML001001_mRNA1	1092
GML001101_mRNA1	371
GML001201_mRNA1	658
GML001301_mRNA1	713
GML001401_mRNA1	281
GML001501_mRNA1	636
GML001601_mRNA1	608
GML001701_mRNA1	360
GML001801_mRNA1	365
GML001901_mRNA1	604
GML002001_mRNA1	637
GML002101_mRNA1	575
GML002201_mRNA1	848
GML002301_mRNA1	343
GML002401_mRNA1	211
GML002501_mRNA1	120
GML002601_mRNA1	194
GML002701_mRNA1	405
GML002801_mRNA1	728
GML002901_mRNA1	495
GML003001_mRNA1	98
GML003101_mRNA1	355
GML003201_mRNA1	501
GML003301_mRNA1	574
GML003401_mRNA1	809
GML003501_mRNA1	571
GML003601_mRNA1	1254
GML003701_mRNA1	100
GML003801_mRNA1	69
GML003901_mRNA1	345
GML004001_mRNA1	316
GML004101_mRNA1	387
GML004201_mRNA1	389
GML004301_mRNA1	167
GML004401_mRNA1	677
GML004501_mRNA1	153
GML004601_mRNA1	150
GML004701_mRNA1	1617
GML004801_mRNA1	485
GML004901_mRNA1	592
GML005001_mRNA1	620
GML005101_mRNA1	817
GML005201_mRNA1	483
GML005301_mRNA1	579
GML005401_mRNA1	309
GML005501_mRNA1	534
GML005601_mRNA1	589
GML005701_mRNA1	188
GML005801_mRNA1	415
GML005901_mRNA1	197
GML006001_mRNA1	648
GML006101_mRNA1	349
GML006201_mRNA1	450
GML006301_mRNA1	1438
GML006401_mRNA1	286
GML006501_mRNA1	580
GML006601_mRNA1	310
GML006701_mRNA1	739
GML006801_mRNA1	103
GML006901_mRNA1	572
GML007001_mRNA1	88
GML007101_mRNA1	308
GML007201_mRNA1	466
GML007301_mRNA1	598
GML007401_mRNA1	163
GML007501_mRNA1	823
GML007601_mRNA1	632
GML007701_mRNA1	996
GML007801_mRNA1	349
GML007901_mRNA1	54
GML008001_mRNA1	203
GML008101_mRNA1	362
GML008201_mRNA1	461
GML008301_mRNA1	201
GML008401_mRNA1	1578
GML008501_mRNA1	398
GML008601_mRNA1	119
GML008701_mRNA1	406
GML008801_mRNA1	74
GML008901_mRNA1	239
GML009001_mRNA1	426
GML009101_mRNA1	501
GML009201_mRNA1	324
GML009301_mRNA1	588
GML009401_mRNA1	786
GML009501_mRNA1	494
GML009601_mRNA1	342
GML009701_mRNA1	211
GML009801_mRNA1	103
GML009901_mRNA1	535
GML010001_mRNA1	187
GML010101_mRNA1	717
GML010201_mRNA1	356
GML010301_mRNA1	649
GML010401_mRNA1	84
GML010501_mRNA1	1120
GML010601_mRNA1	108
GML010701_mRNA1	700
GML010801_mRNA1	101
GML010901_mRNA1	1048
GML011001_mRNA1	429
GML011101_mRNA1	475
GML011201_mRNA1	121
GML011301_mRNA1	898
GML011401_mRNA1	444
GML011501_mRNA1	301
GML011601_mRNA1	259
GML011701_mRNA1	1336
GML011801_mRNA1	244
GML011901_mRNA1	848
GML012001_mRNA1	403
GML012101_mRNA1	140
GML012201_mRNA1	193
GML012301_mRNA1	207
GML012401_mRNA1	445
GML012501_mRNA1	432
GML012601_mRNA1	70
GML012701_mRNA1	878
GML012801_mRNA1	426
GML012901_mRNA1	711
GML013001_mRNA1	82
GML013101_mRNA1	242
GML013201_mRNA1	79
GML013301_mRNA1	259
GML013401_mRNA1	227
GML013501_mRNA1	218
