gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-Q9171_000001	rna-LIQ230CAOCH_000001-T1	PF01179.28,PF02727.22,PF02728.23	Partial	None
gene-Q9171_000002	rna-LIQ230CAOCH_000002-T1	PF01794.26,PF08022.19,PF08030.18	Complete	None
gene-Q9171_000003	rna-LIQ230CAOCH_000003-T1	PF00179.32	Partial	None
gene-Q9171_000004	rna-LIQ230CAOCH_000004-T1	PF00441.30,PF02770.25,PF02771.22	Complete	None
gene-Q9171_000005	rna-LIQ230CAOCH_000005-T1	PF00752.24,PF00867.24	Partial	None
gene-Q9171_000006	rna-LIQ230CAOCH_000006-T1	PF00538.26	Partial	None
gene-Q9171_000007	rna-LIQ230CAOCH_000007-T1	PF01504.25	Partial	None
gene-Q9171_000008	rna-LIQ230CAOCH_000008-T1	PF00623.26,PF04983.24,PF04997.18,PF04998.23,PF05000.23	Complete	None
gene-Q9171_000009	rna-LIQ230CAOCH_000009-T1	PF00009.34,PF00679.31,PF06421.18	Complete	None
gene-Q9171_000010	rna-LIQ230CAOCH_000010-T1	PF02301.24	Partial	None
gene-Q9171_000011	rna-LIQ230CAOCH_000011-T1		None	None
gene-Q9171_000012	rna-LIQ230CAOCH_000012-T1	PF13878.13,PF13880.13	Complete	None
gene-Q9171_000013	rna-LIQ230CAOCH_000013-T1		None	None
gene-Q9171_000014	rna-LIQ230CAOCH_000014-T1	PF00651.38	Partial	None
gene-Q9171_000015	rna-LIQ230CAOCH_000015-T1	PF01853.26	Partial	None
gene-Q9171_000016	rna-LIQ230CAOCH_000016-T1	PF30466.1,PF30466.1	Partial	None
gene-Q9171_000017	rna-LIQ230CAOCH_000017-T1	PF02567.22	Partial	None
gene-Q9171_000018	rna-LIQ230CAOCH_000018-T1		None	None
gene-Q9171_000019	rna-LIQ230CAOCH_000019-T1	PF18400.8,PF18401.8,PF18402.8	Complete	None
gene-Q9171_000020	rna-LIQ230CAOCH_000020-T1	PF00642.31,PF00642.31,PF14608.13,PF14608.13,PF18044.8	Complete	None
gene-Q9171_000021	rna-LIQ230CAOCH_000021-T1		None	None
gene-Q9171_000022	rna-LIQ230CAOCH_000022-T1	PF08238.19,PF08238.19	Complete	None
gene-Q9171_000023	rna-LIQ230CAOCH_000023-T1	PF06733.22,PF13307.13	Complete	None
gene-Q9171_000024	rna-LIQ230CAOCH_000024-T1	PF00828.26	Partial	None
gene-Q9171_000025	rna-LIQ230CAOCH_000025-T1	PF00069.32,PF07714.24	Partial	None
gene-Q9171_000026	rna-LIQ230CAOCH_000026-T1	PF12717.14,PF12922.14	Complete	None
gene-Q9171_000027	rna-LIQ230CAOCH_000027-T1	PF00583.32,PF08445.17,PF13302.14,PF13508.14,PF13673.14	Partial	None
gene-Q9171_000028	rna-LIQ230CAOCH_000028-T1	PF02450.22	Partial	None
gene-Q9171_000029	rna-LIQ230CAOCH_000029-T1	PF08389.19,PF19273.6	Partial	None
gene-Q9171_000030	rna-LIQ230CAOCH_000030-T1	PF06212.18	Partial	None
gene-Q9171_000031	rna-LIQ230CAOCH_000031-T1	PF27710.1	Partial	None
gene-Q9171_000032	rna-LIQ230CAOCH_000032-T1	PF07534.23,PF07534.23	Partial	None
gene-Q9171_000033	rna-LIQ230CAOCH_000033-T1	PF08553.17,PF17747.8,PF17748.8	Complete	None
gene-Q9171_000034	rna-LIQ230CAOCH_000034-T1	PF00366.27	Partial	None
gene-Q9171_000035	rna-LIQ230CAOCH_000035-T1	PF02020.25,PF24894.2,PF25084.2,PF25087.2	Complete	None
gene-Q9171_000036	rna-LIQ230CAOCH_000036-T1	PF00072.31,PF00447.24	Complete	None
gene-Q9171_000037	rna-LIQ230CAOCH_000037-T1	PF00578.28,PF08534.17	Partial	None
gene-Q9171_000038	rna-LIQ230CAOCH_000038-T1	PF01784.25	Partial	None
gene-Q9171_000039	rna-LIQ230CAOCH_000039-T1	PF01722.24	Partial	None
gene-Q9171_000040	rna-LIQ230CAOCH_000040-T1	PF00330.26	Partial	None
gene-Q9171_000041	rna-LIQ230CAOCH_000041-T1	PF00330.26,PF00694.26	Complete	None
gene-Q9171_000042	rna-LIQ230CAOCH_000042-T1	PF00488.28,PF01624.26,PF05188.24,PF05190.24,PF05192.24	Complete	None
