gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BU15DRAFT_57801	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57801		None	None
gene-BU15DRAFT_57802	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57802		None	None
gene-BU15DRAFT_69695	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69695		None	None
gene-BU15DRAFT_69696	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69696	PF24764.2	Partial	None
gene-BU15DRAFT_24425	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA24425		None	None
gene-BU15DRAFT_25346	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA25346		None	None
gene-BU15DRAFT_57806	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57806		None	None
gene-BU15DRAFT_69699	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69699		None	None
gene-BU15DRAFT_57807	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57807		None	None
gene-BU15DRAFT_69701	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69701	PF01926.30,PF10396.15,PF12631.13	Complete	None
gene-BU15DRAFT_84456	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84456	PF13202.13,PF13202.13,PF13202.13,PF13405.13,PF13405.13,PF13499.13,PF13499.13,PF13833.13	Complete	None
gene-BU15DRAFT_57810	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57810		None	None
gene-BU15DRAFT_69704	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69704		None	None
gene-BU15DRAFT_69705	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69705		None	None
gene-BU15DRAFT_39118	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39118	PF03062.25	Partial	None
gene-BU15DRAFT_69707	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69707		None	None
gene-BU15DRAFT_39405	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39405		None	None
gene-BU15DRAFT_84458	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84458	PF00400.39,PF00400.39	Complete	None
gene-BU15DRAFT_84459	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84459	PF17135.10	Partial	None
gene-BU15DRAFT_84461	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84461		None	None
gene-BU15DRAFT_38914	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38914	PF01926.30,PF08701.17	Complete	None
gene-BU15DRAFT_38625	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38625	PF01000.32,PF01193.30	Partial	None
gene-BU15DRAFT_57819	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57819		None	None
gene-BU15DRAFT_57820	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57820		None	None
gene-BU15DRAFT_69713	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69713	PF00724.27	Partial	None
gene-BU15DRAFT_57822	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57822	PF02373.29	Complete	None
gene-BU15DRAFT_69717	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69717		None	None
gene-BU15DRAFT_69718	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69718		None	None
gene-BU15DRAFT_57825	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57825	PF02373.29	Complete	None
gene-BU15DRAFT_69720	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69720		None	None
gene-BU15DRAFT_84467	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84467	PF00072.31	Complete	None
gene-BU15DRAFT_69722	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69722	PF04959.20,PF12066.14,PF28978.1	Complete	None
gene-BU15DRAFT_84469	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84469	PF27577.1	Complete	None
gene-BU15DRAFT_69724	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69724	PF10309.16	Partial	None
gene-BU15DRAFT_38466	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38466	PF17903.8,PF21800.5,PF22891.3	Complete	None
gene-BU15DRAFT_69726	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69726	PF09816.15	Partial	None
gene-BU15DRAFT_39485	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39485	PF13668.13	Partial	None
gene-BU15DRAFT_39333	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39333	PF00450.29	Partial	None
gene-BU15DRAFT_39338	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39338	PF01798.24,PF08156.19	Partial	None
gene-BU15DRAFT_84474	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84474		None	None
gene-BU15DRAFT_84475	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84475	PF01171.28,PF16503.11	Complete	None
gene-BU15DRAFT_84476	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84476	PF22493.3,PF22493.3	Partial	None
gene-BU15DRAFT_84477	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84477	PF12697.14	Partial	None
gene-BU15DRAFT_38851	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38851	PF05291.17	Partial	None
gene-BU15DRAFT_69733	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69733	PF01073.26,PF01370.28,PF04321.24,PF16363.12	Partial	None
gene-BU15DRAFT_69734	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69734		None	None
gene-BU15DRAFT_69735	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69735		None	None
gene-BU15DRAFT_84480	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84480	PF00615.25,PF25889.1	Complete	None
gene-BU15DRAFT_69737	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69737	PF00173.34	Complete	None
gene-BU15DRAFT_69738	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69738		None	None
gene-BU15DRAFT_38976	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38976	PF11715.17,PF23300.4,PF23347.1,PF23354.2	Complete	None
gene-BU15DRAFT_84484	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84484	PF00172.24,PF04082.24	Complete	None
gene-BU15DRAFT_69741	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69741		None	None
gene-BU15DRAFT_69742	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69742	PF07719.24,PF13181.13,PF13181.13,PF13181.13,PF13424.13,PF13432.13,PF14559.13,PF17830.7,PF17830.7	Complete	None
gene-BU15DRAFT_84486	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84486	PF00248.28	Partial	None
gene-BU15DRAFT_39088	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39088		None	None
gene-BU15DRAFT_57848	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA57848		None	None
gene-BU15DRAFT_69745	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69745		None	None
gene-BU15DRAFT_69746	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69746	PF00857.27	Partial	None
gene-BU15DRAFT_69747	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69747		None	None
gene-BU15DRAFT_84490	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84490	PF02109.22	Partial	None
gene-BU15DRAFT_84491	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84491	PF02777.24,PF02777.24	Complete	None
gene-BU15DRAFT_84492	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84492	PF00928.27	Partial	None
gene-BU15DRAFT_69751	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69751	PF00349.28,PF03727.23	Partial	None
gene-BU15DRAFT_84494	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84494	PF00170.27,PF07716.21,PF11785.14,PF11786.14	Complete	None
gene-BU15DRAFT_39075	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA39075	PF11927.15	Partial	None
gene-BU15DRAFT_84496	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84496		None	None
gene-BU15DRAFT_38475	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38475	PF10998.15	Partial	None
gene-BU15DRAFT_84498	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84498	PF02137.25,PF20526.4	Partial	None
gene-BU15DRAFT_38856	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38856	PF10294.16	Partial	None
gene-BU15DRAFT_24007	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA24007		None	None
gene-BU15DRAFT_84500	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84500	PF02628.21	Partial	None
gene-BU15DRAFT_84501	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84501	PF00227.32,PF10584.15	Complete	None
gene-BU15DRAFT_69760	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69760		None	None
gene-BU15DRAFT_69761	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69761	PF00924.25,PF13405.13,PF25886.1	Complete	None
gene-BU15DRAFT_20466	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA20466		None	None
gene-BU15DRAFT_38582	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38582	PF00009.34,PF03144.32,PF22594.3	Complete	None
gene-BU15DRAFT_38790	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38790	PF08938.17	Partial	None
gene-BU15DRAFT_69764	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA69764	PF00436.32	Partial	None
gene-BU15DRAFT_84506	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA84506	PF03928.21	Partial	None
gene-BU15DRAFT_38717	rna-gnl|WGS:WIOP|BU15DRAFT_mRNA38717	PF00005.34	Complete	None
