gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1		None	None
GML000002	GML000002_mRNA1	PF13238.13	Partial	None
GML000003	GML000003_mRNA1	PF04795.18	Complete	None
GML000003	GML000003_mRNA2	PF04795.18	Complete	Unchanged
GML000004	GML000004_mRNA1		None	None
GML000004	GML000004_mRNA2		None	Unchanged
GML000005	GML000005_mRNA1	PF00134.29,PF16899.11	Partial	None
GML000006	GML000006_mRNA1	PF02213.22	Complete	None
GML000006	GML000006_mRNA2	PF02213.22	Complete	Unchanged
GML000007	GML000007_mRNA1	PF00096.33,PF00096.33,PF00096.33,PF12874.14	Complete	None
GML000008	GML000008_mRNA1	PF05426.19	Partial	None
GML000009	GML000009_mRNA1	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
GML000010	GML000010_mRNA1		None	None
GML000011	GML000011_mRNA1	PF08576.16	Partial	None
GML000012	GML000012_mRNA1	PF00069.32,PF01388.28,PF07714.24	Complete	None
GML000012	GML000012_mRNA2	PF00069.32,PF01388.28,PF07714.24	Complete	Unchanged
GML000012	GML000012_mRNA3	PF00069.32,PF07714.24	Partial	Truncated,Loss
GML000013	GML000013_mRNA1	PF01565.29,PF02913.25,PF08914.18,PF10296.16	Complete	None
GML000013	GML000013_mRNA2	PF01565.29,PF02913.25,PF08914.18,PF10296.16	Complete	Unchanged
GML000013	GML000013_mRNA3	PF01565.29,PF02913.25,PF08914.18,PF10296.16	Complete	Unchanged
GML000013	GML000013_mRNA4	PF10296.16,PF10296.16	Partial	Loss
GML000014	GML000014_mRNA1	PF01565.29,PF02913.25,PF08914.18	Complete	None
GML000014	GML000014_mRNA2	PF01565.29,PF02913.25,PF08914.18	Complete	Unchanged
GML000014	GML000014_mRNA3	PF01565.29,PF02913.25	Partial	Loss
GML000015	GML000015_mRNA1	PF08914.18	Complete	None
GML000015	GML000015_mRNA2	PF08914.18	Complete	Unchanged
GML000016	GML000016_mRNA1	PF03133.21	Partial	None
GML000017	GML000017_mRNA1	PF03870.22	Partial	None
GML000017	GML000017_mRNA2	PF03870.22	Partial	Unchanged
GML000018	GML000018_mRNA1		None	None
GML000019	GML000019_mRNA1	PF00169.36,PF01369.26,PF15410.13	Complete	None
GML000020	GML000020_mRNA1		None	None
GML000020	GML000020_mRNA2		None	Unchanged
GML000021	GML000021_mRNA1		None	None
GML000022	GML000022_mRNA1	PF01423.29	Partial	None
GML000023	GML000023_mRNA1	PF00533.34,PF06732.17	Complete	None
GML000024	GML000024_mRNA1	PF05183.18	Partial	None
GML000024	GML000024_mRNA2	PF05183.18	Partial	Unchanged
GML000025	GML000025_mRNA1		None	None
GML000026	GML000026_mRNA1	PF00134.29,PF02984.25	Complete	None
GML000027	GML000027_mRNA1	PF01408.29	Partial	None
GML000027	GML000027_mRNA2	PF01408.29	Partial	Unchanged
GML000028	GML000028_mRNA1	PF28980.1,PF28980.1	Partial	None
GML000029	GML000029_mRNA1	PF02791.23,PF10537.15,PF15612.12,PF15613.12	Complete	None
GML000029	GML000029_mRNA2	PF02791.23,PF10537.15,PF15612.12,PF15613.12	Complete	Unchanged
GML000030	GML000030_mRNA1	PF01490.25	Partial	None
GML000031	GML000031_mRNA1	PF10075.16	Partial	None
GML000032	GML000032_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF23381.2,PF25175.2	Complete	None
GML000032	GML000032_mRNA2	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08662.18,PF12894.14,PF12894.14,PF23381.2,PF25175.2	Complete	Gain
