protein_id	length
GML000001_mRNA1	113
GML000101_mRNA1	302
GML000201_mRNA1	617
GML000301_mRNA1	556
GML000401_mRNA1	367
GML000501_mRNA1	194
GML000601_mRNA1	308
GML000701_mRNA1	90
GML000801_mRNA1	121
GML000901_mRNA1	325
GML001001_mRNA1	182
GML001101_mRNA1	590
GML001201_mRNA1	92
GML001301_mRNA1	232
GML001401_mRNA1	254
GML001501_mRNA1	252
GML001601_mRNA1	247
GML001701_mRNA1	621
GML001801_mRNA1	125
GML001901_mRNA1	438
GML002001_mRNA1	1039
GML002101_mRNA1	915
GML002201_mRNA1	649
GML002301_mRNA1	150
GML002401_mRNA1	624
GML002501_mRNA1	170
GML002601_mRNA1	195
GML002701_mRNA1	701
GML002801_mRNA1	342
GML002901_mRNA1	253
GML003001_mRNA1	257
GML003101_mRNA1	839
GML003201_mRNA1	505
GML003301_mRNA1	283
GML003401_mRNA1	2010
GML003501_mRNA1	117
GML003601_mRNA1	213
GML003701_mRNA1	324
GML003801_mRNA1	1321
GML003900_mRNA1	442
GML004001_mRNA1	249
GML004101_mRNA1	121
GML004201_mRNA1	60
GML004301_mRNA1	168
GML004401_mRNA1	544
GML004501_mRNA1	120
GML004601_mRNA1	218
GML004701_mRNA1	152
GML004801_mRNA1	684
GML004901_mRNA1	929
GML005001_mRNA1	1074
GML005101_mRNA1	121
GML005201_mRNA1	350
GML005301_mRNA1	548
GML005401_mRNA1	205
GML005501_mRNA1	1448
GML005601_mRNA1	460
GML005701_mRNA1	481
GML005801_mRNA1	672
GML005901_mRNA1	800
GML006001_mRNA1	70
GML006101_mRNA1	399
GML006201_mRNA1	276
GML006301_mRNA1	967
GML006401_mRNA1	377
GML006501_mRNA1	425
GML006601_mRNA1	104
GML006701_mRNA1	405
GML006801_mRNA1	214
GML006901_mRNA1	85
GML007001_mRNA1	248
GML007101_mRNA1	191
GML007201_mRNA1	358
GML007301_mRNA1	237
GML007401_mRNA1	378
GML007501_mRNA1	385
GML007601_mRNA1	472
GML007701_mRNA1	392
GML007801_mRNA1	124
GML007901_mRNA1	356
GML008001_mRNA1	85
GML008101_mRNA1	58
GML008201_mRNA1	564
GML008301_mRNA1	98
GML008401_mRNA1	798
GML008501_mRNA1	107
GML008601_mRNA1	376
GML008701_mRNA1	1075
GML008801_mRNA1	1355
GML008901_mRNA1	748
GML009001_mRNA1	553
GML009101_mRNA1	515
GML009201_mRNA1	698
GML009301_mRNA1	240
GML009401_mRNA1	741
GML009501_mRNA1	132
GML009601_mRNA1	192
GML009701_mRNA1	380
GML009801_mRNA1	171
GML009901_mRNA1	195
GML010001_mRNA1	135
GML010101_mRNA1	298
GML010201_mRNA1	185
GML010301_mRNA1	594
GML010401_mRNA1	154
GML010501_mRNA1	828
GML010601_mRNA1	364
GML010701_mRNA1	414
GML010801_mRNA1	1169
GML010901_mRNA1	168
GML011001_mRNA1	339
GML011101_mRNA1	657
