protein_id	length
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA12	196
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA584721	532
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA686066	118
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA686170	228
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA585250	527
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA764233	621
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA773127	410
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA710017	409
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA673250	204
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA673331	104
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA710289	419
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA686939	417
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA339644	227
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA710555	165
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA387581	249
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA710737	272
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA420058	201
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA449648	147
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA687570	226
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA687660	318
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA648219	268
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA711281	518
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA15831	115
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA588368	376
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA688088	351
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA711638	238
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA701622	466
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA589277	274
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA688435	345
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA701794	242
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA107257	114
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA688734	640
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA688815	782
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA590483	484
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA590527	518
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA765997	516
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA775528	314
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA675647	518
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA689397	374
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA591646	449
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA702450	552
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA591867	410
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA702575	186
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA592448	715
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA737769	585
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA652696	272
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA713510	164
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA593086	521
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA593313	79
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA713785	266
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA690453	451
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA690561	391
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA690663	540
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA676978	419
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA690838	320
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA626337	592
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA594942	201
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA654893	466
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA677375	1187
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA777401	314
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA691417	459
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA627400	509
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA596037	417
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA596294	143
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA596393	531
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA370374	164
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA596661	454
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA390416	114
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA393386	396
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA692231	168
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA767982	365
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA405138	500
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA577611	146
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA778489	645
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA678673	383
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA422291	66
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA658206	463
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA598960	591
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA599081	412
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA436526	120
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA438752	160
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA599770	520
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA580158	324
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA659481	459
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA600330	474
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA705132	579
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA679648	467
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA632099	466
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA693985	60
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA679897	301
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA705436	526
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA493924	306
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA680144	146
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA717738	268
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA508275	333
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA780195	311
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA694676	338
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA694766	176
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA603185	406
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA694941	185
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA695010	270
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA718434	985
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA603990	247
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA604234	195
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA35216	525
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA604631	229
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA781044	582
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA663843	986
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA719079	967
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA605479	411
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA68041	449
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA605765	226
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA606024	1101
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA696162	457
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA696240	371
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA719693	166
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA606738	279
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA719873	874
rna-gnl|WGS:JAAGLC|K491DRAFT_mRNA696584	522
