gene_id	pfam_ids	go_ids	bin_id
gene-BYT42DRAFT_550469		NA	100
gene-BYT42DRAFT_488077	PF00789.27	GO:0005515	100
gene-BYT42DRAFT_609057	PF01381.29,PF02560.20	GO:0009440	8
gene-BYT42DRAFT_550485	PF00550.32	NA	100
gene-BYT42DRAFT_487876	PF00735.25,PF01926.30	GO:0005525	100
gene-BYT42DRAFT_609060		NA	100
gene-BYT42DRAFT_550489		NA	100
gene-BYT42DRAFT_550494	PF01769.22,PF01769.22	GO:0006812,GO:0008324	6
gene-BYT42DRAFT_591132	PF02518.32,PF10436.15,PF13589.13	NA	100
gene-BYT42DRAFT_339	PF01798.24,PF09785.15	NA	100
gene-BYT42DRAFT_410	PF00076.29,PF00098.29,PF00098.29	GO:0003676,GO:0003723,GO:0008270	4
gene-BYT42DRAFT_296	PF15404.14,PF23207.2	NA	100
gene-BYT42DRAFT_541564	PF01182.27	GO:0005975	8
gene-BYT42DRAFT_435	PF01535.27,PF01535.27,PF01535.27,PF01535.27,PF01535.27,PF01535.27,PF12854.14,PF13041.13,PF13041.13,PF13041.13,PF13041.13,PF13041.13,PF13812.13,PF13812.13,PF13812.13,PF13812.13,PF17177.11,PF17177.11,PF23276.3,PF23276.3	NA	100
gene-BYT42DRAFT_640463		NA	100
gene-BYT42DRAFT_609069		NA	100
gene-BYT42DRAFT_541566	PF10178.15	GO:0043248	100
gene-BYT42DRAFT_550503	PF00270.36,PF00271.38,PF04851.22,PF13959.12	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-BYT42DRAFT_506692	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF25391.2	GO:0005515,GO:0007165	3
gene-BYT42DRAFT_610	PF10452.15	GO:0031929,GO:0031931	3
gene-BYT42DRAFT_623		NA	100
gene-BYT42DRAFT_622	PF00887.25	GO:0000062	100
gene-BYT42DRAFT_680	PF14613.13,PF19343.6	NA	100
gene-BYT42DRAFT_t19		NA	100
gene-BYT42DRAFT_550514	PF01412.24	GO:0005096	100
gene-BYT42DRAFT_550517	PF00724.27	GO:0010181,GO:0016491	8
gene-BYT42DRAFT_609078	PF07985.19	NA	100
gene-BYT42DRAFT_550535	PF00348.23	GO:0004659,GO:0008299	8
gene-BYT42DRAFT_550537	PF00213.24	GO:0015986,GO:0046933	6
gene-BYT42DRAFT_609081		NA	100
gene-BYT42DRAFT_855	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-BYT42DRAFT_469838	PF00149.34	GO:0016787	8
gene-BYT42DRAFT_488025	PF01764.32,PF26363.2	GO:0006629	8
gene-BYT42DRAFT_524239	PF00566.26,PF23436.2	NA	100
gene-BYT42DRAFT_640479	PF00646.39,PF12937.13,PF13516.13,PF25372.2	GO:0005515	100
gene-BYT42DRAFT_541583		NA	100
gene-BYT42DRAFT_609088	PF00505.26,PF00505.26,PF09011.17,PF09011.17	NA	100
gene-BYT42DRAFT_609089	PF12024.14	NA	100
gene-BYT42DRAFT_550551	PF00208.28,PF05088.19,PF23147.3,PF23152.2	GO:0004069,GO:0004352,GO:0006520,GO:0006538,GO:0016491	8
gene-BYT42DRAFT_487477	PF04124.19	GO:0017119	100
gene-BYT42DRAFT_550554	PF03398.20	GO:0015031	6
gene-BYT42DRAFT_488317	PF04140.20,PF04191.19	GO:0004671,GO:0006481,GO:0016020	8
gene-BYT42DRAFT_550558		NA	100
gene-BYT42DRAFT_550568		NA	100
gene-BYT42DRAFT_1149	PF23553.1	NA	100
gene-BYT42DRAFT_609097	PF00294.30	NA	100
gene-BYT42DRAFT_601005	PF00723.28,PF15711.11,PF19292.5	NA	100
gene-BYT42DRAFT_550576	PF01189.24	NA	100
gene-BYT42DRAFT_550579	PF05603.18,PF21057.3	NA	100
gene-BYT42DRAFT_550581	PF01546.34,PF04389.23	GO:0016787	8
gene-BYT42DRAFT_550586	PF03097.25,PF13949.12	GO:0005515	100
gene-BYT42DRAFT_1370	PF00505.26,PF00505.26,PF00505.26,PF09011.17,PF09011.17,PF09011.17	NA	100
gene-BYT42DRAFT_550599		NA	100
gene-BYT42DRAFT_550601	PF00476.27,PF18136.7	GO:0003677,GO:0003887,GO:0006260	4
