gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BXZ73DRAFT_95297	rna-XM_048026737.1		None	None
gene-BXZ73DRAFT_37413	rna-XM_048017996.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF12937.13	Complete	None
gene-BXZ73DRAFT_95299	rna-XM_048026738.1		None	None
gene-BXZ73DRAFT_37490	rna-XM_048018017.1	PF00160.27	Partial	None
gene-BXZ73DRAFT_86048	rna-XM_048024054.1	PF02580.23	Partial	None
gene-BXZ73DRAFT_86049	rna-XM_048024055.1		None	None
gene-BXZ73DRAFT_86050	rna-XM_048024056.1	PF09532.16,PF12701.14	Complete	None
gene-BXZ73DRAFT_37271	rna-XM_048017968.1	PF01121.27	Partial	None
gene-BXZ73DRAFT_86051	rna-XM_048024057.1		None	None
gene-BXZ73DRAFT_95305	rna-XM_048026739.1	PF10300.16	Partial	None
gene-BXZ73DRAFT_37579	rna-XM_048018040.1	PF04109.22	Partial	None
gene-BXZ73DRAFT_95307	rna-XM_048026740.1	PF02752.28	Partial	None
gene-BXZ73DRAFT_95308	rna-XM_048026741.1		None	None
gene-BXZ73DRAFT_37829	rna-XM_048018084.1	PF00447.24	Partial	None
gene-BXZ73DRAFT_37324	rna-XM_048017977.1	PF06419.18,PF20653.4	Partial	None
gene-BXZ73DRAFT_37688	rna-XM_048018060.1	PF08695.17	Partial	None
gene-BXZ73DRAFT_86056	rna-XM_048024058.1	PF00676.26	Partial	None
gene-BXZ73DRAFT_86057	rna-XM_048024059.1	PF00514.30	Complete	None
gene-BXZ73DRAFT_86058	rna-XM_048024060.1	PF01910.23	Partial	None
gene-BXZ73DRAFT_37322	rna-XM_048017976.1	PF00145.24,PF01426.25,PF12047.14	Complete	None
gene-BXZ73DRAFT_86059	rna-XM_048024061.1	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF24901.3	Complete	None
gene-BXZ73DRAFT_86060	rna-XM_048024062.1	PF00082.28,PF01483.28	Complete	None
gene-BXZ73DRAFT_86061	rna-XM_048024063.1	PF02219.24,PF21895.2	Partial	None
gene-BXZ73DRAFT_95317	rna-XM_048026742.1	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-BXZ73DRAFT_86063	rna-XM_048024064.1	PF04177.19	Partial	None
gene-BXZ73DRAFT_37305	rna-XM_048017973.1	PF16686.12	Complete	None
gene-BXZ73DRAFT_31926	rna-XM_048017814.1		None	None
gene-BXZ73DRAFT_37461	rna-XM_048018011.1	PF00447.24	Partial	None
gene-BXZ73DRAFT_86065	rna-XM_048024065.1	PF02779.30,PF02780.26	Complete	None
gene-BXZ73DRAFT_86066	rna-XM_048024066.1		None	None
