gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-CXG81DRAFT_16245	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16245		None	None
gene-CXG81DRAFT_23039	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23039		None	None
gene-CXG81DRAFT_16246	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16246		None	None
gene-CXG81DRAFT_16247	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16247		None	None
gene-CXG81DRAFT_8418	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8418	PF00004.36,PF03215.22,PF07728.21	Partial	None
gene-CXG81DRAFT_16249	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16249	PF00011.28	Partial	None
gene-CXG81DRAFT_7928	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA7928	PF00011.28	Partial	None
gene-CXG81DRAFT_8441	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8441	PF00730.32	Partial	None
gene-CXG81DRAFT_23046	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23046		None	None
gene-CXG81DRAFT_16253	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16253	PF09736.15	Partial	None
gene-CXG81DRAFT_23048	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23048	PF01529.26	Complete	None
gene-CXG81DRAFT_16255	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16255	PF00400.39	Complete	None
gene-CXG81DRAFT_8398	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8398	PF03876.23,PF08292.19	Partial	None
gene-CXG81DRAFT_16257	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16257	PF00175.27,PF00258.31,PF00667.27	Complete	None
gene-CXG81DRAFT_16258	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16258		None	None
gene-CXG81DRAFT_23053	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23053	PF01764.32	Complete	None
gene-CXG81DRAFT_23054	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23054		None	None
gene-CXG81DRAFT_16260	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16260		None	None
gene-CXG81DRAFT_23056	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23056	PF01185.24	Partial	None
gene-CXG81DRAFT_16261	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16261	PF13516.13,PF27087.1	Complete	None
gene-CXG81DRAFT_8393	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8393	PF03171.27,PF14226.13	Complete	None
gene-CXG81DRAFT_16263	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16263		None	None
gene-CXG81DRAFT_23060	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23060	PF00080.26	Partial	None
gene-CXG81DRAFT_16265	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16265	PF06220.19	Partial	None
gene-CXG81DRAFT_16266	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16266		None	None
gene-CXG81DRAFT_23063	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23063		None	None
gene-CXG81DRAFT_23064	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23064		None	None
gene-CXG81DRAFT_23065	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23065		None	None
gene-CXG81DRAFT_838	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA838	PF08566.16	Partial	None
gene-CXG81DRAFT_8422	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8422	PF00069.32,PF00069.32,PF07714.24	Partial	None
gene-CXG81DRAFT_16271	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16271		None	None
gene-CXG81DRAFT_8483	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8483	PF00009.34,PF00679.31,PF14492.13	Complete	None
gene-CXG81DRAFT_8426	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8426	PF00226.37,PF21884.3	Complete	None
gene-CXG81DRAFT_23071	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23071	PF13864.12	Complete	None
gene-CXG81DRAFT_23072	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23072		None	None
gene-CXG81DRAFT_2850	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA2850	PF01423.29	Partial	None
gene-CXG81DRAFT_8473	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8473	PF13085.12,PF13183.12,PF13237.12,PF13534.12	Complete	None
gene-CXG81DRAFT_8013	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8013	PF00013.36,PF00098.29,PF16275.11,PF22675.3	Complete	None
gene-CXG81DRAFT_8412	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8412	PF02434.24,PF04646.19,PF14295.13	Complete	None
gene-CXG81DRAFT_8421	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8421	PF00023.37,PF27704.2	Complete	None
gene-CXG81DRAFT_7822	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA7822	PF00953.27	Partial	None
gene-CXG81DRAFT_23079	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23079		None	None
gene-CXG81DRAFT_23080	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23080		None	None
gene-CXG81DRAFT_23081	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23081	PF00400.39,PF00400.39	Complete	None
gene-CXG81DRAFT_16281	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16281		None	None
gene-CXG81DRAFT_16282	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16282	PF08234.18	Complete	None
gene-CXG81DRAFT_16283	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16283	PF10193.15	Complete	None
gene-CXG81DRAFT_16284	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16284		None	None
gene-CXG81DRAFT_16285	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA16285	PF04118.21,PF24598.2	Complete	None
gene-CXG81DRAFT_2452	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA2452	PF02582.20	Partial	None
gene-CXG81DRAFT_8477	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA8477	PF00432.28	Partial	None
gene-CXG81DRAFT_23088	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23088	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12265.15	Complete	None
gene-CXG81DRAFT_23089	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA23089	PF11976.15	Complete	None
gene-CXG81DRAFT_29055	rna-gnl|WGS:QAJV|CXG81DRAFT_mRNA29055	PF01066.27	Partial	None
