gene_id	pfam_ids	go_ids	bin_id
gene-MEPE_00001	PF00078.33,PF00385.31,PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF24626.2	NA	1
gene-MEPE_00002		NA	100
gene-MEPE_00003	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-MEPE_00004		NA	100
gene-MEPE_00005	PF00583.32	GO:0016747	8
gene-MEPE_00006	PF00724.27	GO:0010181,GO:0016491	8
gene-MEPE_00007	PF00226.37,PF00684.26,PF01556.24	GO:0031072,GO:0051082	100
gene-MEPE_00008	PF04227.18	GO:0004730	8
gene-MEPE_00009	PF00294.30	NA	100
gene-MEPE_00010		NA	100
gene-MEPE_00011	PF00254.35,PF17800.8	GO:0003755	8
gene-MEPE_00012		NA	100
gene-MEPE_00013		NA	100
gene-MEPE_00014	PF07971.19,PF17678.8	NA	100
gene-MEPE_00015	PF02544.22,PF04140.20,PF06966.18	GO:0004671,GO:0006481,GO:0006629,GO:0016020,GO:0016627	8
gene-MEPE_00016	PF04515.19	GO:0022857,GO:0055085	6
gene-MEPE_00017	PF00501.35,PF13193.13	NA	100
gene-MEPE_00018		NA	100
gene-MEPE_00019	PF05180.18	GO:0008270	100
gene-MEPE_00020	PF24913.2,PF24913.2	NA	100
gene-MEPE_00021	PF01472.27,PF17832.8,PF26292.1	GO:0003723	4
gene-MEPE_00022	PF00494.25	GO:0009058	8
gene-MEPE_00023	PF04387.20	NA	100
gene-MEPE_00024	PF03006.27	GO:0016020	100
gene-MEPE_00025	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-MEPE_00026	PF03009.24	GO:0006629,GO:0008081	8
gene-MEPE_00027	PF03969.23	GO:0005524,GO:0016887	8
gene-MEPE_00028		NA	100
gene-MEPE_00029	PF00903.32	NA	100
gene-MEPE_00030	PF07690.22	GO:0022857,GO:0055085	6
gene-MEPE_00031	PF00561.27,PF12146.16,PF12697.14	NA	100
gene-MEPE_00032	PF07859.20,PF20434.6	GO:0016787	8
gene-MEPE_00033	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-MEPE_00034		NA	100
gene-MEPE_00035	PF05724.18,PF08241.19,PF13649.13	GO:0008757	8
gene-MEPE_00036	PF03937.22	NA	100
gene-MEPE_00037	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-MEPE_00038	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-MEPE_00039		NA	100
gene-MEPE_00040	PF04193.20,PF04193.20	NA	100
gene-MEPE_07000		NA	100
gene-MEPE_00041	PF01619.25,PF01619.25	NA	100
gene-MEPE_00042	PF05153.22	GO:0005506,GO:0005737,GO:0019310,GO:0050113	2
gene-MEPE_00043	PF24840.2	NA	100
gene-MEPE_00044	PF00070.34,PF00355.33,PF07992.21	GO:0016491,GO:0051537	8
gene-MEPE_00045		NA	100
gene-MEPE_00046	PF00226.37	NA	100
gene-MEPE_00047		NA	100
gene-MEPE_00048	PF03313.22,PF03315.22	GO:0003941,GO:0006094,GO:0051539	8
gene-MEPE_00049		NA	100
gene-MEPE_00050	PF13523.13	NA	100
gene-MEPE_00051	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-MEPE_00052	PF00724.27	GO:0010181,GO:0016491	8
gene-MEPE_00053		NA	100
gene-MEPE_00054	PF07719.24,PF13181.13,PF13429.13,PF13432.13	GO:0005515	100
gene-MEPE_00055	PF06687.18	GO:0005886	100
gene-MEPE_00056		NA	100
gene-MEPE_00057	PF01565.29,PF04030.20,PF04030.20	GO:0003885,GO:0016020,GO:0050660	8
gene-MEPE_00058		NA	100
gene-MEPE_00059	PF01220.26	GO:0003855	8
gene-MEPE_00060		NA	100
gene-MEPE_00061	PF07264.18	NA	100
gene-MEPE_07001		NA	100
gene-MEPE_00062	PF01490.25	NA	100
gene-MEPE_00063	PF04588.19	NA	100
gene-MEPE_00064		NA	100
gene-MEPE_00065	PF07690.22	GO:0022857,GO:0055085	6
gene-MEPE_00066	PF00581.26,PF00581.26	NA	100
