gene_id	pfam_ids	go_ids	bin_id
gene-P171DRAFT_425688		NA	100
gene-P171DRAFT_400477	PF01636.30	NA	100
gene-P171DRAFT_37		NA	100
gene-P171DRAFT_437942	PF03443.21	NA	100
gene-P171DRAFT_450165	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-P171DRAFT_515235	PF20684.4	NA	100
gene-P171DRAFT_459317		NA	100
gene-P171DRAFT_425694	PF06609.19,PF07690.22	GO:0022857,GO:0055085	6
gene-P171DRAFT_437946		NA	100
gene-P171DRAFT_467812		NA	100
gene-P171DRAFT_346726	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
gene-P171DRAFT_467813		NA	100
gene-P171DRAFT_459319	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-P171DRAFT_425699	PF03061.29	NA	100
gene-P171DRAFT_425700	PF02410.23	NA	100
gene-P171DRAFT_346610	PF04981.20,PF21192.4,PF21193.4,PF29994.1	NA	100
gene-P171DRAFT_276		NA	100
gene-P171DRAFT_425702	PF03198.21,PF07983.19	NA	100
gene-P171DRAFT_212	PF20566.4	NA	100
gene-P171DRAFT_375159	PF11707.14,PF16201.11,PF26140.1	NA	100
gene-P171DRAFT_400508	PF06609.19,PF07690.22	GO:0022857,GO:0055085	6
gene-P171DRAFT_467820	PF27751.1	NA	100
gene-P171DRAFT_478233		NA	100
gene-P171DRAFT_515249		NA	100
gene-P171DRAFT_437958		NA	100
gene-P171DRAFT_437959		NA	100
gene-P171DRAFT_346489		NA	100
gene-P171DRAFT_437960		NA	100
gene-P171DRAFT_467821	PF14328.12	NA	100
gene-P171DRAFT_418		NA	100
gene-P171DRAFT_417		NA	100
gene-P171DRAFT_414		NA	100
gene-P171DRAFT_478240		NA	100
gene-P171DRAFT_437968		NA	100
gene-P171DRAFT_375173	PF23190.2,PF23317.2	NA	100
gene-P171DRAFT_490	PF00117.35,PF00185.31,PF00988.29,PF02142.28,PF02222.28,PF02729.27,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF07478.19,PF25596.2,PF25596.2	GO:0005524,GO:0006520,GO:0008716,GO:0016597,GO:0016743	8
gene-P171DRAFT_459330	PF00957.28,PF13774.14	NA	100
gene-P171DRAFT_347903	PF01900.25	GO:0001682,GO:0030677	8
gene-P171DRAFT_478245		NA	100
gene-P171DRAFT_509	PF07859.20,PF12697.14,PF20434.6	GO:0016787	8
gene-P171DRAFT_425716		NA	100
gene-P171DRAFT_535		NA	100
gene-P171DRAFT_589		NA	100
gene-P171DRAFT_533	PF01490.25	NA	100
gene-P171DRAFT_346508	PF10383.16,PF16761.11	NA	100
gene-P171DRAFT_375186	PF00176.30,PF00271.38,PF04851.22	GO:0003677,GO:0005524,GO:0016787	4
gene-P171DRAFT_492444		NA	100
gene-P171DRAFT_425721	PF01070.25,PF01645.24	GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
gene-P171DRAFT_886		NA	100
gene-P171DRAFT_375195	PF06824.18	NA	100
gene-P171DRAFT_515264	PF06807.20,PF16573.11,PF16575.12	GO:0031124	8
gene-P171DRAFT_425726	PF03770.23	GO:0016301,GO:0032958	3
