gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-PUNSTDRAFT_139760	rna-XM_007377949.1		None	None
gene-PUNSTDRAFT_139761	rna-XM_007377950.1	PF00025.28,PF00071.29,PF08477.20	Partial	None
gene-PUNSTDRAFT_128778	rna-XM_007377951.1	PF00350.30,PF24564.2	Complete	None
gene-PUNSTDRAFT_78541	rna-XM_007377952.1	PF00743.26,PF07992.21,PF13434.13,PF13738.13	Partial	None
gene-PUNSTDRAFT_139763	rna-XM_007377953.1	PF10334.17,PF10337.16	Complete	None
gene-PUNSTDRAFT_109449	rna-XM_007377954.1		None	None
gene-PUNSTDRAFT_94058	rna-XM_007377955.1	PF00378.26,PF16113.11	Partial	None
gene-PUNSTDRAFT_78548	rna-XM_007377956.1	PF07690.22	Partial	None
gene-PUNSTDRAFT_139767	rna-XM_007377957.1	PF07859.20,PF10340.16,PF20434.6	Partial	None
gene-PUNSTDRAFT_128785	rna-XM_007377958.1	PF00350.30	Partial	None
gene-PUNSTDRAFT_123305	rna-XM_007377959.1	PF07690.22	Partial	None
gene-PUNSTDRAFT_40812	rna-XM_007377960.1		None	None
gene-PUNSTDRAFT_128788	rna-XM_007377961.1	PF02714.21,PF12621.14,PF13967.12,PF14703.13	Complete	None
gene-PUNSTDRAFT_139769	rna-XM_007377962.1		None	None
gene-PUNSTDRAFT_128790	rna-XM_007377963.1	PF07876.19	Partial	None
gene-PUNSTDRAFT_117041	rna-XM_007377964.1	PF00106.32,PF13561.13	Partial	None
gene-PUNSTDRAFT_128792	rna-XM_007377965.1		None	None
gene-PUNSTDRAFT_139772	rna-XM_007377966.1		None	None
gene-PUNSTDRAFT_48187	rna-XM_007377967.1		None	None
gene-PUNSTDRAFT_78560	rna-XM_007379606.1	PF01048.27	Partial	None
gene-PUNSTDRAFT_78563	rna-XM_007377968.1	PF01169.26,PF01169.26	Complete	None
gene-PUNSTDRAFT_128797	rna-XM_007377969.1	PF12770.13	Partial	None
gene-PUNSTDRAFT_78565	rna-XM_007377970.1	PF02714.21,PF12621.14,PF13967.12,PF14703.13	Complete	None
gene-PUNSTDRAFT_94082	rna-XM_007377971.1	PF00069.32,PF07714.24	Partial	None
gene-PUNSTDRAFT_128800	rna-XM_007377972.1		None	None
gene-PUNSTDRAFT_139777	rna-XM_007377973.1		None	None
gene-PUNSTDRAFT_117047	rna-XM_007377974.1		None	None
gene-PUNSTDRAFT_94087	rna-XM_007377975.1	PF01399.34,PF22061.3	Partial	None
gene-PUNSTDRAFT_128805	rna-XM_007377976.1		None	None
gene-PUNSTDRAFT_123315	rna-XM_007377977.1		None	None
gene-PUNSTDRAFT_109464	rna-XM_007377978.1	PF00004.36,PF04212.25,PF07728.21,PF09336.17,PF17862.8	Complete	None
gene-PUNSTDRAFT_57742	rna-XM_007377979.1	PF00069.32,PF07714.24	Partial	None
gene-PUNSTDRAFT_23014	rna-XM_007377980.1		None	None
gene-PUNSTDRAFT_56935	rna-XM_007377981.1	PF00069.32,PF07714.24	Partial	None
gene-PUNSTDRAFT_128811	rna-XM_007377982.1		None	None
gene-PUNSTDRAFT_94091	rna-XM_007377983.1	PF12678.14,PF12861.14	Partial	None
gene-PUNSTDRAFT_58350	rna-XM_007377984.1	PF04468.18	Complete	None
gene-PUNSTDRAFT_117051	rna-XM_007377985.1	PF08737.16,PF08737.16	Partial	None
gene-PUNSTDRAFT_17594	rna-XM_007377986.1	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-PUNSTDRAFT_94095	rna-XM_007377987.1	PF12572.14	Partial	None
gene-PUNSTDRAFT_117053	rna-XM_007377988.1	PF01758.22,PF13593.12	Partial	None
gene-PUNSTDRAFT_128818	rna-XM_007377989.1	PF01758.22,PF13593.12	Partial	None
gene-PUNSTDRAFT_123321	rna-XM_007377990.1		None	None
gene-PUNSTDRAFT_128821	rna-XM_007377991.1		None	None
gene-PUNSTDRAFT_94105	rna-XM_007377992.1	PF12678.14,PF12861.14	Partial	None
gene-PUNSTDRAFT_128822	rna-XM_007377993.1		None	None
gene-PUNSTDRAFT_128823	rna-XM_007377994.1		None	None
gene-PUNSTDRAFT_139790	rna-XM_007377995.1		None	None
gene-PUNSTDRAFT_128825	rna-XM_007377996.1		None	None
gene-PUNSTDRAFT_58324	rna-XM_007377997.1	PF04051.22	Partial	None
gene-PUNSTDRAFT_56352	rna-XM_007377998.1	PF02207.26,PF02617.23,PF18995.6,PF22960.3,PF30856.1	Complete	None
gene-PUNSTDRAFT_57115	rna-XM_007377999.1	PF00749.28,PF19269.5	Complete	None
gene-PUNSTDRAFT_117058	rna-XM_007378000.1		None	None
gene-PUNSTDRAFT_78600	rna-XM_007378001.1	PF12271.15	Partial	None
gene-PUNSTDRAFT_48209	rna-XM_007378002.1		None	None
gene-PUNSTDRAFT_139796	rna-XM_007378003.1		None	None
gene-PUNSTDRAFT_128833	rna-XM_007378004.1		None	None
gene-PUNSTDRAFT_94115	rna-XM_007379613.1	PF01328.23	Partial	None
gene-PUNSTDRAFT_94117	rna-XM_007378005.1		None	None
gene-PUNSTDRAFT_48212	rna-XM_007378006.1	PF01172.25,PF09377.17,PF20268.5	Complete	None
gene-PUNSTDRAFT_94123	rna-XM_007378007.1	PF01379.26,PF03900.21	Complete	None
gene-PUNSTDRAFT_58743	rna-XM_007378008.1	PF01106.23,PF08712.17	Complete	None
gene-PUNSTDRAFT_123330	rna-XM_007378009.1		None	None
gene-PUNSTDRAFT_40844	rna-XM_007378010.1		None	None
gene-PUNSTDRAFT_139803	rna-XM_007378011.1		None	None
gene-PUNSTDRAFT_22626	rna-XM_007378012.1		None	None
gene-PUNSTDRAFT_22603	rna-XM_007378013.1		None	None
gene-PUNSTDRAFT_59508	rna-XM_007378014.1		None	None
gene-PUNSTDRAFT_58386	rna-XM_007378015.1	PF04616.21	Partial	None
gene-PUNSTDRAFT_78621	rna-XM_007378016.1	PF00962.29	Partial	None
gene-PUNSTDRAFT_78625	rna-XM_007378017.1	PF00450.29	Partial	None
gene-PUNSTDRAFT_59810	rna-XM_007378018.1		None	None
gene-PUNSTDRAFT_123335	rna-XM_007378019.1	PF00450.29	Partial	None
gene-PUNSTDRAFT_139809	rna-XM_007378020.1		None	None
gene-PUNSTDRAFT_128852	rna-XM_007378021.1	PF01595.26,PF01595.26	Partial	None
gene-PUNSTDRAFT_128853	rna-XM_007378022.1	PF04752.18	Partial	None
gene-PUNSTDRAFT_48233	rna-XM_007378023.1	PF02666.21,PF02666.21	Partial	None
gene-PUNSTDRAFT_117070	rna-XM_007378024.1	PF11221.14	Partial	None
gene-PUNSTDRAFT_123337	rna-XM_007378025.1	PF00248.28	Partial	None
gene-PUNSTDRAFT_t1	gene-PUNSTDRAFT_t1		None	None
gene-PUNSTDRAFT_48236	rna-XM_007378026.1	PF04641.19	Partial	None
gene-PUNSTDRAFT_59614	rna-XM_007378027.1	PF00025.28,PF00503.27	Partial	None
gene-PUNSTDRAFT_123340	rna-XM_007378028.1	PF00134.29,PF08613.17	Partial	None
gene-PUNSTDRAFT_117074	rna-XM_007378029.1		None	None
gene-PUNSTDRAFT_139817	rna-XM_007378030.1	PF08631.17	Partial	None
gene-PUNSTDRAFT_117078	rna-XM_007378031.1	PF00248.28	Partial	None
gene-PUNSTDRAFT_128865	rna-XM_007378032.1		None	None
gene-PUNSTDRAFT_40862	rna-XM_007378033.1	PF20152.5	Partial	None
gene-PUNSTDRAFT_48252	rna-XM_007378034.1	PF01063.25	Partial	None
gene-PUNSTDRAFT_57309	rna-XM_007378035.1	PF07690.22	Partial	None
gene-PUNSTDRAFT_94168	rna-XM_007378036.1	PF00293.35	Partial	None
gene-PUNSTDRAFT_56266	rna-XM_007378037.1		None	None
gene-PUNSTDRAFT_21766	rna-XM_007378038.1		None	None
gene-PUNSTDRAFT_128872	rna-XM_007378039.1		None	None
gene-PUNSTDRAFT_48256	rna-XM_007378040.1	PF00005.34,PF00005.34,PF12848.14	Complete	None
gene-PUNSTDRAFT_128874	rna-XM_007378041.1	PF00026.29,PF14543.12	Partial	None
gene-PUNSTDRAFT_139827	rna-XM_007378042.1		None	None
gene-PUNSTDRAFT_139828	rna-XM_007378043.1		None	None
gene-PUNSTDRAFT_t15	gene-PUNSTDRAFT_t15		None	None
gene-PUNSTDRAFT_128878	rna-XM_007378044.1		None	None
gene-PUNSTDRAFT_139830	rna-XM_007378045.1		None	None
gene-PUNSTDRAFT_123350	rna-XM_007378046.1		None	None
gene-PUNSTDRAFT_128882	rna-XM_007378047.1	PF00026.29	Partial	None
gene-PUNSTDRAFT_94184	rna-XM_007378048.1	PF01204.25,PF17389.9,PF22422.3	Partial	None
gene-PUNSTDRAFT_109509	rna-XM_007378049.1		None	None
gene-PUNSTDRAFT_48262	rna-XM_007378050.1		None	None
gene-PUNSTDRAFT_48263	rna-XM_007378051.1	PF01204.25	Partial	None
gene-PUNSTDRAFT_128887	rna-XM_007378052.1	PF01476.27,PF01476.27,PF01476.27,PF01476.27	Complete	None
gene-PUNSTDRAFT_109510	rna-XM_007378053.1	PF00704.35	Partial	None
gene-PUNSTDRAFT_117087	rna-XM_007378054.1		None	None
gene-PUNSTDRAFT_57692	rna-XM_007378055.1	PF04051.22	Partial	None
gene-PUNSTDRAFT_128891	rna-XM_007378056.1	PF01180.28	Partial	None
gene-PUNSTDRAFT_94195	rna-XM_007378057.1	PF13450.13	Partial	None
gene-PUNSTDRAFT_78683	rna-XM_007378058.1	PF06991.17	Partial	None
gene-PUNSTDRAFT_59502	rna-XM_007378059.1	PF01521.27	Partial	None
gene-PUNSTDRAFT_40882	rna-XM_007378060.1		None	None
gene-PUNSTDRAFT_139841	rna-XM_007378061.1	PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26	Complete	None
