protein_id	length
GML000001_mRNA1	338
GML000101_mRNA1	745
GML000201_mRNA1	197
GML000301_mRNA1	1215
GML000401_mRNA1	184
GML000501_mRNA1	382
GML000601_mRNA1	453
GML000701_mRNA1	223
GML000801_mRNA1	345
GML000901_mRNA1	1752
GML001001_mRNA1	607
GML001101_mRNA1	477
GML001201_mRNA1	168
GML001301_mRNA1	1296
GML001401_mRNA1	315
GML001501_mRNA1	741
GML001601_mRNA1	466
GML001701_mRNA1	500
GML001801_mRNA1	247
GML001901_mRNA1	488
GML002001_mRNA1	422
GML002101_mRNA1	458
GML002201_mRNA1	282
GML002301_mRNA1	466
GML002401_mRNA1	554
GML002501_mRNA1	219
GML002601_mRNA1	697
GML002701_mRNA1	324
GML002801_mRNA1	549
GML002901_mRNA1	548
GML003001_mRNA1	264
GML003101_mRNA1	202
GML003201_mRNA1	357
GML003301_mRNA1	621
GML003401_mRNA1	1636
GML003501_mRNA1	574
GML003601_mRNA1	149
GML003701_mRNA1	1188
GML003801_mRNA1	1410
GML003901_mRNA1	399
GML004001_mRNA1	321
GML004101_mRNA1	136
GML004201_mRNA1	244
GML004301_mRNA1	281
GML004401_mRNA1	443
GML004501_mRNA1	361
GML004601_mRNA1	888
GML004701_mRNA1	367
GML004801_mRNA1	644
GML004901_mRNA1	312
GML005001_mRNA1	263
GML005101_mRNA1	485
GML005201_mRNA1	515
GML005301_mRNA1	421
GML005401_mRNA1	279
GML005501_mRNA1	603
GML005601_mRNA1	276
GML005701_mRNA1	51
GML005801_mRNA1	412
GML005901_mRNA1	737
GML006001_mRNA1	564
GML006101_mRNA1	787
GML006201_mRNA1	289
GML006301_mRNA1	472
GML006401_mRNA1	816
GML006501_mRNA1	163
GML006601_mRNA1	187
GML006701_mRNA1	314
GML006801_mRNA1	160
GML006901_mRNA1	78
GML007001_mRNA1	287
GML007101_mRNA1	762
GML007201_mRNA1	70
GML007301_mRNA1	517
GML007401_mRNA1	271
GML007501_mRNA1	363
GML007601_mRNA1	411
GML007701_mRNA1	235
GML007801_mRNA1	554
GML007901_mRNA1	489
GML008001_mRNA1	399
GML008101_mRNA1	568
GML008201_mRNA1	569
GML008301_mRNA1	719
GML008401_mRNA1	474
GML008501_mRNA1	345
GML008601_mRNA1	143
GML008701_mRNA1	350
GML008801_mRNA1	994
GML008901_mRNA1	1170
GML009001_mRNA1	594
GML009101_mRNA1	68
GML009201_mRNA1	212
GML009301_mRNA1	127
GML009401_mRNA1	357
GML009501_mRNA1	456
GML009601_mRNA1	205
GML009701_mRNA1	254
GML009801_mRNA1	341
GML009901_mRNA1	148
GML010001_mRNA1	176
GML010101_mRNA1	1367
GML010201_mRNA1	380
GML010301_mRNA1	234
GML010401_mRNA1	229
GML010501_mRNA1	255
GML010601_mRNA1	319
GML010701_mRNA1	462
GML010801_mRNA1	313
GML010901_mRNA1	385
GML011001_mRNA1	546
GML011101_mRNA1	1365
