gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1		None	None
GML000002	GML000002_mRNA1	PF04495.21	Partial	None
GML000003	GML000003_mRNA1	PF03941.21	Complete	None
GML000003	GML000003_mRNA2	PF03941.21	Complete	Unchanged
GML000004	GML000004_mRNA1	PF00270.36,PF00271.38,PF04851.22,PF13959.12	Complete	None
GML000005	GML000005_mRNA1	PF06244.19,PF22048.2	Partial	None
GML000006	GML000006_mRNA1	PF21137.4	Complete	None
GML000006	GML000006_mRNA2	PF21137.4	Complete	Unchanged
GML000007	GML000007_mRNA1	PF03169.21	Partial	None
GML000008	GML000008_mRNA1	PF00275.26,PF01202.29,PF01487.23,PF01761.27,PF08501.17,PF24621.3	Complete	None
GML000008	GML000008_mRNA2		None	Loss
GML000009	GML000009_mRNA1	PF00632.31	Complete	None
GML000010	GML000010_mRNA1	PF00578.28,PF00827.23,PF08534.17,PF10417.15	Complete	None
GML000010	GML000010_mRNA2	PF00578.28,PF00827.23,PF08534.17,PF10417.15	Complete	Unchanged
GML000010	GML000010_mRNA3	PF00578.28,PF08534.17,PF10417.15	Complete	Loss
GML000011	GML000011_mRNA1	PF00827.23	Partial	None
GML000012	GML000012_mRNA1	PF03894.21,PF09363.16,PF09364.16	Complete	None
GML000013	GML000013_mRNA1	PF05935.18,PF14269.13	Partial	None
GML000014	GML000014_mRNA1	PF07690.22	Partial	None
GML000015	GML000015_mRNA1	PF05935.18,PF14269.13	Partial	None
GML000016	GML000016_mRNA1		None	None
GML000017	GML000017_mRNA1		None	None
GML000018	GML000018_mRNA1		None	None
GML000019	GML000019_mRNA1		None	None
GML000020	GML000020_mRNA1	PF00108.30,PF00109.33,PF02803.25	Complete	None
GML000021	GML000021_mRNA1	PF00225.30,PF16796.12	Partial	None
GML000022	GML000022_mRNA1	PF04468.18	Complete	None
GML000022	GML000022_mRNA2	PF04468.18	Complete	Unchanged
GML000023	GML000023_mRNA1	PF00155.28	Partial	None
GML000024	GML000024_mRNA1		None	None
GML000024	GML000024_mRNA2		None	Unchanged
GML000025	GML000025_mRNA1		None	None
GML000026	GML000026_mRNA1	PF00179.32	Partial	None
GML000027	GML000027_mRNA1	PF00179.32,PF23046.2	Complete	None
GML000028	GML000028_mRNA1	PF04124.19,PF04124.19	Partial	None
GML000029	GML000029_mRNA1	PF00096.33	Complete	None
GML000029	GML000029_mRNA2	PF00096.33	Complete	Unchanged
GML000030	GML000030_mRNA1		None	None
GML000031	GML000031_mRNA1	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
GML000032	GML000032_mRNA1	PF01018.29,PF01018.29,PF01926.30,PF02421.25	Complete	None
GML000033	GML000033_mRNA1		None	None
GML000034	GML000034_mRNA1	PF02558.23,PF08546.18	Partial	None
GML000034	GML000034_mRNA2	PF02558.23,PF08546.18	Partial	Unchanged
GML000035	GML000035_mRNA1	PF09139.18	Partial	None
GML000036	GML000036_mRNA1	PF00653.28,PF00653.28	Complete	None
GML000036	GML000036_mRNA2	PF00653.28,PF00653.28	Partial	Truncated
GML000037	GML000037_mRNA1	PF00172.24,PF04082.24	Partial	None
GML000037	GML000037_mRNA2	PF00172.24,PF04082.24	Partial	Unchanged
GML000038	GML000038_mRNA1	PF08598.17	Partial	None
GML000039	GML000039_mRNA1		None	None
GML000040	GML000040_mRNA1	PF00149.34,PF02872.24	Complete	None
GML000041	GML000041_mRNA1	PF02453.24	Partial	None
GML000041	GML000041_mRNA2	PF02453.24	Partial	Unchanged
GML000042	GML000042_mRNA1		None	None
GML000042	GML000042_mRNA2		None	Unchanged
GML000042	GML000042_mRNA3		None	Unchanged
GML000043	GML000043_mRNA1	PF12171.15,PF12874.14	Complete	None
GML000044	GML000044_mRNA1	PF00204.32,PF00521.27,PF01751.29,PF02518.32,PF16898.11	Complete	None
GML000045	GML000045_mRNA1	PF00566.26,PF23436.2	Complete	None
GML000045	GML000045_mRNA2	PF00566.26,PF23436.2	Complete	Unchanged
GML000046	GML000046_mRNA1	PF06058.20	Partial	None
GML000046	GML000046_mRNA2		None	Loss
GML000047	GML000047_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000048	GML000048_mRNA1	PF07690.22	Partial	None
GML000049	GML000049_mRNA1	PF00226.37,PF14087.13	Complete	None
GML000049	GML000049_mRNA2	PF00226.37	Partial	Loss
GML000050	GML000050_mRNA1	PF14087.13	Partial	None
GML000051	GML000051_mRNA1	PF00226.37	Partial	None
GML000051	GML000051_mRNA2	PF00226.37	Partial	Unchanged
GML000052	GML000052_mRNA1	PF00026.29	Partial	None
