gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005	PF05347.22,PF05347.22,PF13233.13,PF13233.13	NA	100
GML000006	PF06733.22,PF06733.22,PF13307.13,PF13307.13	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	4
GML000007	PF05020.21,PF05021.21	NA	100
GML000008		NA	100
GML000009	PF00117.35	NA	100
GML000010	PF01399.34,PF08375.17,PF25573.1,PF25573.1	GO:0000502,GO:0030234,GO:0042176	100
GML000011	PF04616.21	GO:0004553,GO:0005975	8
GML000012	PF00106.32,PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF08659.17,PF16363.12	GO:0006694,GO:0016616	8
GML000013	PF00478.32,PF01070.25,PF01645.24	GO:0003824,GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
GML000014	PF00701.29	GO:0016829	8
GML000015	PF00171.28	GO:0016491	8
GML000016	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000017	PF09423.16,PF09423.16,PF09423.16,PF09423.16,PF16655.13,PF16655.13,PF16655.13,PF16655.13	NA	100
GML000018	PF00083.31,PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000019		NA	100
GML000020		NA	100
GML000021	PF00155.28,PF12897.14	GO:0004069,GO:0009058,GO:0030170	8
GML000022	PF00389.37,PF00389.37,PF02826.26,PF02826.26	GO:0016616,GO:0051287	8
GML000023		NA	100
GML000024		NA	100
GML000025		NA	100
GML000026		NA	100
GML000027	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF01363.28,PF12796.14,PF13637.13,PF13637.13,PF13639.13,PF13857.13,PF13857.13	GO:0005515,GO:0046872	100
GML000028	PF11715.17,PF23300.4,PF23347.1,PF23354.2	NA	100
GML000029	PF00501.35,PF00550.32,PF01073.26,PF01370.28,PF07993.19	GO:0006694,GO:0016616	8
GML000030		NA	100
GML000031	PF00251.27,PF04616.21,PF22847.4	GO:0004553,GO:0005975	8
GML000032		NA	100
GML000033	PF00226.37,PF05207.19	NA	100
GML000034	PF00240.30,PF00627.38,PF11976.15	GO:0005515	100
GML000035		NA	100
GML000036	PF06011.18	NA	100
GML000037		NA	100
GML000038		NA	100
GML000039	PF14497.12	NA	100
GML000040	PF07923.19,PF11882.14,PF11882.14	NA	100
GML000041		NA	100
GML000042	PF02338.26,PF02338.26	NA	100
GML000043	PF07859.20,PF20434.6	GO:0016787	8
GML000044	PF07690.22	GO:0022857,GO:0055085	6
GML000045		NA	100
GML000046		NA	100
GML000047	PF03980.20	GO:0000444	100
GML000048	PF10282.16,PF10282.16	NA	100
GML000049	PF12519.15,PF12519.15	GO:0007005,GO:0032865	100
GML000050	PF00890.31,PF01494.26,PF01494.26,PF07976.20,PF13450.13	GO:0071949	100
GML000051		NA	100
GML000052	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000053	PF16575.12	NA	100
GML000054		NA	100
GML000055	PF05978.23,PF07690.22	GO:0022857,GO:0055085	6
GML000056	PF00248.28	NA	100
GML000057	PF01814.29	NA	100
GML000058		NA	100
GML000059	PF13181.13	GO:0005515	100
GML000060	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF14510.12,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
GML000061	PF04042.22,PF22062.3	GO:0003677,GO:0006260	4
GML000062	PF03901.24,PF03901.24	GO:0016757	8
GML000063	PF00069.32,PF00069.32,PF00072.31,PF07714.24	GO:0000160,GO:0004672,GO:0005524,GO:0006468	3
GML000064		NA	100
GML000065	PF09734.16,PF17682.7	NA	100
GML000066	PF01184.25	GO:0016020	100
