protein_id	length
rna-XM_064918065.1	273
rna-XM_064915995.1	831
rna-XM_064921228.1	1087
rna-XM_064921351.1	581
rna-XM_064918106.1	410
rna-XM_064920237.1	708
rna-XM_064916189.1	218
rna-XM_064916229.1	734
rna-XM_064916270.1	776
rna-XM_064919150.1	497
rna-XM_064918912.1	469
rna-XM_064919233.1	206
rna-XM_064916388.1	353
rna-XM_064915688.1	550
rna-XM_064916456.1	163
rna-XM_064919083.1	371
rna-XM_064918206.1	369
rna-XM_064916569.1	313
rna-XM_064921455.1	599
rna-XM_064919540.1	262
rna-XM_064919580.1	409
rna-XM_064916704.1	760
rna-XM_064919651.1	467
rna-XM_064919700.1	316
rna-XM_064919094.1	1324
rna-XM_064916841.1	307
rna-XM_064918283.1	491
rna-XM_064916915.1	318
rna-XM_064918308.1	295
rna-XM_064918771.1	447
rna-XM_064919942.1	193
rna-XM_064917031.1	552
rna-XM_064920026.1	664
rna-XM_064918791.1	283
rna-XM_064920087.1	343
rna-XM_064917188.1	731
rna-XM_064921612.1	549
rna-XM_064920189.1	342
rna-XM_064917291.1	803
rna-XM_064919644.1	575
rna-XM_064919697.1	2134
rna-XM_064917380.1	930
rna-XM_064917412.1	123
rna-XM_064918428.1	284
rna-XM_064921645.1	616
rna-XM_064920508.1	225
rna-XM_064917535.1	447
rna-XM_064918458.1	748
rna-XM_064920633.1	315
rna-XM_064920679.1	230
rna-XM_064920712.1	195
rna-XM_064920750.1	295
rna-XM_064917729.1	526
rna-XM_064920833.1	123
rna-XM_064920879.1	650
rna-XM_064917843.1	858
rna-XM_064915937.1	777
rna-XM_064919859.1	146
rna-XM_064921019.1	770
rna-XM_064917978.1	385
rna-XM_064921093.1	280
rna-XM_064918573.1	685
