gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF14510.12	NA	100
GML000003	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000004		NA	100
GML000005	PF10022.16,PF20938.4	NA	100
GML000006	PF00245.26	GO:0016791	8
GML000007		NA	100
GML000008	PF00701.29	GO:0016829	8
GML000009	PF00248.28	NA	100
GML000010	PF00107.33,PF08240.18	NA	100
GML000011	PF02746.22	NA	100
GML000012	PF00701.29,PF00701.29	GO:0016829	8
GML000013	PF00172.24,PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000014	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000015	PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF11765.14	GO:0007155	100
GML000016	PF11765.14,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11,PF15789.11	NA	100
GML000017		NA	100
GML000018	PF00096.33,PF00096.33	NA	100
GML000019	PF12074.14,PF23271.2,PF23271.2,PF23271.2,PF23271.2,PF24916.2,PF24984.2,PF24987.2,PF24993.2,PF25786.1,PF25801.2,PF26715.1	NA	100
GML000020	PF00642.31,PF00642.31,PF00642.31,PF00642.31	GO:0046872	100
GML000021	PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF04851.22,PF04851.22,PF09382.18,PF09382.18,PF11408.14,PF11408.14,PF16124.11,PF16124.11	GO:0003676,GO:0003677,GO:0005524,GO:0006260,GO:0006281,GO:0016787,GO:0043138	3
GML000022	PF00179.32	NA	100
GML000023	PF00172.24,PF00172.24,PF03902.19,PF03902.19	GO:0000981,GO:0006355,GO:0008270	3
GML000024	PF28298.1	NA	100
GML000025	PF00566.26,PF23436.2	NA	100
GML000026	PF00467.36,PF00900.27,PF01479.31,PF08071.18,PF16121.11	GO:0003723	4
GML000027	PF21953.2	NA	100
GML000028	PF10429.16,PF10429.16	NA	100
GML000029	PF00320.34,PF00320.34	GO:0006355,GO:0043565	4
GML000030	PF00240.30,PF00627.38,PF11976.15,PF23195.2	GO:0005515	100
GML000031	PF10406.15,PF10406.15	NA	100
GML000032	PF00982.28,PF02358.23	GO:0003824,GO:0005992	8
GML000033	PF12243.15,PF12350.14	NA	100
GML000034		NA	100
GML000035		NA	100
GML000036	PF01176.27	GO:0003723,GO:0003743,GO:0006413	4
GML000037	PF05653.21	GO:0015095,GO:0015693,GO:0016020	6
GML000038		NA	100
GML000039		NA	100
GML000040	PF00069.32,PF06293.21,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000041	PF04084.21,PF24882.2	NA	100
