gene_id	pfam_ids	go_ids	bin_id
GML000001	PF07500.20,PF08711.17	GO:0006351	8
GML000002		NA	100
GML000003	PF04669.20	NA	100
GML000004		NA	100
GML000005	PF04450.19	NA	100
GML000006		NA	100
GML000007	PF00198.29,PF00198.29,PF00364.29,PF00364.29,PF02817.23,PF02817.23	GO:0016746	8
GML000008	PF11807.14	GO:0043386	2
GML000009	PF11807.14	GO:0043386	2
GML000010	PF00009.34,PF00679.31,PF03144.32,PF03764.25,PF14492.13,PF22042.3	GO:0003924,GO:0005525	8
GML000011		NA	100
GML000012		NA	100
GML000013	PF00463.28,PF00463.28,PF13714.13,PF13714.13	GO:0004451,GO:0019752	8
GML000014	PF00179.32,PF00179.32	NA	100
GML000015		NA	100
GML000016		NA	100
GML000017	PF00046.36,PF00046.36,PF00046.36,PF00046.36,PF00046.36	GO:0003677	4
GML000018	PF03630.21	GO:0005524,GO:0015937	8
GML000019	PF01602.27,PF08752.17,PF16381.11	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0030126	6
GML000020	PF01546.34,PF07687.20	GO:0016787	8
GML000021		NA	100
GML000022		NA	100
GML000023		NA	100
GML000024	PF00642.31,PF07724.21,PF07728.21	GO:0005524,GO:0016887,GO:0046872	8
GML000025		NA	100
GML000026	PF14604.13	GO:0005515	100
GML000027		NA	100
GML000028	PF08566.16,PF08566.16	GO:0001405	100
GML000029	PF00176.30,PF00176.30,PF00271.38,PF00271.38	GO:0005524	100
GML000030	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF08659.17,PF16363.12	GO:0006694,GO:0016616	8
GML000031		NA	100
GML000032		NA	100
GML000033	PF01699.30,PF01699.30,PF03733.19,PF03733.19	GO:0016020,GO:0055085	6
GML000034		NA	100
GML000035		NA	100
GML000036		NA	100
GML000037	PF00069.32,PF07714.24,PF17667.8	GO:0004672,GO:0005524,GO:0006468	3
GML000038		NA	100
GML000039		NA	100
GML000040	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000041	PF00067.28,PF00067.28,PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000042		NA	100
GML000043	PF00270.36,PF00270.36	GO:0003676,GO:0005524	4
GML000044		NA	100
GML000045	PF05699.20	GO:0046983	100
GML000046	PF00078.33,PF00385.31,PF00385.31,PF17917.8,PF17921.8,PF24626.2,PF24626.2,PF30863.1	NA	1
GML000047		NA	100
GML000048	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000049		NA	100
GML000050		NA	100
GML000051	PF01644.24,PF03142.22,PF08407.18,PF13632.13	GO:0004100	8
GML000052	PF01612.27,PF20499.4	GO:0003676,GO:0006139,GO:0008408	4
GML000053	PF07217.17	NA	100
GML000054		NA	100
GML000055		NA	100
GML000056	PF21093.4	NA	100
GML000057		NA	100
GML000058	PF00326.28,PF00326.28,PF00326.28,PF01738.25,PF01738.25,PF01738.25,PF20434.6,PF20434.6,PF20434.6	GO:0006508,GO:0008236,GO:0016787	5
GML000059		NA	100
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063	PF02970.23	GO:0007021,GO:0007023,GO:0048487	5
GML000064	PF00010.32	GO:0046983	100
GML000065		NA	100
GML000066	PF00010.32	GO:0046983	100
GML000067		NA	100
