gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF03876.23,PF08292.19	GO:0006351	8
GML000003	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23098.2,PF23098.2	GO:0005515	100
GML000004	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF06422.19,PF14510.12,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
GML000005	PF02089.22,PF02089.22	NA	100
GML000006	PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF04851.22,PF04851.22,PF30411.1,PF30411.1	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000007		NA	100
GML000008	PF21762.4	NA	100
GML000009	PF13813.12	NA	100
GML000010		NA	100
GML000011	PF17733.8	NA	100
GML000012	PF10343.15	NA	100
GML000013		NA	100
GML000014	PF01472.27,PF17832.8,PF26292.1	GO:0003723	4
GML000015	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000016		NA	100
GML000017	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000018	PF02900.24,PF02900.24,PF02900.24	GO:0008198,GO:0016491	8
GML000019		NA	100
GML000020		NA	100
GML000021	PF00078.33,PF00665.33,PF17917.8,PF17919.8,PF17921.8	NA	1
GML000022		NA	100
GML000023		NA	100
GML000024	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF14510.12,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
GML000025	PF00075.31,PF00075.31,PF00078.33,PF00078.33	GO:0003676,GO:0004523	1
GML000026	PF00300.28	NA	100
GML000027		NA	100
GML000028	PF00225.30,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000029		NA	100
GML000030	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000031	PF04969.23,PF04969.23	NA	100
GML000032	PF00310.27,PF01493.26,PF01593.31,PF01645.24,PF04898.21,PF07992.21,PF13450.13,PF14691.12	GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
GML000033		NA	100
GML000034	PF00578.28,PF08534.17,PF10417.15	GO:0016209,GO:0016491,GO:0051920	8
GML000035	PF02891.27,PF14324.13	GO:0008270	100
GML000036	PF00107.33,PF08240.18	NA	100
GML000037	PF00313.29	GO:0003676	4
GML000038	PF00153.33,PF00153.33	NA	100
GML000039	PF01655.24,PF01655.24	GO:0003735,GO:0005840,GO:0006412	4
GML000040		NA	100
GML000041		NA	100
GML000042	PF13862.12	NA	100
GML000043	PF00013.36,PF00013.36,PF00013.36	GO:0003723	4
GML000044	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000045	PF00313.29	GO:0003676	4
