protein_id	length
GML000001_mRNA1	418
GML000101_mRNA1	665
GML000201_mRNA1	477
GML000301_mRNA1	267
GML000401_mRNA1	587
GML000501_mRNA1	480
GML000601_mRNA1	724
GML000701_mRNA1	407
GML000801_mRNA1	146
GML000901_mRNA1	353
GML001001_mRNA1	71
GML001101_mRNA1	88
GML001201_mRNA1	241
GML001301_mRNA1	117
GML001401_mRNA1	304
GML001501_mRNA1	902
GML001601_mRNA1	718
GML001701_mRNA1	263
GML001801_mRNA1	209
GML001901_mRNA1	386
GML002001_mRNA1	249
GML002101_mRNA1	848
GML002201_mRNA1	802
GML002301_mRNA1	113
GML002401_mRNA1	137
GML002501_mRNA1	199
GML002601_mRNA1	690
GML002701_mRNA1	219
GML002801_mRNA1	1542
GML002901_mRNA1	1110
GML003001_mRNA1	86
GML003101_mRNA1	66
GML003201_mRNA1	589
GML003301_mRNA1	694
GML003401_mRNA1	387
GML003501_mRNA1	1429
GML003601_mRNA1	826
GML003701_mRNA1	508
GML003801_mRNA1	375
GML003901_mRNA1	85
GML004001_mRNA1	1034
GML004101_mRNA1	632
GML004201_mRNA1	612
GML004301_mRNA1	770
GML004401_mRNA1	118
GML004501_mRNA1	324
GML004601_mRNA1	175
GML004701_mRNA1	315
GML004801_mRNA1	417
GML004901_mRNA1	257
GML005001_mRNA1	190
GML005101_mRNA1	3239
GML005201_mRNA1	1437
GML005301_mRNA1	168
GML005401_mRNA1	182
GML005501_mRNA1	198
GML005601_mRNA1	481
GML005701_mRNA1	912
GML005801_mRNA1	881
GML005901_mRNA1	452
GML006001_mRNA1	714
GML006101_mRNA1	834
GML006201_mRNA1	44
GML006301_mRNA1	195
GML006401_mRNA1	178
GML006501_mRNA1	792
GML006601_mRNA1	209
GML006701_mRNA1	113
GML006801_mRNA1	173
GML006901_mRNA1	186
GML007001_mRNA1	190
GML007101_mRNA1	178
GML007201_mRNA1	324
GML007301_mRNA1	138
GML007401_mRNA1	99
GML007501_mRNA1	103
GML007601_mRNA1	505
GML007701_mRNA1	454
GML007801_mRNA1	1014
GML007901_mRNA1	217
GML008001_mRNA1	402
GML008101_mRNA1	327
GML008201_mRNA1	1217
GML008301_mRNA1	607
GML008401_mRNA1	617
GML008501_mRNA1	255
GML008601_mRNA1	79
GML008701_mRNA1	449
GML008801_mRNA1	424
GML008901_mRNA1	148
GML009001_mRNA1	278
GML009101_mRNA1	231
GML009201_mRNA1	116
GML009301_mRNA1	800
GML009401_mRNA1	1035
GML009501_mRNA1	455
GML009601_mRNA1	277
GML009701_mRNA1	177
GML009801_mRNA1	95
GML009901_mRNA1	303
GML010001_mRNA1	425
GML010101_mRNA1	365
GML010201_mRNA1	790
GML010301_mRNA1	681
GML010401_mRNA1	365
GML010501_mRNA1	708
GML010601_mRNA1	77
GML010701_mRNA1	168
GML010801_mRNA1	463
GML010901_mRNA1	404
GML011001_mRNA1	310
GML011101_mRNA1	171
GML011201_mRNA1	446
GML011301_mRNA1	142
GML011401_mRNA1	135
GML011501_mRNA1	445
GML011601_mRNA1	124
