protein_id	length
GML000001_mRNA1	297
GML000101_mRNA1	1599
GML000201_mRNA1	151
GML000301_mRNA1	728
GML000401_mRNA1	1199
GML000501_mRNA1	1117
GML000601_mRNA1	335
GML000701_mRNA1	402
GML000801_mRNA1	114
GML000901_mRNA1	931
GML001001_mRNA1	1102
GML001101_mRNA1	573
GML001201_mRNA1	543
GML001301_mRNA1	810
GML001401_mRNA1	681
GML001501_mRNA1	558
GML001601_mRNA1	170
GML001701_mRNA1	460
GML001801_mRNA1	233
GML001901_mRNA1	312
GML002001_mRNA1	300
GML002101_mRNA1	1154
GML002201_mRNA1	469
GML002301_mRNA1	426
GML002401_mRNA1	412
GML002501_mRNA1	569
GML002601_mRNA1	546
GML002701_mRNA1	68
GML002801_mRNA1	674
GML002901_mRNA1	810
GML003001_mRNA1	882
GML003101_mRNA1	477
GML003201_mRNA1	405
GML003301_mRNA1	351
GML003401_mRNA1	209
GML003501_mRNA1	140
GML003601_mRNA1	351
GML003701_mRNA1	357
GML003801_mRNA1	299
GML003901_mRNA1	267
GML004001_mRNA1	316
GML004101_mRNA1	792
GML004201_mRNA1	167
GML004301_mRNA1	1541
GML004401_mRNA1	423
GML004501_mRNA1	313
GML004601_mRNA1	552
GML004701_mRNA1	1291
GML004801_mRNA1	281
GML004901_mRNA1	136
GML005001_mRNA1	623
GML005101_mRNA1	544
GML005201_mRNA1	2141
GML005301_mRNA1	466
GML005401_mRNA1	152
GML005501_mRNA1	559
GML005601_mRNA1	587
GML005701_mRNA1	226
GML005801_mRNA1	460
GML005901_mRNA1	1140
GML006001_mRNA1	351
GML006101_mRNA1	454
GML006201_mRNA1	603
GML006301_mRNA1	206
GML006401_mRNA1	318
GML006501_mRNA1	208
GML006601_mRNA1	169
GML006701_mRNA1	278
GML006801_mRNA1	96
GML006901_mRNA1	315
GML007001_mRNA1	1095
GML007101_mRNA1	222
GML007201_mRNA1	733
GML007301_mRNA1	1072
GML007401_mRNA1	351
GML007501_mRNA1	825
GML007601_mRNA1	112
GML007701_mRNA1	393
GML007801_mRNA1	269
GML007901_mRNA1	271
GML008001_mRNA1	276
GML008101_mRNA1	624
GML008201_mRNA1	468
GML008301_mRNA1	473
GML008401_mRNA1	196
GML008501_mRNA1	646
GML008601_mRNA1	405
GML008701_mRNA1	119
GML008801_mRNA1	355
GML008901_mRNA1	386
GML009001_mRNA1	885
GML009101_mRNA1	275
GML009201_mRNA1	118
GML009301_mRNA1	310
GML009401_mRNA1	708
GML009501_mRNA1	463
GML009601_mRNA1	211
GML009701_mRNA1	187
GML009801_mRNA1	253
GML009901_mRNA1	553
GML010001_mRNA1	1333
GML010101_mRNA1	708
GML010201_mRNA1	1901
GML010301_mRNA1	345
GML010401_mRNA1	490
GML010501_mRNA1	877
GML010601_mRNA1	841
GML010701_mRNA1	294
GML010801_mRNA1	433
GML010901_mRNA1	262
GML011001_mRNA1	174
