gene_id	pfam_ids	go_ids	bin_id
gene-POSPLADRAFT_1068222	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-POSPLADRAFT_1030043	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene-POSPLADRAFT_1129096	PF11696.14	NA	100
gene-POSPLADRAFT_1063775	PF00443.36,PF00443.36,PF13446.12,PF13446.12	GO:0004843,GO:0016579	8
gene-POSPLADRAFT_t1		NA	100
gene-POSPLADRAFT_1068224		NA	100
gene-POSPLADRAFT_1030047	PF00175.27,PF00970.31	GO:0016491	8
gene-POSPLADRAFT_1164002	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-POSPLADRAFT_t19		NA	100
gene-POSPLADRAFT_1042091	PF00289.29,PF00364.29,PF02222.28,PF02785.26,PF02786.23,PF07478.19	GO:0005524,GO:0008716	8
gene-POSPLADRAFT_1072024	PF00443.36,PF13423.13	GO:0004843,GO:0016579	8
gene-POSPLADRAFT_1042093	PF00248.28	NA	100
gene-POSPLADRAFT_1068226	PF00646.39,PF12937.13	GO:0005515	100
gene-POSPLADRAFT_1037719	PF28751.1	NA	100
gene-POSPLADRAFT_1130213	PF10250.16	NA	100
gene-POSPLADRAFT_1037721	PF01778.23	NA	100
gene-POSPLADRAFT_1050953		NA	100
gene-POSPLADRAFT_1050954		NA	100
gene-POSPLADRAFT_1128402	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
gene-POSPLADRAFT_1128755		NA	100
gene-POSPLADRAFT_1030059	PF00046.36	GO:0003677	4
gene-POSPLADRAFT_1119908	PF10294.16	NA	100
gene-POSPLADRAFT_1127461		NA	100
gene-POSPLADRAFT_1042104	PF00181.31,PF03947.25	GO:0003735,GO:0005840,GO:0006412	4
gene-POSPLADRAFT_1063783	PF00004.36,PF06068.20,PF06068.20,PF17856.8	GO:0005524,GO:0016887	8
gene-POSPLADRAFT_1050962		NA	100
gene-POSPLADRAFT_1063784	PF27660.1	NA	100
gene-POSPLADRAFT_1030063	PF01157.25	GO:0003735,GO:0005840,GO:0006412	4
gene-POSPLADRAFT_1175477	PF00163.25,PF01479.31	GO:0003723,GO:0019843	4
gene-POSPLADRAFT_1175479	PF00621.26	GO:0005085	100
gene-POSPLADRAFT_1164019	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
gene-POSPLADRAFT_1129832	PF00096.33,PF00096.33	NA	100
gene-POSPLADRAFT_1042110		NA	100
gene-POSPLADRAFT_1128116	PF00036.39,PF00036.39,PF13202.13,PF13202.13,PF13405.13,PF13405.13,PF13499.13,PF13499.13,PF13833.13,PF13833.13	GO:0005509	100
gene-POSPLADRAFT_1175488	PF02668.23	GO:0016491	8
gene-POSPLADRAFT_1050974	PF02668.23	GO:0016491	8
gene-POSPLADRAFT_1072037	PF01909.30,PF03828.25,PF22600.3	GO:0016779	8
gene-POSPLADRAFT_1175493	PF00728.29	GO:0004553,GO:0005975	8
gene-POSPLADRAFT_1042115	PF00312.28	GO:0003735,GO:0005840,GO:0006412	4
gene-POSPLADRAFT_1096968		NA	100
gene-POSPLADRAFT_1175499	PF01644.24,PF03142.22,PF13632.13,PF22997.2	NA	100
gene-POSPLADRAFT_1042118		NA	100
gene-POSPLADRAFT_1128891	PF00415.25,PF00415.25,PF00415.25,PF00415.25,PF00415.25,PF13540.13,PF13540.13,PF13540.13,PF13540.13,PF13540.13,PF25390.2	NA	100
gene-POSPLADRAFT_1129647	PF00650.26,PF13716.12	NA	100
gene-POSPLADRAFT_1130157		NA	100
gene-POSPLADRAFT_1068240	PF00085.27,PF13098.14,PF14595.13	NA	100
gene-POSPLADRAFT_1129433	PF02893.27,PF16016.12	NA	100
gene-POSPLADRAFT_1175504	PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-POSPLADRAFT_1037734	PF00294.30	NA	100
gene-POSPLADRAFT_1128660	PF14538.12	NA	100
gene-POSPLADRAFT_1042129	PF01207.24	NA	100
gene-POSPLADRAFT_1042130	PF00240.30,PF00627.38,PF11976.15,PF23195.2	GO:0005515	100
gene-POSPLADRAFT_1072045	PF01803.22	NA	100
gene-POSPLADRAFT_1072046		NA	100
gene-POSPLADRAFT_1042132	PF00646.39,PF12937.13	GO:0005515	100
gene-POSPLADRAFT_1175515		NA	100
gene-POSPLADRAFT_1063797		NA	100
gene-POSPLADRAFT_1042133		NA	100
gene-POSPLADRAFT_1129848		NA	100
gene-POSPLADRAFT_1175516	PF03370.19	GO:0005515	100
gene-POSPLADRAFT_1175517		NA	100
gene-POSPLADRAFT_1042137	PF00450.29	GO:0004185,GO:0006508	5
gene-POSPLADRAFT_1042138		NA	100
gene-POSPLADRAFT_1042139		NA	100
gene-POSPLADRAFT_1042140	PF01979.27,PF01979.27	GO:0016787	8
gene-POSPLADRAFT_1129632	PF00069.32,PF07714.24,PF08587.18,PF14531.13,PF16579.12	GO:0004672,GO:0004674,GO:0005524,GO:0006468	3
gene-POSPLADRAFT_1051006	PF00806.26,PF00806.26,PF00806.26,PF00806.26	GO:0003723	4
gene-POSPLADRAFT_1129720		NA	100
gene-POSPLADRAFT_1037746		NA	100
gene-POSPLADRAFT_1030090	PF05089.19,PF12971.13,PF12972.13	NA	100
gene-POSPLADRAFT_1164062	PF01926.30,PF08153.18	GO:0005525	100
