protein_id	length
rna-XM_008077603.1	248
rna-XM_008077703.1	373
rna-XM_008077804.1	958
rna-XM_008077904.1	462
rna-XM_008078004.1	322
rna-XM_008078104.1	226
rna-XM_008078204.1	922
rna-XM_008078304.1	217
rna-XM_008078404.1	739
rna-XM_008078504.1	1119
rna-XM_008078604.1	368
rna-XM_008078704.1	404
rna-XM_008078804.1	395
rna-XM_008078904.1	495
rna-XM_008079004.1	217
rna-XM_008079104.1	268
rna-XM_008079204.1	110
rna-XM_008079304.1	478
rna-XM_008079404.1	351
rna-XM_008079504.1	435
rna-XM_008079604.1	320
rna-XM_008079704.1	587
rna-XM_008079804.1	366
rna-XM_008079904.1	826
rna-XM_008080004.1	744
rna-XM_008080104.1	897
rna-XM_008080204.1	696
rna-XM_008080304.1	246
rna-XM_008080404.1	445
rna-XM_008080504.1	285
rna-XM_008080604.1	471
rna-XM_008080704.1	321
rna-XM_008080804.1	265
rna-XM_008080904.1	617
rna-XM_008081004.1	246
rna-XM_008081104.1	102
rna-XM_008081204.1	214
rna-XM_008081304.1	219
rna-XM_008081404.1	83
rna-XM_008081504.1	99
rna-XM_008081604.1	1048
rna-XM_008081704.1	130
rna-XM_008081804.1	207
rna-XM_008081904.1	128
rna-XM_008082004.1	313
rna-XM_008082104.1	400
rna-XM_008082204.1	334
rna-XM_008082304.1	2088
rna-XM_008082404.1	396
rna-XM_008082504.1	306
rna-XM_008082604.1	114
rna-XM_008082705.1	262
rna-XM_008082805.1	269
rna-XM_008082905.1	101
rna-XM_008083005.1	304
rna-XM_008083105.1	799
rna-XM_008083205.1	561
rna-XM_008083305.1	146
rna-XM_008083405.1	140
rna-XM_008083505.1	334
rna-XM_008083605.1	382
rna-XM_008083705.1	133
rna-XM_008083805.1	203
rna-XM_008083905.1	219
rna-XM_008084005.1	89
rna-XM_008084105.1	744
rna-XM_008084205.1	427
rna-XM_008084305.1	349
rna-XM_008084405.1	539
rna-XM_008084505.1	373
rna-XM_008084605.1	341
rna-XM_008084705.1	453
rna-XM_008084805.1	375
rna-XM_008084905.1	165
rna-XM_008085005.1	237
rna-XM_008085105.1	412
rna-XM_008085205.1	1938
rna-XM_008085305.1	378
rna-XM_008085405.1	495
rna-XM_008085505.1	158
rna-XM_008085605.1	350
rna-XM_008085705.1	563
rna-XM_008085805.1	269
rna-XM_008085905.1	1088
rna-XM_008086005.1	240
rna-XM_008086105.1	1022
rna-XM_008086205.1	107
rna-XM_008086305.1	1834
rna-XM_008086405.1	131
rna-XM_008086505.1	617
rna-XM_008086605.1	116
rna-XM_008086705.1	747
rna-XM_008086805.1	1402
rna-XM_008086905.1	537
rna-XM_008087005.1	302
rna-XM_008087105.1	439
rna-XM_008087205.1	774
rna-XM_008087305.1	538
rna-XM_008087405.1	724
rna-XM_008087505.1	916
rna-XM_008087605.1	594
rna-XM_008087705.1	592
rna-XM_008087805.1	290
rna-XM_008087905.1	752
rna-XM_008088005.1	716
rna-XM_008088105.1	1361
rna-XM_008088205.1	273
rna-XM_008088305.1	289
rna-XM_008088405.1	388
rna-XM_008088505.1	247
rna-XM_008088605.1	164
rna-XM_008088705.1	179
rna-XM_008088805.1	342
rna-XM_008088905.1	127
rna-XM_008089005.1	622
rna-XM_008089105.1	130
rna-XM_008089205.1	708
rna-XM_008089305.1	1089
rna-XM_008089405.1	636
rna-XM_008089505.1	397
rna-XM_008089605.1	414
rna-XM_008089705.1	434
rna-XM_008089805.1	315
rna-XM_008089905.1	555
rna-XM_008090005.1	200
rna-XM_008090105.1	207
rna-XM_008090205.1	631
rna-XM_008090305.1	448
rna-XM_008090405.1	687
rna-XM_008090505.1	416
rna-XM_008090605.1	339
