gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-RCC_11545	rna-XM_023776766.1		None	None
gene-RCC_11543	rna-XM_023776764.1	PF01328.23	Partial	None
gene-RCC_11544	rna-XM_023776765.1		None	None
gene-RCC_11541	rna-XM_023776762.1	PF00069.32	Partial	None
gene-RCC_11542	rna-XM_023776763.1	PF01915.28,PF14310.13	Complete	None
gene-RCC_11539	rna-XM_023776760.1	PF00646.39,PF08755.17,PF12937.13,PF13369.13	Complete	None
gene-RCC_11540	rna-XM_023776761.1	PF00650.26,PF03765.22	Partial	None
gene-RCC_10313	rna-XM_023775544.1		None	None
gene-RCC_10314	rna-XM_023775545.1	PF01991.24	Partial	None
gene-RCC_10315	rna-XM_023775546.1	PF05653.21	Partial	None
gene-RCC_10316	rna-XM_023775547.1	PF26163.1	Partial	None
gene-RCC_10317	rna-XM_023775548.1	PF01926.30,PF08153.18	Complete	None
gene-RCC_10318	rna-XM_023775549.1	PF00580.28,PF13245.13,PF13361.13,PF13538.13	Complete	None
gene-RCC_10319	rna-XM_023775550.1	PF00172.24	Complete	None
gene-RCC_10320	rna-XM_023775551.1	PF09365.16	Partial	None
gene-RCC_10321	rna-XM_023775552.1	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-RCC_10322	rna-XM_023775553.1	PF02383.24	Partial	None
gene-RCC_10323	rna-XM_023775554.1	PF30672.1	Partial	None
gene-RCC_10324	rna-XM_023775555.1	PF07956.17	Partial	None
gene-RCC_10325	rna-XM_023775556.1	PF00583.32	Partial	None
gene-RCC_10326	rna-XM_023775557.1		None	None
gene-RCC_10327	rna-XM_023775558.1		None	None
gene-RCC_10328	rna-XM_023775559.1	PF00006.32,PF02874.30,PF22919.2	Complete	None
gene-RCC_10329	rna-XM_023775560.1	PF02668.23	Partial	None
gene-RCC_10330	rna-XM_023775561.1	PF07690.22	Partial	None
gene-RCC_10331	rna-XM_023775562.1	PF02269.23	Partial	None
gene-RCC_10332	rna-XM_023775563.1		None	None
gene-RCC_10333	rna-XM_023775564.1		None	None
gene-RCC_10334	rna-XM_023775565.1	PF01491.23	Partial	None
gene-RCC_10335	rna-XM_023775566.1		None	None
gene-RCC_10336	rna-XM_023775567.1	PF00083.31,PF07690.22	Partial	None
gene-RCC_10337	rna-XM_023775568.1	PF02615.20	Partial	None
gene-RCC_10338	rna-XM_023775569.1	PF00939.26,PF03105.25,PF03105.25,PF03600.23	Partial	None
gene-RCC_10339	rna-XM_023775570.1	PF08738.16	Partial	None
gene-RCC_10340	rna-XM_023775571.1		None	None
gene-RCC_10341	rna-XM_023775572.1		None	None
gene-RCC_10342	rna-XM_023775573.1	PF00083.31,PF07690.22,PF07690.22	Partial	None
