gene_id	pfam_ids	go_ids	bin_id
gene-HYPSUDRAFT_121895		NA	100
gene-HYPSUDRAFT_221019		NA	100
gene-HYPSUDRAFT_210466		NA	100
gene-HYPSUDRAFT_31437	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_31439	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_221092	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_31446		NA	100
gene-HYPSUDRAFT_221157	PF09729.16	NA	100
gene-HYPSUDRAFT_121071	PF14223.15	NA	100
gene-HYPSUDRAFT_119102		NA	100
gene-HYPSUDRAFT_122171	PF25597.2	NA	100
gene-HYPSUDRAFT_31449	PF24883.3	NA	100
gene-HYPSUDRAFT_81205	PF05236.21	GO:0005669,GO:0006352	8
gene-HYPSUDRAFT_126809		NA	100
gene-HYPSUDRAFT_60403		NA	100
gene-HYPSUDRAFT_221402		NA	100
gene-HYPSUDRAFT_210474	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_221363		NA	100
gene-HYPSUDRAFT_t1		NA	100
gene-HYPSUDRAFT_221407		NA	100
gene-HYPSUDRAFT_221447	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_152370	PF00642.31,PF18044.8,PF27634.2	GO:0046872	100
gene-HYPSUDRAFT_1061087	PF05729.19,PF24883.3	NA	100
gene-HYPSUDRAFT_210480		NA	100
gene-HYPSUDRAFT_31461	PF07019.18	NA	100
gene-HYPSUDRAFT_60408		NA	100
gene-HYPSUDRAFT_221497		NA	100
gene-HYPSUDRAFT_174219		NA	100
gene-HYPSUDRAFT_31464	PF20236.4	NA	100
gene-HYPSUDRAFT_221573		NA	100
gene-HYPSUDRAFT_50142		NA	100
gene-HYPSUDRAFT_31468	PF00572.25	GO:0003735,GO:0005840,GO:0006412	4
gene-HYPSUDRAFT_50144	PF00533.34,PF16892.11,PF16893.12	GO:0046983	100
gene-HYPSUDRAFT_31470	PF00637.27,PF23411.2,PF23556.2	NA	100
gene-HYPSUDRAFT_195940	PF01185.24	GO:0005199,GO:0009277	7
gene-HYPSUDRAFT_60416	PF02102.22,PF13933.13,PF14521.13	GO:0004222,GO:0006508	5
gene-HYPSUDRAFT_152390	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-HYPSUDRAFT_31475	PF00850.25	NA	100
gene-HYPSUDRAFT_126432	PF00860.27	GO:0016020,GO:0022857,GO:0055085	6
gene-HYPSUDRAFT_31482		NA	100
gene-HYPSUDRAFT_t2		NA	100
gene-HYPSUDRAFT_210494	PF01138.28,PF03725.21	NA	100
gene-HYPSUDRAFT_31485	PF02463.26,PF13476.13	GO:0006302,GO:0016887	3
gene-HYPSUDRAFT_31487		NA	100
gene-HYPSUDRAFT_60425	PF03061.29	NA	100
gene-HYPSUDRAFT_126084	PF03061.29	NA	100
gene-HYPSUDRAFT_31491	PF00850.25	NA	100
