gene_id	pfam_ids	go_ids	bin_id
gene-JCM10908_005143	PF00328.28	NA	100
gene-JCM10908_005144		NA	100
gene-JCM10908_005145	PF00026.29,PF13650.12	NA	100
gene-JCM10908_005146	PF05997.18	GO:0006364,GO:0030688	8
gene-JCM10908_005147	PF00179.32	NA	100
gene-JCM10908_005148	PF01967.28,PF04055.28,PF06463.19	GO:0003824,GO:0006777,GO:0051536,GO:0051539	8
gene-JCM10908_005149	PF00682.26	GO:0003824	8
gene-JCM10908_005150	PF01039.28,PF03255.20	GO:0003989,GO:0006633,GO:0009317,GO:0016743	8
gene-JCM10908_005151	PF07978.20	NA	100
gene-JCM10908_005152	PF01794.26,PF08022.19,PF08030.18	GO:0016491	8
gene-JCM10908_005153	PF03446.22,PF14833.12	GO:0050661,GO:0051287	100
gene-JCM10908_005154	PF05008.22,PF12352.14	GO:0006886,GO:0016020	6
gene-JCM10908_005155		NA	100
gene-JCM10908_005156		NA	100
gene-JCM10908_005157		NA	100
gene-JCM10908_005158	PF01207.24	NA	100
gene-JCM10908_005159	PF07855.18	GO:0006914	8
gene-JCM10908_005160	PF00162.25	GO:0004618,GO:0006096	3
gene-JCM10908_005161		NA	100
gene-JCM10908_005162	PF00291.32	NA	100
gene-JCM10908_005163	PF00310.27,PF01493.26,PF01593.31,PF01645.24,PF04898.21,PF07992.21,PF13450.13,PF14691.12	GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
gene-JCM10908_005164		NA	100
gene-JCM10908_005165		NA	100
gene-JCM10908_005166	PF00118.30	GO:0005524	100
gene-JCM10908_005167	PF08645.18,PF13671.13	NA	100
gene-JCM10908_005168	PF01035.27	GO:0003824,GO:0006281	3
gene-JCM10908_005169		NA	100
gene-JCM10908_005170		NA	100
gene-JCM10908_005171	PF01920.26	GO:0006457,GO:0016272,GO:0051082	5
gene-JCM10908_005172		NA	100
gene-JCM10908_005173	PF02145.22,PF03542.22,PF11864.14	GO:0005096,GO:0043547,GO:0051056	100
gene-JCM10908_005174	PF01753.25	NA	100
gene-JCM10908_005175	PF02668.23	GO:0016491	8
gene-JCM10908_005176		NA	100
gene-JCM10908_005177		NA	100
gene-JCM10908_005178	PF00144.30	NA	100
gene-JCM10908_005179	PF06963.19	GO:0005381,GO:0016020,GO:0034755	6
gene-JCM10908_005180	PF25567.2	NA	100
gene-JCM10908_005181	PF09273.17	NA	100
gene-JCM10908_005182		NA	100
gene-JCM10908_005183	PF00022.27	NA	100
gene-JCM10908_005184		NA	100
