gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BJ508DRAFT_196256	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA196256	PF24883.3	Partial	None
gene-BJ508DRAFT_21	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA21	PF24883.3	Partial	None
gene-BJ508DRAFT_40	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA40	PF24883.3,PF25053.1	Complete	None
gene-BJ508DRAFT_41	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA41	PF00096.33	Complete	None
gene-BJ508DRAFT_202298	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA202298	PF09284.17,PF14683.13,PF14686.13	Complete	None
gene-BJ508DRAFT_101	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA101		None	None
gene-BJ508DRAFT_125	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA125		None	None
gene-BJ508DRAFT_105	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA105		None	None
gene-BJ508DRAFT_320006	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320006		None	None
gene-BJ508DRAFT_170	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA170		None	None
gene-BJ508DRAFT_409859	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409859		None	None
gene-BJ508DRAFT_409860	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409860		None	None
gene-BJ508DRAFT_320009	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320009		None	None
gene-BJ508DRAFT_320010	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320010		None	None
gene-BJ508DRAFT_371413	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371413		None	None
gene-BJ508DRAFT_409861	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409861	PF24883.3,PF25053.1	Complete	None
gene-BJ508DRAFT_409862	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409862	PF24883.3,PF25053.1	Complete	None
gene-BJ508DRAFT_219199	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA219199	PF24883.3,PF25053.1	Complete	None
gene-BJ508DRAFT_226	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA226		None	None
gene-BJ508DRAFT_320016	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320016		None	None
gene-BJ508DRAFT_371418	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371418	PF01266.31,PF13450.13	Complete	None
gene-BJ508DRAFT_356714	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA356714	PF00069.32,PF07714.24	Partial	None
gene-BJ508DRAFT_316469	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA316469		None	None
gene-BJ508DRAFT_300275	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300275		None	None
gene-BJ508DRAFT_268	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA268	PF03856.19	Partial	None
gene-BJ508DRAFT_300278	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300278		None	None
gene-BJ508DRAFT_356717	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA356717		None	None
gene-BJ508DRAFT_300280	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300280		None	None
gene-BJ508DRAFT_300282	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300282		None	None
gene-BJ508DRAFT_320026	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320026		None	None
gene-BJ508DRAFT_320027	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320027		None	None
gene-BJ508DRAFT_320028	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320028		None	None
gene-BJ508DRAFT_202336	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA202336	PF18759.8	Partial	None
gene-BJ508DRAFT_371423	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371423		None	None
gene-BJ508DRAFT_356719	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA356719		None	None
gene-BJ508DRAFT_300288	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300288	PF01124.24	Partial	None
gene-BJ508DRAFT_320032	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320032		None	None
gene-BJ508DRAFT_409870	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409870		None	None
gene-BJ508DRAFT_371428	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371428	PF00743.26,PF00743.26	Partial	None
gene-BJ508DRAFT_337195	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA337195		None	None
gene-BJ508DRAFT_409871	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409871	PF13532.13	Partial	None
gene-BJ508DRAFT_371431	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371431		None	None
gene-BJ508DRAFT_391	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA391		None	None
gene-BJ508DRAFT_371432	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371432		None	None
gene-BJ508DRAFT_300298	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300298		None	None
gene-BJ508DRAFT_414	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA414		None	None
gene-BJ508DRAFT_300299	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300299		None	None
gene-BJ508DRAFT_428	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA428		None	None
gene-BJ508DRAFT_300301	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300301		None	None
gene-BJ508DRAFT_356732	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA356732		None	None
gene-BJ508DRAFT_337206	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA337206		None	None
gene-BJ508DRAFT_371436	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371436		None	None
gene-BJ508DRAFT_300306	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA300306		None	None
gene-BJ508DRAFT_409875	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409875	PF00171.28	Partial	None
gene-BJ508DRAFT_371438	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA371438	PF00291.32	Partial	None
gene-BJ508DRAFT_356736	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA356736		None	None
gene-BJ508DRAFT_200378	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA200378	PF14388.12	Partial	None
gene-BJ508DRAFT_320051	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320051		None	None
gene-BJ508DRAFT_320052	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA320052		None	None
gene-BJ508DRAFT_409876	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA409876	PF00557.30,PF05195.23	Partial	None
gene-BJ508DRAFT_198726	rna-gnl|WGS:PZQT|BJ508DRAFT_mRNA198726	PF12223.14	Partial	None
