gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00656.28,PF00656.28,PF31181.1,PF31181.1	GO:0004197,GO:0006508	5
GML000002	PF04750.20	GO:0016020	100
GML000003	PF12697.14,PF12697.14	NA	100
GML000004	PF20152.5,PF20152.5	NA	100
GML000005	PF01988.25	GO:0005384,GO:0030026	6
GML000006	PF04750.20,PF04750.20	GO:0016020	100
GML000007	PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21	GO:0005524,GO:0016887	8
GML000008	PF00070.34,PF07992.21,PF22366.2	GO:0016491	8
GML000009		NA	100
GML000010		NA	100
GML000011	PF08231.18	NA	100
GML000012	PF00732.26,PF00890.31,PF05199.20	GO:0016614,GO:0050660	8
GML000013	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000014		NA	100
GML000015	PF09748.15	GO:0003712,GO:0006357,GO:0016592	100
GML000016	PF08592.17	NA	100
GML000017		NA	100
GML000018		NA	100
GML000019	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000020	PF03959.20	NA	100
GML000021		NA	100
GML000022		NA	100
GML000023		NA	100
GML000024	PF04193.20,PF04193.20	NA	100
GML000025		NA	100
GML000026	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000027	PF03467.22	NA	100
GML000028	PF00010.32	GO:0046983	100
GML000029		NA	100
GML000030	PF01243.28,PF10590.15	NA	100
GML000031	PF00891.25,PF00891.25,PF00891.25	GO:0008171	8
GML000032	PF00221.25,PF00221.25	NA	100
GML000033	PF01494.26,PF01494.26,PF04820.21,PF04820.21,PF04820.21,PF04820.21,PF13450.13,PF13450.13	GO:0004497,GO:0071949	2
GML000034	PF07690.22	GO:0022857,GO:0055085	6
GML000035	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000036		NA	100
GML000037	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000038		NA	100
GML000039		NA	100
GML000040		NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044		NA	100
GML000045		NA	100
GML000046	PF01734.28,PF01734.28,PF01734.28	GO:0006629	8
GML000047	PF01384.26,PF01384.26	GO:0005315,GO:0006817,GO:0016020	6
GML000048	PF00076.29,PF14304.12,PF14327.12	GO:0003723,GO:0031124	4
GML000049	PF00069.32,PF00400.39,PF00400.39,PF22956.3	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000050	PF00649.24,PF00649.24	GO:0003677,GO:0003700,GO:0005507,GO:0006355	3
GML000051	PF00649.24,PF00649.24	GO:0003677,GO:0003700,GO:0005507,GO:0006355	3
GML000052		NA	100
GML000053	PF00155.28	GO:0009058,GO:0030170	8
GML000054	PF07034.18,PF18137.8	NA	100
GML000055	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF21128.6	GO:0003677,GO:0005524,GO:0016887	4
GML000056	PF20153.5,PF20153.5	NA	100
GML000057	PF09949.16,PF09949.16	GO:0008195	8
GML000058	PF00291.32	NA	100
GML000059		NA	100
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063		NA	100
GML000064		NA	100
GML000065		NA	100
GML000066	PF18953.8,PF18953.8	NA	100
GML000067		NA	100
GML000068	PF13813.12	NA	100
GML000069		NA	100
GML000070	PF13813.12,PF13813.12	NA	100
GML000071		NA	100
GML000072		NA	100
GML000073		NA	100
GML000074	PF01135.26,PF01135.26,PF01596.24,PF01596.24,PF01596.24,PF08241.19,PF08241.19,PF13578.13,PF13578.13,PF13649.13,PF13649.13,PF13847.13,PF13847.13	GO:0008171,GO:0008757	8
GML000075	PF00734.24,PF25485.2	GO:0005576,GO:0005975,GO:0030248	8
GML000076	PF01522.27	GO:0005975,GO:0016810	8
GML000077	PF01522.27	GO:0005975,GO:0016810	8
GML000078	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
GML000079	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000080	PF00069.32,PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000081		NA	100
GML000082	PF00270.36,PF00271.38,PF04851.22,PF13959.12	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000083	PF02487.24,PF02487.24	GO:0016020	100
GML000084	PF04082.24,PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000085	PF03134.25	NA	100
GML000086	PF12752.13	NA	100
GML000087		NA	100
GML000088	PF10373.16,PF10373.16,PF10374.16,PF10374.16	NA	100
GML000089	PF00753.34	NA	100
GML000090		NA	100
GML000091		NA	100
GML000092		NA	100
GML000093		NA	100
GML000094		NA	100
GML000095	PF00176.30,PF00271.38,PF04851.22	GO:0003677,GO:0005524,GO:0016787	4
GML000096	PF01412.24,PF01412.24	GO:0005096	100
GML000097	PF17733.8,PF25871.1	NA	100
GML000098	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000099	PF03937.22,PF03937.22	NA	100
GML000100		NA	100
GML000101	PF00501.35,PF00501.35,PF00501.35,PF01370.28,PF01370.28,PF07993.19,PF07993.19,PF07993.19,PF07993.19,PF23562.3,PF23562.3,PF23562.3	NA	100
GML000102	PF00410.25	GO:0003735,GO:0005840,GO:0006412	4
GML000103		NA	100
GML000104	PF01425.27	NA	100
GML000105	PF01507.26,PF01507.26	GO:0003824	8
GML000106	PF01370.28,PF02719.22,PF16363.12	NA	100
GML000107	PF01370.28,PF16363.12	NA	100
GML000108	PF01121.27,PF01121.27,PF01121.27	GO:0004140,GO:0005524,GO:0015937	3
GML000109	PF00075.31,PF00075.31,PF00078.33,PF00078.33,PF14529.13,PF14529.13	GO:0003676,GO:0004523	1
GML000110	PF00075.31,PF00075.31,PF00078.33,PF14529.13	GO:0003676,GO:0004523	1
GML000111	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000112	PF05971.19,PF05971.19,PF05971.19,PF05971.19	GO:0008168	8
GML000113		NA	100
GML000114	PF07690.22	GO:0022857,GO:0055085	6
GML000115	PF00149.34,PF00149.34,PF00149.34,PF04152.20,PF04152.20,PF04152.20	GO:0004519,GO:0005634,GO:0006302,GO:0016787,GO:0030145	3
GML000116		NA	100
GML000117	PF03151.23	NA	100
GML000118	PF01960.24,PF01960.24	GO:0004358,GO:0006526	8
GML000119		NA	100
GML000120	PF00545.26	GO:0003723,GO:0004521	1
GML000121	PF00545.26	GO:0003723,GO:0004521	1
GML000122	PF12311.14	NA	100
GML000123	PF09138.18	GO:0005737,GO:0034227	8
GML000124	PF01185.24	GO:0005199,GO:0009277	7
GML000125		NA	100
GML000126	PF12937.13	GO:0005515	100
GML000127		NA	100
GML000128	PF30661.1,PF30661.1	NA	100
GML000129	PF13391.13	NA	100
GML000130	PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000131	PF00025.28,PF00503.27	GO:0003924,GO:0005525,GO:0007186,GO:0019001,GO:0031683	3
GML000132		NA	100
GML000133	PF00026.29,PF00026.29,PF00026.29	NA	100
GML000134	PF00620.33	GO:0007165	3
GML000135		NA	100
GML000136		NA	100
GML000137	PF01546.34,PF07687.20,PF07687.20	GO:0016787	8
GML000138	PF12937.13	GO:0005515	100
GML000139		NA	100
GML000140	PF03099.25,PF09825.16	GO:0036211	8
GML000141		NA	100
GML000142		NA	100
GML000143	PF05347.22,PF23511.2	NA	100
GML000144	PF04588.19	NA	100
GML000145	PF11790.15	NA	100
GML000146	PF01370.28,PF16363.12	NA	100
GML000147		NA	100
GML000148		NA	100
GML000149		NA	100
GML000150	PF08514.18,PF08514.18,PF21581.4,PF21581.4,PF24571.3,PF24571.3	NA	100
GML000151	PF00702.33,PF00702.33,PF13242.13,PF13419.13,PF13419.13	NA	100
GML000152		NA	100
GML000153	PF00665.33,PF00665.33,PF00665.33,PF07727.20,PF07727.20,PF13976.12,PF13976.12,PF13976.12,PF14223.15,PF14223.15,PF14223.15,PF22936.2,PF22936.2,PF22936.2	NA	1
GML000154		NA	100
GML000155	PF00135.35,PF00135.35,PF20434.6,PF20434.6	NA	100
GML000156	PF07534.23,PF07534.23	NA	100
GML000157	PF03914.24,PF26702.1	NA	100
GML000158	PF00291.32,PF14821.12,PF24857.2	NA	100
GML000159	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000160	PF04615.19,PF04615.19	NA	100
GML000161		NA	100
GML000162		NA	100
GML000163		NA	100
GML000164		NA	100
GML000165		NA	100
GML000166		NA	100
GML000167	PF07287.18,PF23544.2	NA	100
GML000168	PF02515.23	GO:0003824	8
GML000169	PF02558.23,PF02558.23,PF08546.18,PF08546.18,PF08546.18,PF08546.18	NA	100
