protein_id	length
rna-SAMD00023353_0100010	603
rna-SAMD00023353_0101020	788
rna-SAMD00023353_0102040	448
rna-SAMD00023353_0103060	467
rna-SAMD00023353_0104070	1018
rna-SAMD00023353_0105090	886
rna-SAMD00023353_0200610	338
rna-SAMD00023353_0201620	368
rna-SAMD00023353_0202620	230
rna-SAMD00023353_0203630	1059
rna-SAMD00023353_0300330	66
rna-SAMD00023353_0301340	86
rna-SAMD00023353_0302400	784
rna-SAMD00023353_0303420	1092
rna-SAMD00023353_0400620	562
rna-SAMD00023353_0401630	620
rna-SAMD00023353_0402640	190
rna-SAMD00023353_0403660	359
rna-SAMD00023353_0500790	241
rna-SAMD00023353_0501790	320
rna-SAMD00023353_0502830	355
rna-SAMD00023353_0600450	285
rna-SAMD00023353_0601510	244
rna-SAMD00023353_0602520	464
rna-SAMD00023353_0700410	858
rna-SAMD00023353_0701430	475
rna-SAMD00023353_0702440	284
rna-SAMD00023353_0800520	98
rna-SAMD00023353_0801530	76
rna-SAMD00023353_0802560	361
rna-SAMD00023353_0900600	721
rna-SAMD00023353_0901620	252
rna-SAMD00023353_0902630	735
rna-SAMD00023353_1000770	186
rna-SAMD00023353_1001780	350
rna-SAMD00023353_1002790	481
rna-SAMD00023353_1100830	76
rna-SAMD00023353_1101840	495
rna-SAMD00023353_1200330	676
rna-SAMD00023353_1201370	934
rna-SAMD00023353_1202410	195
rna-SAMD00023353_1300930	586
rna-SAMD00023353_1301950	761
rna-SAMD00023353_1400350	266
rna-SAMD00023353_1401350	183
rna-SAMD00023353_1500280	366
rna-SAMD00023353_1501300	94
rna-SAMD00023353_1600070	227
rna-SAMD00023353_1601090	161
rna-SAMD00023353_1700180	215
rna-SAMD00023353_1701210	901
rna-SAMD00023353_1800350	51
rna-SAMD00023353_1801350	224
rna-SAMD00023353_1900610	448
rna-SAMD00023353_1901620	87
rna-SAMD00023353_2000840	111
rna-SAMD00023353_2100070	347
rna-SAMD00023353_2101090	662
rna-SAMD00023353_2200440	1479
rna-SAMD00023353_2201460	505
rna-SAMD00023353_2300680	386
rna-SAMD00023353_2400140	708
rna-SAMD00023353_2401140	874
rna-SAMD00023353_2500560	496
rna-SAMD00023353_2600020	215
rna-SAMD00023353_2601030	998
rna-SAMD00023353_2700480	542
rna-SAMD00023353_2701480	140
rna-SAMD00023353_2800810	689
rna-SAMD00023353_2900140	694
rna-SAMD00023353_2901160	324
rna-SAMD00023353_3000740	363
rna-SAMD00023353_3100310	497
rna-SAMD00023353_3101310	327
rna-SAMD00023353_3200930	69
rna-SAMD00023353_3300530	510
rna-SAMD00023353_3400340	133
rna-SAMD00023353_3401370	236
rna-SAMD00023353_3500870	289
rna-SAMD00023353_3600630	351
rna-SAMD00023353_3700510	229
rna-SAMD00023353_3800390	787
rna-SAMD00023353_3900250	175
rna-SAMD00023353_3901270	105
rna-SAMD00023353_4001000	519
rna-SAMD00023353_4100680	850
rna-SAMD00023353_4200740	338
rna-SAMD00023353_4300620	416
rna-SAMD00023353_4400490	126
rna-SAMD00023353_4500640	247
rna-SAMD00023353_4600630	756
rna-SAMD00023353_4700750	391
rna-SAMD00023353_4800840	814
rna-SAMD00023353_4900930	544
rna-SAMD00023353_5100030	573
rna-SAMD00023353_5101040	346
rna-SAMD00023353_5201010	451
rna-SAMD00023353_5400190	419
rna-SAMD00023353_5500470	326
rna-SAMD00023353_5700030	434
rna-SAMD00023353_5800270	368
rna-SAMD00023353_6000010	257
rna-SAMD00023353_6100270	120
rna-SAMD00023353_6300130	532
rna-SAMD00023353_6400430	286
rna-SAMD00023353_6600050	496
rna-SAMD00023353_6700530	763
rna-SAMD00023353_7000070	124
rna-SAMD00023353_7100510	476
rna-SAMD00023353_7300370	521
rna-SAMD00023353_7600120	232
rna-SAMD00023353_7800220	243
rna-SAMD00023353_8000180	601
rna-SAMD00023353_8200360	633
rna-SAMD00023353_8500220	187
rna-SAMD00023353_8900010	212
rna-SAMD00023353_9200310	269
rna-SAMD00023353_9500250	108
rna-SAMD00023353_9900140	428
rna-SAMD00023353_10300070	178
rna-SAMD00023353_10600270	141
rna-SAMD00023353_11100100	347
rna-SAMD00023353_11700050	454
rna-SAMD00023353_12300080	125
rna-SAMD00023353_13400060	521
