protein_id	length
rna-XM_033589470.1	50
rna-XM_033590512.1	232
rna-XM_033590554.1	56
rna-XM_033590588.1	377
rna-XM_033587243.1	113
rna-XM_033590661.1	640
rna-XM_033590699.1	247
rna-XM_033598499.1	433
rna-XM_033590761.1	641
rna-XM_033590796.1	569
rna-XM_033590832.1	137
rna-XM_033590870.1	509
rna-XM_033598535.1	774
rna-XM_033594978.1	285
rna-XM_033590975.1	96
rna-XM_033588560.1	674
rna-XM_033591050.1	286
rna-XM_033595182.1	549
rna-XM_033589116.1	107
rna-XM_033598590.1	351
rna-XM_033587780.1	127
rna-XM_033591235.1	1053
rna-XM_033588990.1	644
rna-XM_033595249.1	227
rna-XM_033598631.1	728
rna-XM_033595353.1	788
rna-XM_033589247.1	98
rna-XM_033591468.1	184
rna-XM_033589290.1	61
rna-XM_033589309.1	116
rna-XM_033594706.1	63
rna-XM_033597841.1	1072
rna-XM_033588854.1	81
rna-XM_033591641.1	593
rna-XM_033591673.1	1047
rna-XM_033595535.1	323
rna-XM_033589212.1	501
rna-XM_033589287.1	445
rna-XM_033595483.1	739
rna-XM_033591854.1	453
rna-XM_033597900.1	697
rna-XM_033595591.1	318
rna-XM_033595593.1	1514
rna-XM_033590461.1	617
rna-XM_033597928.1	373
rna-XM_033589910.1	159
rna-XM_033592072.1	124
rna-XM_033592104.1	363
rna-XM_033591357.1	78
rna-XM_033587378.1	792
rna-XM_033592214.1	975
rna-XM_033594656.1	92
rna-XM_033586527.1	145
rna-XM_033592324.1	420
rna-XM_033592355.1	1579
rna-XM_033592393.1	203
rna-XM_033587531.1	97
rna-XM_033592461.1	559
rna-XM_033592499.1	187
rna-XM_033596017.1	337
rna-XM_033586592.1	245
rna-XM_033596023.1	81
rna-XM_033592636.1	892
rna-XM_033592676.1	122
rna-XM_033592712.1	198
rna-XM_033587725.1	135
rna-XM_033595508.1	442
rna-XM_033586654.1	629
rna-XM_033595674.1	585
rna-XM_033595747.1	415
rna-XM_033592918.1	426
rna-XM_033587869.1	212
rna-XM_033592998.1	57
rna-XM_033593031.1	254
rna-XM_033587939.1	140
rna-XM_033586722.1	1055
rna-XM_033586732.1	1013
rna-XM_033588179.1	397
rna-XM_033596388.1	1041
rna-XM_033596572.1	137
rna-XM_033594619.1	172
rna-XM_033596724.1	721
rna-XM_033596792.1	281
rna-XM_033593331.1	301
rna-XM_033596508.1	1542
rna-XM_033588373.1	412
rna-XM_033593417.1	922
rna-XM_033593460.1	572
rna-XM_033593487.1	1543
rna-XM_033593522.1	390
rna-XM_033588486.1	951
rna-XM_033596652.1	174
rna-XM_033593607.1	51
rna-XM_033588706.1	90
rna-XM_033588736.1	218
rna-XM_033588757.1	379
rna-XM_033588782.1	333
rna-XM_033593763.1	804
rna-XM_033588840.1	97
rna-XM_033593838.1	86
rna-XM_033596882.1	296
rna-XM_033593870.1	68
rna-XM_033593907.1	931
rna-XM_033596938.1	231
rna-XM_033593989.1	376
rna-XM_033598006.1	288
rna-XM_033597017.1	228
rna-XM_033597032.1	79
rna-XM_033589170.1	622
rna-XM_033594158.1	436
rna-XM_033590298.1	53
rna-XM_033594219.1	119
rna-XM_033597159.1	496
rna-XM_033598689.1	129
rna-XM_033589397.1	651
rna-XM_033597250.1	526
rna-XM_033586665.1	204
rna-XM_033598401.1	234
rna-XM_033597312.1	549
rna-XM_033597351.1	53
rna-XM_033588083.1	333
rna-XM_033594547.1	162
rna-XM_033594573.1	297
rna-XM_033597464.1	257
