protein_id	length
rna-gnl|WGS:JADOXO|mrna.IEO21_00000	33
rna-gnl|WGS:JADOXO|mrna.IEO21_00100	234
rna-gnl|WGS:JADOXO|mrna.IEO21_00200	201
rna-gnl|WGS:JADOXO|mrna.IEO21_01422	638
rna-gnl|WGS:JADOXO|mrna.IEO21_10691	373
rna-gnl|WGS:JADOXO|mrna.IEO21_05580	293
rna-gnl|WGS:JADOXO|mrna.IEO21_05650	262
rna-gnl|WGS:JADOXO|mrna.IEO21_01453	343
rna-gnl|WGS:JADOXO|mrna.IEO21_05709	564
rna-gnl|WGS:JADOXO|mrna.IEO21_05788	87
rna-gnl|WGS:JADOXO|mrna.IEO21_05860	1001
rna-gnl|WGS:JADOXO|mrna.IEO21_05932	521
rna-gnl|WGS:JADOXO|mrna.IEO21_01640	105
rna-gnl|WGS:JADOXO|mrna.IEO21_10904	59
rna-gnl|WGS:JADOXO|mrna.IEO21_06064	162
rna-gnl|WGS:JADOXO|mrna.IEO21_06137	599
rna-gnl|WGS:JADOXO|mrna.IEO21_01727	769
rna-gnl|WGS:JADOXO|mrna.IEO21_06225	133
rna-gnl|WGS:JADOXO|mrna.IEO21_06304	117
rna-gnl|WGS:JADOXO|mrna.IEO21_01775	866
rna-gnl|WGS:JADOXO|mrna.IEO21_11040	140
rna-gnl|WGS:JADOXO|mrna.IEO21_11063	32
rna-gnl|WGS:JADOXO|mrna.IEO21_01834	213
rna-gnl|WGS:JADOXO|mrna.IEO21_11088	19
rna-gnl|WGS:JADOXO|mrna.IEO21_06632	201
rna-gnl|WGS:JADOXO|mrna.IEO21_01917	85
rna-gnl|WGS:JADOXO|mrna.IEO21_06722	291
rna-gnl|WGS:JADOXO|mrna.IEO21_06794	348
rna-gnl|WGS:JADOXO|mrna.IEO21_01987	51
rna-gnl|WGS:JADOXO|mrna.IEO21_06899	276
rna-gnl|WGS:JADOXO|mrna.IEO21_06983	278
rna-gnl|WGS:JADOXO|mrna.IEO21_02109	295
rna-gnl|WGS:JADOXO|mrna.IEO21_11245	168
rna-gnl|WGS:JADOXO|mrna.IEO21_02143	66
rna-gnl|WGS:JADOXO|mrna.IEO21_07225	353
rna-gnl|WGS:JADOXO|mrna.IEO21_00244	179
rna-gnl|WGS:JADOXO|mrna.IEO21_00344	403
rna-gnl|WGS:JADOXO|mrna.IEO21_02224	521
rna-gnl|WGS:JADOXO|mrna.IEO21_07389	254
rna-gnl|WGS:JADOXO|mrna.IEO21_02286	1402
rna-gnl|WGS:JADOXO|mrna.IEO21_07527	285
rna-gnl|WGS:JADOXO|mrna.IEO21_02359	1618
rna-gnl|WGS:JADOXO|mrna.IEO21_07671	216
rna-gnl|WGS:JADOXO|mrna.IEO21_02419	201
rna-gnl|WGS:JADOXO|mrna.IEO21_07808	901
rna-gnl|WGS:JADOXO|mrna.IEO21_07847	656
rna-gnl|WGS:JADOXO|mrna.IEO21_07947	526
rna-gnl|WGS:JADOXO|mrna.IEO21_07997	159
rna-gnl|WGS:JADOXO|mrna.IEO21_02577	400
rna-gnl|WGS:JADOXO|mrna.IEO21_08142	363
