protein_id	length
GML000001_mRNA1	853
GML000101_mRNA1	328
GML000201_mRNA1	1183
GML000301_mRNA1	803
GML000401_mRNA1	597
GML000501_mRNA1	391
GML000601_mRNA1	363
GML000701_mRNA1	149
GML000801_mRNA1	197
GML000901_mRNA1	242
GML001001_mRNA1	92
GML001101_mRNA1	266
GML001201_mRNA1	356
GML001301_mRNA1	169
GML001401_mRNA1	344
GML001501_mRNA1	399
GML001601_mRNA1	156
GML001701_mRNA1	350
GML001801_mRNA1	306
GML001901_mRNA1	313
GML002001_mRNA1	898
GML002101_mRNA1	226
GML002201_mRNA1	548
GML002301_mRNA1	326
GML002401_mRNA1	286
GML002501_mRNA1	1314
GML002601_mRNA1	97
GML002701_mRNA1	514
GML002801_mRNA1	173
GML002901_mRNA1	703
GML003001_mRNA1	210
GML003101_mRNA1	234
GML003201_mRNA1	82
GML003301_mRNA1	103
GML003401_mRNA1	417
GML003501_mRNA1	471
GML003601_mRNA1	388
GML003701_mRNA1	435
GML003801_mRNA1	470
GML003901_mRNA1	473
GML004001_mRNA1	450
GML004102_mRNA1	629
GML004201_mRNA1	848
GML004301_mRNA1	238
GML004401_mRNA1	794
GML004501_mRNA1	294
GML004601_mRNA1	566
GML004701_mRNA1	516
GML004801_mRNA1	723
GML004901_mRNA1	142
GML005001_mRNA1	493
GML005101_mRNA1	375
GML005201_mRNA1	1027
GML005301_mRNA1	235
GML005401_mRNA1	882
GML005501_mRNA1	432
GML005601_mRNA1	128
GML005701_mRNA1	873
GML005801_mRNA1	886
GML005901_mRNA1	635
GML006001_mRNA1	97
GML006101_mRNA1	1304
GML006201_mRNA1	435
GML006301_mRNA1	369
GML006401_mRNA1	593
GML006501_mRNA1	933
GML006601_mRNA1	245
GML006701_mRNA1	284
GML006801_mRNA1	536
GML006901_mRNA1	387
GML007001_mRNA1	162
GML007101_mRNA1	880
GML007201_mRNA1	234
GML007301_mRNA1	673
GML007401_mRNA1	503
GML007501_mRNA1	548
GML007601_mRNA1	568
GML007701_mRNA1	385
GML007802_mRNA1	98
GML007901_mRNA1	688
GML008001_mRNA1	578
GML008101_mRNA1	243
GML008201_mRNA1	279
GML008301_mRNA1	631
GML008401_mRNA1	469
GML008501_mRNA1	592
GML008601_mRNA1	256
GML008701_mRNA1	92
GML008801_mRNA1	1067
GML008901_mRNA1	917
GML009001_mRNA1	53
GML009101_mRNA1	308
GML009201_mRNA1	538
GML009301_mRNA1	650
GML009401_mRNA1	127
GML009501_mRNA1	159
GML009601_mRNA1	176
GML009701_mRNA1	115
GML009801_mRNA1	272
GML009901_mRNA1	260
GML010001_mRNA1	170
GML010101_mRNA1	96
GML010201_mRNA1	848
GML010301_mRNA1	226
GML010401_mRNA1	36
GML010501_mRNA1	89
GML010601_mRNA1	1016
GML010701_mRNA1	396
GML010801_mRNA1	203
GML010901_mRNA1	475
GML011001_mRNA1	461
GML011101_mRNA1	766
GML011201_mRNA1	594
GML011301_mRNA1	934
GML011401_mRNA1	138
GML011501_mRNA1	209
GML011601_mRNA1	450
GML011701_mRNA1	378
GML011801_mRNA1	647
GML011901_mRNA1	539
GML012001_mRNA1	387
GML012101_mRNA1	444
GML012201_mRNA1	1422
GML012301_mRNA1	395
GML012401_mRNA1	379
GML012501_mRNA1	317
GML012601_mRNA1	95
GML012701_mRNA1	813
GML012801_mRNA1	296
GML012901_mRNA1	440
GML013001_mRNA1	341
GML013101_mRNA1	1210
GML013201_mRNA1	522
GML013301_mRNA1	275
GML013401_mRNA1	908
GML013501_mRNA1	235
GML013601_mRNA1	171
GML013701_mRNA1	163
GML013801_mRNA1	639
GML013901_mRNA1	438
GML014001_mRNA1	976
GML014101_mRNA1	431
GML014201_mRNA1	366
GML014301_mRNA1	259
GML014401_mRNA1	756
GML014501_mRNA1	440
GML014601_mRNA1	496
GML014700_mRNA1	979
GML014801_mRNA1	503
GML014901_mRNA1	212
GML015001_mRNA1	339
GML015101_mRNA1	118
GML015201_mRNA1	419
GML015301_mRNA1	437
GML015401_mRNA1	190
GML015501_mRNA1	500
GML015601_mRNA1	494
GML015701_mRNA1	402
GML015801_mRNA1	71
GML015901_mRNA1	1586
GML016001_mRNA1	470
GML016101_mRNA1	530
GML016202_mRNA1	158
GML016301_mRNA1	254
GML016401_mRNA1	1004
GML016501_mRNA1	636
GML016601_mRNA1	274
GML016701_mRNA1	478
GML016801_mRNA1	366
GML016901_mRNA1	284
GML017001_mRNA1	606
GML017101_mRNA1	466
GML017201_mRNA1	835
GML017301_mRNA1	339
GML017401_mRNA1	96
GML017501_mRNA1	798
GML017601_mRNA1	517
GML017701_mRNA1	291
GML017801_mRNA1	570
GML017901_mRNA1	122
GML018001_mRNA1	911
GML018101_mRNA1	202
GML018201_mRNA1	598
GML018301_mRNA1	366
GML018401_mRNA1	1484
GML018501_mRNA1	501
GML018601_mRNA1	527
GML018701_mRNA1	234
GML018801_mRNA1	77
GML018901_mRNA1	1489
GML019001_mRNA1	156
GML019101_mRNA1	428
GML019201_mRNA1	619
GML019301_mRNA1	197
GML019401_mRNA1	54
GML019501_mRNA1	500
GML019601_mRNA1	307
GML019701_mRNA1	339
GML019801_mRNA1	874
GML019901_mRNA1	425
GML020001_mRNA1	298
GML020101_mRNA1	314
GML020201_mRNA1	180
GML020301_mRNA1	123
GML020401_mRNA1	1114
GML020501_mRNA1	302
GML020601_mRNA1	531
GML020701_mRNA1	294
GML020801_mRNA1	502
GML020901_mRNA1	1706
GML021001_mRNA1	157
GML021101_mRNA1	510
GML021201_mRNA1	79
GML021301_mRNA1	134
GML021401_mRNA1	177
GML021501_mRNA1	122
GML021601_mRNA1	548
GML021701_mRNA1	387
GML021801_mRNA1	703
GML021901_mRNA1	795
GML022001_mRNA1	399
GML022101_mRNA1	161
GML022201_mRNA1	269
GML022301_mRNA1	105
GML022401_mRNA1	604
GML022501_mRNA1	859
GML022601_mRNA1	302
GML022701_mRNA1	89
GML022801_mRNA1	50
GML022901_mRNA1	186
GML023001_mRNA1	775
GML023102_mRNA1	70
GML023201_mRNA1	531
GML023301_mRNA1	226
GML023401_mRNA1	245
GML023501_mRNA1	565
GML023601_mRNA1	41
