gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-ANO11243_097410	gene-ANO11243_097410		None	None
gene-ANO11243_097420	gene-ANO11243_097420		None	None
gene-ANO11243_097430	gene-ANO11243_097430	PF01408.29	Partial	None
gene-ANO11243_097440	gene-ANO11243_097440	PF00141.29,PF00141.29	Partial	None
gene-ANO11243_097450	gene-ANO11243_097450	PF00083.31,PF07690.22,PF07690.22	Partial	None
gene-ANO11243_097460	gene-ANO11243_097460		None	None
gene-ANO11243_097470	gene-ANO11243_097470		None	None
gene-ANO11243_097480	gene-ANO11243_097480	PF11951.14,PF12013.14	Partial	None
gene-ANO11243_097490	gene-ANO11243_097490	PF00106.32,PF05368.20,PF13561.13	Partial	None
gene-ANO11243_097500	gene-ANO11243_097500	PF05922.22	Partial	None
gene-ANO11243_097510	gene-ANO11243_097510		None	None
gene-ANO11243_097520	gene-ANO11243_097520	PF20253.4	Partial	None
gene-ANO11243_097530	gene-ANO11243_097530	PF07993.19	Partial	None
gene-ANO11243_097540	gene-ANO11243_097540		None	None
gene-ANO11243_097550	gene-ANO11243_097550		None	None
gene-ANO11243_097560	gene-ANO11243_097560		None	None
gene-ANO11243_097570	gene-ANO11243_097570		None	None
gene-ANO11243_097580	gene-ANO11243_097580		None	None
gene-ANO11243_097590	gene-ANO11243_097590	PF00955.28,PF00955.28	Partial	None
gene-ANO11243_097600	gene-ANO11243_097600		None	None
gene-ANO11243_097610	gene-ANO11243_097610	PF03364.26,PF10604.16	Partial	None
gene-ANO11243_097620	gene-ANO11243_097620	PF00743.26	Partial	None
gene-ANO11243_097630	gene-ANO11243_097630	PF00078.33	Partial	None
gene-ANO11243_097070	gene-ANO11243_097070		None	None
gene-ANO11243_097080	gene-ANO11243_097080		None	None
gene-ANO11243_097090	gene-ANO11243_097090	PF00188.33	Partial	None
gene-ANO11243_097100	gene-ANO11243_097100		None	None
gene-ANO11243_097110	gene-ANO11243_097110		None	None
gene-ANO11243_097120	gene-ANO11243_097120		None	None
gene-ANO11243_097130	gene-ANO11243_097130		None	None
gene-ANO11243_097140	gene-ANO11243_097140	PF01636.30	Partial	None
gene-ANO11243_097150	gene-ANO11243_097150		None	None
gene-ANO11243_097160	gene-ANO11243_097160		None	None
gene-ANO11243_097170	gene-ANO11243_097170		None	None
gene-ANO11243_097180	gene-ANO11243_097180	PF02714.21,PF13967.12	Partial	None
gene-ANO11243_097190	gene-ANO11243_097190		None	None
gene-ANO11243_097200	gene-ANO11243_097200		None	None
gene-ANO11243_097210	gene-ANO11243_097210		None	None
gene-ANO11243_097220	gene-ANO11243_097220		None	None
gene-ANO11243_097230	gene-ANO11243_097230	PF29418.1	Partial	None
gene-ANO11243_097240	gene-ANO11243_097240	PF12520.15	Partial	None
gene-ANO11243_097250	gene-ANO11243_097250		None	None
gene-ANO11243_097260	gene-ANO11243_097260		None	None
gene-ANO11243_097270	gene-ANO11243_097270		None	None
gene-ANO11243_097280	gene-ANO11243_097280		None	None
gene-ANO11243_097290	gene-ANO11243_097290		None	None
gene-ANO11243_097300	gene-ANO11243_097300		None	None
gene-ANO11243_097310	gene-ANO11243_097310		None	None
gene-ANO11243_097320	gene-ANO11243_097320		None	None
gene-ANO11243_097330	gene-ANO11243_097330		None	None
gene-ANO11243_097340	gene-ANO11243_097340		None	None
gene-ANO11243_097350	gene-ANO11243_097350	PF00002.30	Partial	None
gene-ANO11243_097360	gene-ANO11243_097360		None	None
gene-ANO11243_097370	gene-ANO11243_097370	PF26087.1	Partial	None
gene-ANO11243_097380	gene-ANO11243_097380		None	None
gene-ANO11243_097390	gene-ANO11243_097390	PF00515.35,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13432.13,PF17874.8	Complete	None
gene-ANO11243_095660	gene-ANO11243_095660	PF11807.14	Partial	None
gene-ANO11243_095670	gene-ANO11243_095670	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-ANO11243_095680	gene-ANO11243_095680	PF00083.31,PF07690.22	Partial	None
gene-ANO11243_095690	gene-ANO11243_095690		None	None
gene-ANO11243_095700	gene-ANO11243_095700	PF07859.20,PF12146.16	Partial	None
gene-ANO11243_095710	gene-ANO11243_095710	PF01073.26,PF05368.20,PF13460.13	Partial	None
gene-ANO11243_095720	gene-ANO11243_095720	PF00083.31,PF07690.22	Partial	None
gene-ANO11243_095730	gene-ANO11243_095730		None	None
gene-ANO11243_095740	gene-ANO11243_095740	PF01431.28,PF05649.19	Complete	None
gene-ANO11243_095750	gene-ANO11243_095750	PF03069.21,PF03069.21	Partial	None
gene-ANO11243_095760	gene-ANO11243_095760		None	None
gene-ANO11243_095770	gene-ANO11243_095770	PF01301.26,PF02449.22,PF18120.8	Complete	None
gene-ANO11243_095780	gene-ANO11243_095780	PF00083.31,PF07690.22	Partial	None
gene-ANO11243_095790	gene-ANO11243_095790		None	None
gene-ANO11243_095800	gene-ANO11243_095800		None	None
gene-ANO11243_095810	gene-ANO11243_095810	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
gene-ANO11243_095820	gene-ANO11243_095820		None	None
gene-ANO11243_095830	gene-ANO11243_095830		None	None
gene-ANO11243_095840	gene-ANO11243_095840	PF01070.25	Partial	None
gene-ANO11243_095850	gene-ANO11243_095850		None	None
gene-ANO11243_095860	gene-ANO11243_095860	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-ANO11243_095870	gene-ANO11243_095870		None	None
gene-ANO11243_095880	gene-ANO11243_095880	PF00172.24	Partial	None
gene-ANO11243_095890	gene-ANO11243_095890	PF00248.28	Partial	None
gene-ANO11243_095900	gene-ANO11243_095900		None	None
gene-ANO11243_095910	gene-ANO11243_095910		None	None
gene-ANO11243_095920	gene-ANO11243_095920	PF01738.25	Partial	None
gene-ANO11243_095930	gene-ANO11243_095930		None	None
gene-ANO11243_095940	gene-ANO11243_095940	PF20684.4	Partial	None
gene-ANO11243_095950	gene-ANO11243_095950		None	None
gene-ANO11243_095960	gene-ANO11243_095960		None	None
gene-ANO11243_095970	gene-ANO11243_095970		None	None
gene-ANO11243_095980	gene-ANO11243_095980		None	None
gene-ANO11243_095990	gene-ANO11243_095990		None	None
gene-ANO11243_096000	gene-ANO11243_096000	PF07690.22	Partial	None
gene-ANO11243_096010	gene-ANO11243_096010		None	None
gene-ANO11243_096020	gene-ANO11243_096020		None	None
gene-ANO11243_096030	gene-ANO11243_096030	PF20684.4	Partial	None
gene-ANO11243_096040	gene-ANO11243_096040		None	None
gene-ANO11243_096050	gene-ANO11243_096050	PF00067.28	Partial	None
gene-ANO11243_096060	gene-ANO11243_096060	PF00069.32	Partial	None
gene-ANO11243_096070	gene-ANO11243_096070	PF20684.4	Partial	None
gene-ANO11243_096080	gene-ANO11243_096080	PF06041.18	Partial	None
gene-ANO11243_096090	gene-ANO11243_096090	PF01636.30	Partial	None
gene-ANO11243_096100	gene-ANO11243_096100		None	None
gene-ANO11243_096110	gene-ANO11243_096110		None	None
gene-ANO11243_096120	gene-ANO11243_096120		None	None
gene-ANO11243_096130	gene-ANO11243_096130		None	None
gene-ANO11243_096140	gene-ANO11243_096140		None	None
gene-ANO11243_096150	gene-ANO11243_096150		None	None
gene-ANO11243_096160	gene-ANO11243_096160	PF01636.30	Partial	None
gene-ANO11243_096170	gene-ANO11243_096170		None	None
gene-ANO11243_096180	gene-ANO11243_096180	PF28402.1	Partial	None
gene-ANO11243_096190	gene-ANO11243_096190	PF02170.29,PF02171.24,PF08699.16,PF16486.12,PF16488.11	Complete	None
gene-ANO11243_096200	gene-ANO11243_096200	PF01161.27	Partial	None
gene-ANO11243_096210	gene-ANO11243_096210	PF00107.33,PF08240.18	Partial	None
gene-ANO11243_096220	gene-ANO11243_096220	PF00069.32,PF07714.24	Partial	None
gene-ANO11243_096230	gene-ANO11243_096230		None	None
gene-ANO11243_096240	gene-ANO11243_096240	PF13409.13,PF13417.13,PF22041.2	Partial	None
gene-ANO11243_096250	gene-ANO11243_096250	PF11951.14	Partial	None
gene-ANO11243_096260	gene-ANO11243_096260	PF00083.31,PF07690.22	Partial	None
gene-ANO11243_096270	gene-ANO11243_096270	PF01425.27	Partial	None
gene-ANO11243_096280	gene-ANO11243_096280	PF00172.24,PF11951.14	Partial	None
gene-ANO11243_096290	gene-ANO11243_096290	PF00324.28,PF13520.13	Partial	None
gene-ANO11243_096300	gene-ANO11243_096300	PF00172.24	Partial	None
gene-ANO11243_096310	gene-ANO11243_096310	PF00083.31,PF07690.22	Partial	None
gene-ANO11243_096320	gene-ANO11243_096320	PF03992.23	Partial	None
gene-ANO11243_096330	gene-ANO11243_096330	PF20684.4,PF20684.4	Partial	None
gene-ANO11243_096340	gene-ANO11243_096340	PF00544.26,PF13229.13	Partial	None
gene-ANO11243_096350	gene-ANO11243_096350	PF09415.17	Partial	None
gene-ANO11243_096360	gene-ANO11243_096360	PF09423.16,PF16655.13	Partial	None
gene-ANO11243_096370	gene-ANO11243_096370	PF02016.22,PF17676.8	Partial	None
gene-ANO11243_096380	gene-ANO11243_096380	PF05285.18,PF08158.19,PF21638.3	Complete	None
gene-ANO11243_096390	gene-ANO11243_096390	PF09994.15	Partial	None
gene-ANO11243_096400	gene-ANO11243_096400	PF13691.13	Complete	None
gene-ANO11243_096410	gene-ANO11243_096410	PF06229.19	Partial	None
gene-ANO11243_096420	gene-ANO11243_096420		None	None
gene-ANO11243_096430	gene-ANO11243_096430		None	None
gene-ANO11243_096440	gene-ANO11243_096440	PF01207.24,PF01207.24,PF25585.2	Complete	None
gene-ANO11243_096450	gene-ANO11243_096450	PF05529.18,PF18035.7	Complete	None
gene-ANO11243_096460	gene-ANO11243_096460	PF01398.27,PF14464.12,PF18323.7	Complete	None
gene-ANO11243_096470	gene-ANO11243_096470	PF03178.22,PF10433.16,PF23726.2	Complete	None
gene-ANO11243_096480	gene-ANO11243_096480	PF13824.13,PF20179.4	Complete	None
gene-ANO11243_096490	gene-ANO11243_096490		None	None
gene-ANO11243_096500	gene-ANO11243_096500		None	None
gene-ANO11243_096510	gene-ANO11243_096510	PF00177.28	Partial	None
gene-ANO11243_096520	gene-ANO11243_096520	PF08711.17	Partial	None
gene-ANO11243_096530	gene-ANO11243_096530		None	None
gene-ANO11243_096540	gene-ANO11243_096540		None	None
gene-ANO11243_096550	gene-ANO11243_096550		None	None
gene-ANO11243_096560	gene-ANO11243_096560		None	None
gene-ANO11243_096570	gene-ANO11243_096570	PF10296.16,PF26544.1	Partial	None
gene-ANO11243_096580	gene-ANO11243_096580	PF07690.22	Partial	None
gene-ANO11243_096590	gene-ANO11243_096590	PF00011.28	Complete	None
gene-ANO11243_096600	gene-ANO11243_096600	PF01205.26	Partial	None
gene-ANO11243_096610	gene-ANO11243_096610	PF01363.28	Complete	None
gene-ANO11243_096620	gene-ANO11243_096620		None	None
gene-ANO11243_096630	gene-ANO11243_096630	PF00732.26,PF01494.26,PF05199.20	Complete	None
gene-ANO11243_096640	gene-ANO11243_096640	PF00004.36,PF00004.36,PF00158.33,PF02861.26,PF02861.26,PF07724.21,PF07728.21,PF10431.16,PF13401.13,PF17871.8,PF23569.2	Complete	None
gene-ANO11243_096650	gene-ANO11243_096650		None	None
gene-ANO11243_096660	gene-ANO11243_096660	PF10604.16	Partial	None
gene-ANO11243_096670	gene-ANO11243_096670		None	None
gene-ANO11243_096680	gene-ANO11243_096680		None	None
gene-ANO11243_096690	gene-ANO11243_096690	PF10198.15	Complete	None
gene-ANO11243_096700	gene-ANO11243_096700		None	None
gene-ANO11243_096710	gene-ANO11243_096710	PF00097.32,PF13639.13,PF17123.12	Complete	None
gene-ANO11243_096720	gene-ANO11243_096720	PF10344.16,PF10344.16	Partial	None
gene-ANO11243_096730	gene-ANO11243_096730		None	None
gene-ANO11243_096740	gene-ANO11243_096740	PF01161.27	Partial	None
gene-ANO11243_096750	gene-ANO11243_096750	PF00573.28	Partial	None
gene-ANO11243_096760	gene-ANO11243_096760		None	None
gene-ANO11243_096770	gene-ANO11243_096770	PF04909.21	Partial	None
gene-ANO11243_096780	gene-ANO11243_096780	PF00533.34,PF01068.27,PF04675.20,PF04679.22,PF09414.16,PF16589.13	Complete	None
gene-ANO11243_096790	gene-ANO11243_096790		None	None
gene-ANO11243_096800	gene-ANO11243_096800	PF00282.26	Partial	None
gene-ANO11243_096810	gene-ANO11243_096810	PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF04826.20,PF05804.18	Complete	None
gene-ANO11243_096820	gene-ANO11243_096820	PF02809.27,PF02809.27,PF06087.19	Complete	None
gene-ANO11243_096830	gene-ANO11243_096830	PF00675.26,PF05193.27	Partial	None
gene-ANO11243_096840	gene-ANO11243_096840	PF05328.18	Partial	None
gene-ANO11243_096850	gene-ANO11243_096850	PF02112.22	Partial	None
gene-ANO11243_096860	gene-ANO11243_096860		None	None
gene-ANO11243_096870	gene-ANO11243_096870		None	None
gene-ANO11243_096880	gene-ANO11243_096880		None	None
gene-ANO11243_096890	gene-ANO11243_096890	PF00294.30	Partial	None
