protein_id	length
GML000001_mRNA1	80
GML000101_mRNA1	539
GML000201_mRNA1	308
GML000301_mRNA1	293
GML000401_mRNA1	382
GML000501_mRNA1	1147
GML000601_mRNA1	495
GML000701_mRNA1	817
GML000801_mRNA1	536
GML000901_mRNA1	838
GML001001_mRNA1	192
GML001101_mRNA1	314
GML001201_mRNA1	1548
GML001301_mRNA1	393
GML001401_mRNA1	585
GML001501_mRNA1	249
GML001601_mRNA1	258
GML001701_mRNA1	163
GML001801_mRNA1	72
GML001901_mRNA1	438
GML002001_mRNA1	510
GML002102_mRNA1	142
GML002201_mRNA1	848
GML002301_mRNA1	281
GML002400_mRNA1	206
GML002501_mRNA1	58
GML002601_mRNA1	261
GML002701_mRNA1	20
GML002801_mRNA1	700
GML002901_mRNA1	659
GML003001_mRNA1	553
GML003101_mRNA1	421
GML003201_mRNA1	156
GML003301_mRNA1	959
GML003401_mRNA1	663
GML003501_mRNA1	301
GML003601_mRNA1	663
GML003701_mRNA1	645
GML003801_mRNA1	148
GML003901_mRNA1	390
GML004001_mRNA1	853
GML004101_mRNA1	260
GML004201_mRNA1	1040
GML004301_mRNA1	101
GML004401_mRNA1	39
GML004501_mRNA1	131
GML004600_mRNA1	510
GML004701_mRNA1	319
GML004801_mRNA1	88
GML004901_mRNA1	804
GML005001_mRNA1	171
GML005101_mRNA1	154
GML005201_mRNA1	65
GML005301_mRNA1	924
GML005401_mRNA1	334
GML005501_mRNA1	301
GML005601_mRNA1	276
GML005701_mRNA1	347
GML005801_mRNA1	168
GML005901_mRNA1	283
GML006001_mRNA1	197
GML006101_mRNA1	365
GML006201_mRNA1	186
GML006301_mRNA1	342
GML006401_mRNA1	388
GML006501_mRNA1	1291
GML006601_mRNA1	448
GML006701_mRNA1	93
GML006801_mRNA1	409
GML006901_mRNA1	85
GML007001_mRNA1	340
GML007101_mRNA1	89
GML007201_mRNA1	347
GML007301_mRNA1	341
GML007401_mRNA1	300
GML007501_mRNA1	140
GML007601_mRNA1	533
GML007701_mRNA1	104
GML007801_mRNA1	458
GML007901_mRNA1	490
GML008001_mRNA1	179
GML008101_mRNA1	463
GML008201_mRNA1	309
GML008301_mRNA1	175
GML008401_mRNA1	179
GML008501_mRNA1	653
GML008601_mRNA1	102
GML008701_mRNA1	161
GML008801_mRNA1	271
GML008901_mRNA1	144
GML009001_mRNA1	200
GML009101_mRNA1	137
GML009201_mRNA1	495
GML009301_mRNA1	207
GML009401_mRNA1	338
GML009501_mRNA1	162
GML009601_mRNA1	43
GML009701_mRNA1	153
GML009801_mRNA1	333
GML009901_mRNA1	64
GML010001_mRNA1	55
GML010101_mRNA1	1656
GML010201_mRNA1	379
GML010301_mRNA1	104
GML010401_mRNA1	597
GML010501_mRNA1	675
GML010601_mRNA1	315
GML010701_mRNA1	169
GML010801_mRNA1	129
GML010901_mRNA1	526
GML011001_mRNA1	186
GML011101_mRNA1	216
GML011201_mRNA1	403
GML011301_mRNA1	494
GML011401_mRNA1	476
GML011501_mRNA1	341
GML011601_mRNA1	630
GML011701_mRNA1	109
GML011801_mRNA1	296
GML011901_mRNA1	627
GML012001_mRNA1	340
GML012101_mRNA1	492
GML012201_mRNA1	162
GML012301_mRNA1	351
GML012401_mRNA1	601
GML012500_mRNA1	500
GML012601_mRNA1	523
GML012701_mRNA1	191
GML012801_mRNA1	536
GML012900_mRNA1	932
GML013001_mRNA1	190
GML013101_mRNA1	550
GML013201_mRNA1	435
GML013301_mRNA1	792
GML013401_mRNA1	120
GML013501_mRNA1	632
GML013601_mRNA1	662
GML013701_mRNA1	98
GML013801_mRNA1	368
GML013901_mRNA1	345
GML014001_mRNA1	189
GML014101_mRNA1	483
GML014201_mRNA1	141
GML014301_mRNA1	764
GML014401_mRNA1	84
GML014501_mRNA1	963
GML014601_mRNA1	384
GML014701_mRNA1	415
GML014801_mRNA1	370
GML014901_mRNA1	134
GML015001_mRNA1	1606
GML015101_mRNA1	52
GML015201_mRNA1	438
GML015301_mRNA1	470
GML015401_mRNA1	174
GML015501_mRNA1	556
GML015601_mRNA1	1215
GML015701_mRNA1	251
GML015801_mRNA1	136
GML015901_mRNA1	262
GML016001_mRNA1	128
GML016101_mRNA1	250
GML016201_mRNA1	315
GML016301_mRNA1	92
GML016401_mRNA1	42
GML016501_mRNA1	35
GML016601_mRNA1	227
GML016701_mRNA1	187
GML016801_mRNA1	137
GML016901_mRNA1	103
GML017001_mRNA1	189
GML017101_mRNA1	343
GML017201_mRNA1	99
GML017301_mRNA1	504
GML017401_mRNA1	660
GML017501_mRNA1	130
GML017601_mRNA1	227
GML017701_mRNA1	155
