gene_id	pfam_ids	go_ids	bin_id
gene-BAUCODRAFT_118131		NA	100
gene-BAUCODRAFT_28706	PF00076.29	GO:0003723	4
gene-BAUCODRAFT_161206	PF00013.36,PF00098.29,PF00098.29,PF22675.3	GO:0003676,GO:0003723,GO:0008270	4
gene-BAUCODRAFT_161374	PF01184.25	GO:0016020	100
gene-BAUCODRAFT_144042	PF00179.32	NA	100
gene-BAUCODRAFT_161311		NA	100
gene-BAUCODRAFT_61056	PF13621.13	NA	100
gene-BAUCODRAFT_53930	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-BAUCODRAFT_28710		NA	100
gene-BAUCODRAFT_161409	PF07690.22	GO:0022857,GO:0055085	6
gene-BAUCODRAFT_161406		NA	100
gene-BAUCODRAFT_80806	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-BAUCODRAFT_566024	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-BAUCODRAFT_28714	PF22974.2	NA	100
gene-BAUCODRAFT_161475	PF01328.23	GO:0004601	8
gene-BAUCODRAFT_62350	PF01248.32	NA	100
gene-BAUCODRAFT_161664	PF09783.15	NA	100
gene-BAUCODRAFT_161508		NA	100
gene-BAUCODRAFT_28720		NA	100
gene-BAUCODRAFT_118150		NA	100
gene-BAUCODRAFT_28722		NA	100
gene-BAUCODRAFT_161655		NA	100
gene-BAUCODRAFT_162229		NA	100
gene-BAUCODRAFT_161652		NA	100
gene-BAUCODRAFT_118154	PF00205.29,PF02775.27,PF02776.24	GO:0000287,GO:0003824,GO:0030976	8
gene-BAUCODRAFT_28726	PF00043.31,PF02798.27,PF13409.13,PF13417.13,PF14497.12	NA	100
gene-BAUCODRAFT_162095		NA	100
gene-BAUCODRAFT_118157		NA	100
gene-BAUCODRAFT_144057	PF00176.30,PF00271.38,PF12054.14	GO:0005524	100
gene-BAUCODRAFT_99578	PF00501.35,PF13193.13	NA	100
gene-BAUCODRAFT_118160	PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-BAUCODRAFT_80839	PF02179.22	GO:0051087	100
gene-BAUCODRAFT_28731	PF02146.24	GO:0070403	100
gene-BAUCODRAFT_162532	PF11635.15,PF20719.3	GO:0016592	100
gene-BAUCODRAFT_28735		NA	100
gene-BAUCODRAFT_144064		NA	100
gene-BAUCODRAFT_20501		NA	100
gene-BAUCODRAFT_144066		NA	100
gene-BAUCODRAFT_144067		NA	100
gene-BAUCODRAFT_28742	PF20248.4	NA	100
gene-BAUCODRAFT_20505		NA	100
gene-BAUCODRAFT_20506	PF00082.28	GO:0006508,GO:0008236	5
gene-BAUCODRAFT_28747	PF00180.26	NA	100
gene-BAUCODRAFT_28750		NA	100
gene-BAUCODRAFT_62190	PF02668.23,PF05141.18	GO:0016491	8
gene-BAUCODRAFT_28751	PF00481.27	NA	100
gene-BAUCODRAFT_99597	PF08241.19,PF08242.19,PF13489.13,PF13649.13	GO:0008757	8
gene-BAUCODRAFT_28753	PF13409.13,PF13417.13,PF25907.1	NA	100
gene-BAUCODRAFT_144076	PF00043.31,PF14497.12	NA	100
gene-BAUCODRAFT_62230		NA	100
gene-BAUCODRAFT_163226		NA	100
gene-BAUCODRAFT_28755	PF00156.34,PF13793.13,PF14572.13	GO:0000287,GO:0009165	8
gene-BAUCODRAFT_152905	PF00071.29	GO:0003924,GO:0005525	8
gene-BAUCODRAFT_99611		NA	100
