gene_id	pfam_ids	go_ids	bin_id
gene-K444DRAFT_308868		NA	100
gene-K444DRAFT_308987	PF12511.14	NA	100
gene-K444DRAFT_549892	PF05721.20	NA	100
gene-K444DRAFT_639043	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K444DRAFT_516378	PF02297.23	NA	100
gene-K444DRAFT_639045	PF09801.15	NA	100
gene-K444DRAFT_514879		NA	100
gene-K444DRAFT_658065		NA	100
gene-K444DRAFT_623103		NA	100
gene-K444DRAFT_605835	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-K444DRAFT_605837		NA	100
gene-K444DRAFT_593	PF10021.16	NA	100
gene-K444DRAFT_592		NA	100
gene-K444DRAFT_516175	PF00152.26	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-K444DRAFT_515996	PF09729.16	NA	100
gene-K444DRAFT_490		NA	100
gene-K444DRAFT_578135		NA	100
gene-K444DRAFT_869		NA	100
gene-K444DRAFT_902		NA	100
gene-K444DRAFT_906		NA	100
gene-K444DRAFT_578138	PF00750.26,PF05746.22	GO:0004814,GO:0005524,GO:0006420	8
gene-K444DRAFT_639050		NA	100
gene-K444DRAFT_516225	PF07521.18,PF10996.15,PF13299.12,PF16661.12	NA	100
gene-K444DRAFT_605851	PF00626.28,PF04810.21,PF04811.22,PF04815.21,PF08033.18	GO:0006886,GO:0006888,GO:0008270,GO:0030127	6
gene-K444DRAFT_689084		NA	100
gene-K444DRAFT_605853		NA	100
gene-K444DRAFT_549932	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13637.13	GO:0005515	100
gene-K444DRAFT_605857	PF30466.1	NA	100
gene-K444DRAFT_623120	PF03587.20	GO:0070037,GO:0070475	8
gene-K444DRAFT_1097		NA	100
gene-K444DRAFT_605861	PF00072.31,PF00512.32,PF00989.32,PF02518.32,PF08447.19,PF13426.14	GO:0000155,GO:0000160,GO:0005515,GO:0006355,GO:0007165	3
gene-K444DRAFT_516089	PF01370.28,PF05368.20,PF13460.13	NA	100
gene-K444DRAFT_605863	PF06985.18,PF26639.1	NA	100
gene-K444DRAFT_510760		NA	100
gene-K444DRAFT_623125		NA	100
gene-K444DRAFT_649107	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-K444DRAFT_623127	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-K444DRAFT_578167		NA	100
gene-K444DRAFT_605864		NA	100
gene-K444DRAFT_623130	PF00023.37,PF00023.37,PF00023.37,PF00082.28,PF12796.14,PF12796.14,PF13637.13	GO:0005515,GO:0006508,GO:0008236	5
gene-K444DRAFT_658089		NA	100
gene-K444DRAFT_549962	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K444DRAFT_605869	PF06985.18,PF26639.1	NA	100
gene-K444DRAFT_515777	PF06985.18,PF26639.1	NA	100
gene-K444DRAFT_578184	PF00023.37,PF00023.37,PF00069.32,PF07714.24,PF12796.14,PF12796.14,PF13637.13	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
gene-K444DRAFT_689141	PF14479.12,PF24476.2	NA	100
gene-K444DRAFT_516186	PF00501.35	NA	100
gene-K444DRAFT_480331		NA	100
gene-K444DRAFT_516465	PF10392.16,PF20649.4	NA	100
gene-K444DRAFT_515106	PF10361.15	NA	100
gene-K444DRAFT_623141		NA	100
gene-K444DRAFT_689148		NA	100
gene-K444DRAFT_510521	PF00023.37,PF00023.37,PF05729.19,PF12796.14,PF24883.3	GO:0005515	100
gene-K444DRAFT_689162		NA	100
gene-K444DRAFT_578195		NA	100
gene-K444DRAFT_605878		NA	100
gene-K444DRAFT_605879	PF00085.27,PF04756.20,PF06201.20,PF13098.14	NA	100
gene-K444DRAFT_605880		NA	100
gene-K444DRAFT_649116	PF00933.28,PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
gene-K444DRAFT_623148		NA	100
gene-K444DRAFT_658102		NA	100
gene-K444DRAFT_1690		NA	100
gene-K444DRAFT_515141		NA	100
gene-K444DRAFT_515584		NA	100
gene-K444DRAFT_639073		NA	100
gene-K444DRAFT_623151	PF24757.1	NA	100
gene-K444DRAFT_t3		NA	100
gene-K444DRAFT_605883		NA	100
gene-K444DRAFT_1786		NA	100
gene-K444DRAFT_639076	PF00856.34	GO:0005515	100
gene-K444DRAFT_515049		NA	100
gene-K444DRAFT_689202	PF00856.34	GO:0005515	100
gene-K444DRAFT_485669	PF00023.37,PF00023.37,PF12796.14,PF13606.13,PF13637.13	GO:0005515	100
gene-K444DRAFT_510770		NA	100
gene-K444DRAFT_689211		NA	100
gene-K444DRAFT_623156	PF04607.24	GO:0015969	8
gene-K444DRAFT_605887		NA	100
gene-K444DRAFT_658108		NA	100
gene-K444DRAFT_689215		NA	100
gene-K444DRAFT_499465		NA	100
gene-K444DRAFT_623160		NA	100
gene-K444DRAFT_649119	PF03169.21	GO:0035673	6
gene-K444DRAFT_658111		NA	100
gene-K444DRAFT_605891		NA	100
gene-K444DRAFT_1946	PF00023.37,PF00023.37,PF00023.37,PF06985.18,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13637.13,PF26640.1	GO:0005515	100
gene-K444DRAFT_516207	PF00982.28,PF02358.23	GO:0003824,GO:0005992	8
gene-K444DRAFT_605894		NA	100
gene-K444DRAFT_2049	PF11951.14	NA	100
gene-K444DRAFT_2074		NA	100
gene-K444DRAFT_578222	PF06985.18	NA	100
gene-K444DRAFT_658116		NA	100
gene-K444DRAFT_658117	PF20237.4	NA	100
gene-K444DRAFT_658118	PF00023.37,PF00069.32,PF07714.24,PF12796.14	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
gene-K444DRAFT_515576	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K444DRAFT_605899		NA	100
gene-K444DRAFT_658121		NA	100
gene-K444DRAFT_515839	PF00070.34,PF01134.29,PF02852.29,PF07992.21,PF13738.13	GO:0016491	8
gene-K444DRAFT_623175	PF24086.2	NA	100
gene-K444DRAFT_623176	PF07264.18	NA	100
gene-K444DRAFT_689223	PF02469.28,PF02469.28	NA	100
gene-K444DRAFT_623179		NA	100
gene-K444DRAFT_639084	PF00069.32,PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-K444DRAFT_578237	PF00044.31,PF02800.27	GO:0016620,GO:0051287	8
gene-K444DRAFT_578241	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-K444DRAFT_649127		NA	100
gene-K444DRAFT_689252	PF00150.25	GO:0000272,GO:0004553	8
gene-K444DRAFT_516067	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-K444DRAFT_2329		NA	100
gene-K444DRAFT_623187		NA	100
gene-K444DRAFT_605912		NA	100
gene-K444DRAFT_649131		NA	100
gene-K444DRAFT_2531		NA	100
gene-K444DRAFT_2526		NA	100
gene-K444DRAFT_515949	PF20237.4	NA	100
gene-K444DRAFT_501078	PF00096.33	NA	100
gene-K444DRAFT_623193		NA	100
gene-K444DRAFT_658137	PF00043.31,PF02798.27,PF13409.13,PF13410.12,PF13417.13,PF14497.12	NA	100
gene-K444DRAFT_689290		NA	100
gene-K444DRAFT_578260		NA	100
gene-K444DRAFT_623197		NA	100
gene-K444DRAFT_514828	PF04366.18	NA	100
gene-K444DRAFT_578262	PF24883.3,PF25053.1	NA	100
gene-K444DRAFT_516117	PF00326.28,PF10503.15	GO:0005576,GO:0006508,GO:0008236,GO:0016787	5
gene-K444DRAFT_605920		NA	100
gene-K444DRAFT_605923		NA	100
gene-K444DRAFT_515629	PF01490.25	NA	100
gene-K444DRAFT_516283	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K444DRAFT_550054	PF02567.22	GO:0003824,GO:0009058	8
gene-K444DRAFT_658144	PF06985.18	NA	100
gene-K444DRAFT_516417	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-K444DRAFT_2880		NA	100
gene-K444DRAFT_578284	PF00023.37,PF00023.37,PF05729.19,PF12796.14,PF12796.14,PF12796.14,PF13637.13,PF13637.13,PF22939.3,PF24883.3	GO:0005515	100
gene-K444DRAFT_658148	PF06140.19	GO:0016020	100
gene-K444DRAFT_639102		NA	100
gene-K444DRAFT_2917	PF00890.31	NA	100
gene-K444DRAFT_623212		NA	100
gene-K444DRAFT_623213		NA	100
gene-K444DRAFT_658150	PF20150.5	NA	100
gene-K444DRAFT_550077	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K444DRAFT_2977		NA	100
gene-K444DRAFT_2985		NA	100
gene-K444DRAFT_515250	PF11712.14	GO:0070072	100
gene-K444DRAFT_578295	PF00348.23	GO:0004659,GO:0008299	8
gene-K444DRAFT_550085	PF13878.13,PF13880.13	NA	100
gene-K444DRAFT_605938		NA	100
gene-K444DRAFT_3147	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-K444DRAFT_3150		NA	100
gene-K444DRAFT_605941		NA	100
gene-K444DRAFT_3182		NA	100
gene-K444DRAFT_578303	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF19055.7,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0140359	6
gene-K444DRAFT_3208	PF20233.4	NA	100
gene-K444DRAFT_550095	PF13181.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13424.13,PF13424.13,PF13424.13	GO:0005515	100
gene-K444DRAFT_605945	PF00107.33,PF08240.18	NA	100
gene-K444DRAFT_658163	PF03992.23	NA	100
gene-K444DRAFT_515163	PF06985.18	NA	100
gene-K444DRAFT_649146	PF20237.4,PF20237.4	NA	100
gene-K444DRAFT_658166		NA	100
gene-K444DRAFT_515540	PF06985.18	NA	100
gene-K444DRAFT_658167	PF02225.28,PF04389.23	NA	100
gene-K444DRAFT_3365		NA	100
gene-K444DRAFT_658169		NA	100
gene-K444DRAFT_514954	PF01794.26,PF08022.19,PF08030.18	GO:0016491	8
gene-K444DRAFT_623239	PF00179.32	NA	100
gene-K444DRAFT_605958	PF00441.30,PF02770.25,PF02771.22	GO:0016627,GO:0050660	8
gene-K444DRAFT_605959	PF00752.24,PF00867.24	GO:0004518	8
gene-K444DRAFT_623242		NA	100
gene-K444DRAFT_658175		NA	100
gene-K444DRAFT_515076	PF01504.25	GO:0046488,GO:0052742	3
gene-K444DRAFT_623245	PF01636.30	NA	100
gene-K444DRAFT_649152	PF00248.28	NA	100
gene-K444DRAFT_605964		NA	100
gene-K444DRAFT_3982	PF22893.3	NA	100
gene-K444DRAFT_578341	PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13857.13	GO:0005515	100
gene-K444DRAFT_483110	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13637.13	GO:0005515	100
gene-K444DRAFT_516030		NA	100
gene-K444DRAFT_4063		NA	100
gene-K444DRAFT_578350	PF01636.30	NA	100
gene-K444DRAFT_623250	PF20174.5,PF21858.3	NA	100
gene-K444DRAFT_605971		NA	100
gene-K444DRAFT_4142		NA	100
gene-K444DRAFT_514890	PF17111.12	NA	100
gene-K444DRAFT_658181	PF11915.14,PF11915.14	NA	100
gene-K444DRAFT_516399		NA	100
gene-K444DRAFT_689417		NA	100
gene-K444DRAFT_689429		NA	100
gene-K444DRAFT_515326		NA	100
gene-K444DRAFT_473082		NA	100
gene-K444DRAFT_513952	PF14441.13	NA	100
gene-K444DRAFT_510514		NA	100
gene-K444DRAFT_515411		NA	100
gene-K444DRAFT_515155	PF01979.27,PF01979.27,PF07969.18,PF12890.14	GO:0016787	8
gene-K444DRAFT_658184		NA	100
gene-K444DRAFT_649156	PF07690.22	GO:0022857,GO:0055085	6
gene-K444DRAFT_658186	PF00628.36	NA	100
gene-K444DRAFT_515942		NA	100
gene-K444DRAFT_623260		NA	100
gene-K444DRAFT_623261	PF01284.29	GO:0016020	100
gene-K444DRAFT_623262		NA	100
gene-K444DRAFT_689458		NA	100
gene-K444DRAFT_515747	PF03184.26	NA	1
gene-K444DRAFT_689480		NA	100
gene-K444DRAFT_623264		NA	100
gene-K444DRAFT_4543		NA	100
gene-K444DRAFT_4540		NA	100
gene-K444DRAFT_578371	PF00107.33,PF13602.13,PF16884.11	NA	100
gene-K444DRAFT_658191	PF11913.14	NA	100
gene-K444DRAFT_605985		NA	100
gene-K444DRAFT_4627		NA	100
gene-K444DRAFT_605987	PF01757.29	GO:0016747	8
gene-K444DRAFT_605989		NA	100
gene-K444DRAFT_4695		NA	100
gene-K444DRAFT_4645		NA	100
gene-K444DRAFT_516102	PF00295.24	GO:0004650,GO:0005975	8
gene-K444DRAFT_4861	PF00072.31,PF00512.32,PF02518.32	GO:0000155,GO:0000160,GO:0007165	3
gene-K444DRAFT_658197		NA	100
gene-K444DRAFT_605997		NA	100
gene-K444DRAFT_550173	PF01083.29	GO:0016787	8
gene-K444DRAFT_689519	PF07690.22	GO:0022857,GO:0055085	6
gene-K444DRAFT_689522		NA	100
gene-K444DRAFT_649162	PF30737.1	NA	100
gene-K444DRAFT_516081	PF06985.18	NA	100
gene-K444DRAFT_550182	PF06985.18	NA	100
gene-K444DRAFT_639133		NA	100
gene-K444DRAFT_4952	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-K444DRAFT_649165	PF06779.21,PF07690.22	GO:0022857,GO:0055085	6
gene-K444DRAFT_606004		NA	100
gene-K444DRAFT_550193	PF20253.4	NA	100
gene-K444DRAFT_639137	PF13191.13,PF24913.2	NA	100
gene-K444DRAFT_5007		NA	100
gene-K444DRAFT_497585		NA	100
gene-K444DRAFT_5133	PF00249.38,PF13921.13	NA	100
gene-K444DRAFT_5082		NA	100
gene-K444DRAFT_5093		NA	100
gene-K444DRAFT_493259	PF03446.22,PF14833.12	GO:0050661,GO:0051287	100
gene-K444DRAFT_639138	PF03328.21	GO:0003824	8
gene-K444DRAFT_550204	PF06985.18,PF26639.1	NA	100
gene-K444DRAFT_606019		NA	100
gene-K444DRAFT_689534	PF20237.4	NA	100
gene-K444DRAFT_481443	PF06985.18	NA	100
gene-K444DRAFT_5283	PF01734.28,PF05729.19,PF24883.3	GO:0006629	8
gene-K444DRAFT_550213	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-K444DRAFT_515649		NA	100
gene-K444DRAFT_689548	PF08657.16,PF08657.16	GO:0005876,GO:0008608,GO:0042729	100
gene-K444DRAFT_639143		NA	100
gene-K444DRAFT_578430	PF03847.21	GO:0005669,GO:0006352	8
gene-K444DRAFT_550225	PF01399.34,PF08375.17,PF25573.1	GO:0000502,GO:0030234,GO:0042176	100
gene-K444DRAFT_516281	PF01853.26,PF17772.8	GO:0004402,GO:0006355	8
gene-K444DRAFT_516307		NA	100
gene-K444DRAFT_689560		NA	100
gene-K444DRAFT_578439	PF07690.22	GO:0022857,GO:0055085	6
gene-K444DRAFT_689562		NA	100
gene-K444DRAFT_689564		NA	100
gene-K444DRAFT_623304		NA	100
gene-K444DRAFT_689566		NA	100
gene-K444DRAFT_5523		NA	100
gene-K444DRAFT_5553		NA	100
gene-K444DRAFT_623307		NA	100
gene-K444DRAFT_639147	PF13519.13	NA	100
gene-K444DRAFT_623309		NA	100
gene-K444DRAFT_623310		NA	100
gene-K444DRAFT_550235	PF06427.18,PF18400.8,PF18401.8,PF18402.8,PF18403.8,PF18404.8	GO:0003980,GO:0009101	8
gene-K444DRAFT_689582	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF06957.18,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117,GO:0030126	6
gene-K444DRAFT_606040	PF10075.16	NA	100
gene-K444DRAFT_689589		NA	100
gene-K444DRAFT_658227	PF27504.1	NA	100
gene-K444DRAFT_5710		NA	100
gene-K444DRAFT_649179	PF12717.14,PF12922.14	NA	100
gene-K444DRAFT_623317	PF00069.32,PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K444DRAFT_550250	PF00828.26	NA	100
gene-K444DRAFT_515873	PF01757.29	GO:0016747	8
gene-K444DRAFT_515219	PF00642.31,PF14608.13,PF14608.13	GO:0046872	100
gene-K444DRAFT_514948	PF07106.20	NA	100
gene-K444DRAFT_516101	PF08238.19,PF08238.19	NA	100
gene-K444DRAFT_639157	PF06733.22,PF13307.13	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	4
gene-K444DRAFT_606051		NA	100
gene-K444DRAFT_623326		NA	100
gene-K444DRAFT_6072		NA	100
gene-K444DRAFT_606053		NA	100
gene-K444DRAFT_6070		NA	100
gene-K444DRAFT_6083		NA	100
gene-K444DRAFT_516123		NA	100
gene-K444DRAFT_578475	PF02450.22	GO:0006629,GO:0008374	8
gene-K444DRAFT_639159	PF00583.32,PF08445.17,PF13302.14,PF13508.14,PF13673.14	GO:0016747	8
gene-K444DRAFT_623328	PF08939.16	NA	100
gene-K444DRAFT_623329	PF00400.39,PF00400.39	GO:0005515	100
gene-K444DRAFT_515612	PF07534.23,PF07534.23	NA	100
gene-K444DRAFT_658242	PF00856.34	GO:0005515	100
gene-K444DRAFT_606058	PF02602.21	GO:0004852,GO:0033014	8
gene-K444DRAFT_649191	PF04777.19	GO:0016972	8
gene-K444DRAFT_578488	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-K444DRAFT_516469	PF06985.18	NA	100
gene-K444DRAFT_623336		NA	100
gene-K444DRAFT_6425		NA	100
gene-K444DRAFT_515659	PF01602.27,PF12717.14	GO:0006886,GO:0016192,GO:0030117	6
gene-K444DRAFT_515755		NA	100
gene-K444DRAFT_606065	PF01722.24	NA	100
gene-K444DRAFT_515454	PF01784.25	NA	100
gene-K444DRAFT_515017	PF04124.19,PF08700.18	GO:0017119	100
gene-K444DRAFT_489224	PF08585.19	NA	100
gene-K444DRAFT_6435	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K444DRAFT_578502		NA	100
gene-K444DRAFT_6571		NA	100
gene-K444DRAFT_649198	PF00626.28,PF04810.21,PF04811.22,PF04815.21,PF08033.18	GO:0006886,GO:0006888,GO:0008270,GO:0030127	6
gene-K444DRAFT_550300		NA	100
gene-K444DRAFT_6614	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-K444DRAFT_516004	PF03810.26,PF08389.19,PF19273.6	GO:0006886,GO:0031267	6
gene-K444DRAFT_578516	PF00150.25,PF18564.8	GO:0000272,GO:0004553	8
gene-K444DRAFT_550311	PF13181.13,PF13181.13,PF13181.13,PF13432.13,PF13432.13,PF14559.13,PF18833.8	GO:0005515	100
gene-K444DRAFT_639180	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-K444DRAFT_550313	PF08553.17,PF17747.8,PF17748.8	NA	100
gene-K444DRAFT_623352		NA	100
gene-K444DRAFT_510290	PF01569.28	NA	100
gene-K444DRAFT_516106	PF00982.28	GO:0003824,GO:0005992	8
gene-K444DRAFT_578530		NA	100
gene-K444DRAFT_639184	PF00732.26,PF05199.20,PF05834.19	GO:0016614,GO:0050660	8
gene-K444DRAFT_578535	PF06419.18,PF20653.4	NA	100
gene-K444DRAFT_515533	PF04109.22	GO:0006914	8
gene-K444DRAFT_639187	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-K444DRAFT_489832	PF05729.19,PF24883.3	NA	100
gene-K444DRAFT_515807	PF00004.36,PF09336.17,PF17862.8	GO:0005524,GO:0016887	8
