gene_id	pfam_ids	go_ids	bin_id
gene-EI97DRAFT_453821		NA	100
gene-EI97DRAFT_446795	PF00266.26	NA	100
gene-EI97DRAFT_428644		NA	100
gene-EI97DRAFT_428646	PF00557.30	NA	100
gene-EI97DRAFT_351916	PF00226.37	NA	100
gene-EI97DRAFT_408577	PF01459.29,PF01459.29	GO:0005741,GO:0055085	6
gene-EI97DRAFT_367145	PF00441.30,PF01756.25,PF02770.25,PF14749.12,PF22924.2	GO:0003997,GO:0005777,GO:0006635,GO:0016627	8
gene-EI97DRAFT_428649	PF00481.27	NA	100
gene-EI97DRAFT_428650	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-EI97DRAFT_236	PF03915.19,PF23153.2	NA	100
gene-EI97DRAFT_446803	PF06741.19,PF14438.13	NA	100
gene-EI97DRAFT_428651	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-EI97DRAFT_428652	PF06862.18,PF22916.3	NA	100
gene-EI97DRAFT_408601	PF01398.27,PF13012.12	GO:0005515,GO:0008233,GO:0008237	8
gene-EI97DRAFT_408606	PF02269.23	GO:0006366	8
gene-EI97DRAFT_428655		NA	100
gene-EI97DRAFT_368224	PF25909.1	NA	100
gene-EI97DRAFT_568		NA	100
gene-EI97DRAFT_331		NA	100
gene-EI97DRAFT_490772		NA	100
gene-EI97DRAFT_428661		NA	100
gene-EI97DRAFT_453840		NA	100
gene-EI97DRAFT_408613	PF04564.22,PF10408.15	GO:0000151,GO:0004842,GO:0006511,GO:0016567,GO:0034450	5
gene-EI97DRAFT_428664	PF00026.29	NA	100
gene-EI97DRAFT_367018	PF00071.29,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
gene-EI97DRAFT_1332		NA	100
gene-EI97DRAFT_367135	PF19031.7	GO:0016192	6
gene-EI97DRAFT_428668	PF00551.25	GO:0009058	8
gene-EI97DRAFT_428669	PF00626.28,PF04810.21,PF04811.22,PF04815.21,PF08033.18	GO:0006886,GO:0006888,GO:0008270,GO:0030127	6
gene-EI97DRAFT_428671	PF08695.17	NA	100
gene-EI97DRAFT_1137	PF04006.18	GO:0005634,GO:0005732,GO:0006364,GO:0034457	8
gene-EI97DRAFT_428674	PF10294.16	NA	100
gene-EI97DRAFT_428675	PF00487.31,PF08557.16	GO:0006629	8
gene-EI97DRAFT_428676	PF13741.13	GO:0003735,GO:0005763	4
gene-EI97DRAFT_1552	PF01535.27,PF01535.27	NA	100
gene-EI97DRAFT_1553	PF05368.20	NA	100
gene-EI97DRAFT_428678	PF09531.16	NA	100
gene-EI97DRAFT_428679	PF05739.27,PF14523.13	GO:0016020	100
gene-EI97DRAFT_428680	PF01265.23	GO:0004408,GO:0005739	8
gene-EI97DRAFT_428681	PF00288.33,PF18376.7,PF22700.3	GO:0005524	100
gene-EI97DRAFT_428682	PF00226.37,PF09320.17	NA	100
gene-EI97DRAFT_1671		NA	100
gene-EI97DRAFT_408673	PF00069.32,PF07714.24,PF22956.3	GO:0004672,GO:0005524,GO:0006468	3
gene-EI97DRAFT_1855		NA	100
gene-EI97DRAFT_463074	PF00076.29	GO:0003723	4
gene-EI97DRAFT_428687	PF00179.32	NA	100
gene-EI97DRAFT_368488	PF04614.18	GO:0005777	100
gene-EI97DRAFT_368402		NA	100
gene-EI97DRAFT_453864	PF03443.21	NA	100
gene-EI97DRAFT_368244	PF24537.2	NA	100
gene-EI97DRAFT_368251	PF00782.26	GO:0016311	8
gene-EI97DRAFT_453867	PF08432.16	NA	100
gene-EI97DRAFT_428696	PF01026.28	GO:0016788	8
gene-EI97DRAFT_428698		NA	100
gene-EI97DRAFT_446839	PF12855.13	NA	100
gene-EI97DRAFT_2329		NA	100
gene-EI97DRAFT_368620	PF00459.31	NA	100
gene-EI97DRAFT_471449	PF12850.13	NA	100
gene-EI97DRAFT_388542	PF00185.31,PF02729.27	GO:0006520,GO:0016597,GO:0016743	8
gene-EI97DRAFT_490806	PF22786.3,PF26150.1,PF26153.1,PF26174.1	NA	100
gene-EI97DRAFT_2588	PF10309.16	GO:0000340,GO:0003729	4
gene-EI97DRAFT_367630	PF00171.28	GO:0016491	8
gene-EI97DRAFT_408717	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-EI97DRAFT_428709		NA	100
gene-EI97DRAFT_428710	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-EI97DRAFT_490811	PF01842.32,PF10369.16,PF22629.3	NA	100
gene-EI97DRAFT_364082	PF00013.36,PF22675.3,PF23469.2	GO:0003723	4
gene-EI97DRAFT_388561	PF00330.26,PF00694.26	NA	100
gene-EI97DRAFT_366967	PF04884.21,PF24160.2	NA	100
gene-EI97DRAFT_3251		NA	100
gene-EI97DRAFT_366656	PF00615.25	NA	100
gene-EI97DRAFT_438096		NA	100
gene-EI97DRAFT_428721	PF00560.40,PF10428.15,PF10428.15,PF13855.13,PF13855.13,PF23598.2	GO:0005515	100
gene-EI97DRAFT_388573	PF00890.31,PF01266.31,PF16901.11	NA	100
gene-EI97DRAFT_388574	PF09359.16	NA	100
gene-EI97DRAFT_3381		NA	100
gene-EI97DRAFT_408744	PF07690.22	GO:0022857,GO:0055085	6
gene-EI97DRAFT_346432		NA	100
gene-EI97DRAFT_428727	PF00141.29	GO:0004601,GO:0006979,GO:0020037	3
gene-EI97DRAFT_3592		NA	100
gene-EI97DRAFT_3650		NA	100
gene-EI97DRAFT_408755	PF00462.31	NA	100
gene-EI97DRAFT_471511		NA	100
gene-EI97DRAFT_3659		NA	100
gene-EI97DRAFT_366613	PF03372.30	GO:0003824	8
gene-EI97DRAFT_3696	PF00326.28	GO:0006508,GO:0008236	5
gene-EI97DRAFT_428736	PF00168.37,PF00168.37,PF00168.37,PF00168.37,PF00168.37,PF24920.2,PF25669.2	NA	100
gene-EI97DRAFT_428737	PF24355.2	NA	100
gene-EI97DRAFT_428738	PF02152.24,PF02152.24	GO:0004150,GO:0006760	8
gene-EI97DRAFT_428739	PF01704.25	GO:0070569	8
gene-EI97DRAFT_4026		NA	100
gene-EI97DRAFT_453900	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-EI97DRAFT_368449	PF20684.4	NA	100
gene-EI97DRAFT_366092	PF00782.26,PF22785.2	GO:0016311	8
gene-EI97DRAFT_453903	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-EI97DRAFT_3991		NA	100
gene-EI97DRAFT_446871	PF09362.16	NA	100
gene-EI97DRAFT_4288		NA	100
gene-EI97DRAFT_4290	PF09362.16	NA	100
