gene_id	pfam_ids	go_ids	bin_id
gene-EX30DRAFT_336970	PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-EX30DRAFT_64		NA	100
gene-EX30DRAFT_356743	PF00443.36,PF00929.32,PF13423.13,PF20770.3	GO:0004843,GO:0016579	8
gene-EX30DRAFT_336972	PF00175.27,PF00667.27,PF01558.26	GO:0016491,GO:0016903	8
gene-EX30DRAFT_131	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF19055.7,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
gene-EX30DRAFT_336973		NA	100
gene-EX30DRAFT_360504		NA	100
gene-EX30DRAFT_313029	PF00415.25,PF00415.25,PF13540.13	NA	100
gene-EX30DRAFT_367616		NA	100
gene-EX30DRAFT_345170		NA	100
gene-EX30DRAFT_391905		NA	100
gene-EX30DRAFT_t17		NA	100
gene-EX30DRAFT_391906	PF00632.31,PF00632.31,PF16558.11	GO:0004842	5
gene-EX30DRAFT_301208	PF04488.22	NA	100
gene-EX30DRAFT_t1		NA	100
gene-EX30DRAFT_391908	PF00132.31,PF00483.30,PF25087.2	GO:0009058	8
gene-EX30DRAFT_313040	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
gene-EX30DRAFT_332	PF06333.18,PF11597.14,PF18296.7	GO:0003712,GO:0006357,GO:0016592	100
gene-EX30DRAFT_336981		NA	100
gene-EX30DRAFT_352885	PF10017.16,PF12867.13	NA	100
gene-EX30DRAFT_375886		NA	100
gene-EX30DRAFT_502		NA	100
gene-EX30DRAFT_495		NA	100
gene-EX30DRAFT_352886	PF00168.37,PF00387.26,PF00388.26	GO:0004435,GO:0006629,GO:0007165,GO:0035556	3
gene-EX30DRAFT_313048	PF09742.15,PF12722.13,PF12722.13	NA	100
gene-EX30DRAFT_375896	PF07542.17	GO:0043461	100
gene-EX30DRAFT_567		NA	100
gene-EX30DRAFT_300272	PF01513.27,PF20143.5	GO:0006741	8
gene-EX30DRAFT_367631	PF20684.4	NA	100
gene-EX30DRAFT_587		NA	100
gene-EX30DRAFT_391919	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-EX30DRAFT_325109	PF01417.27,PF07651.23	GO:0005543	100
gene-EX30DRAFT_296695	PF00782.26	GO:0016311	8
gene-EX30DRAFT_670		NA	100
gene-EX30DRAFT_336993	PF00389.37,PF02826.26,PF02826.26	GO:0016616,GO:0051287	8
gene-EX30DRAFT_691		NA	100
gene-EX30DRAFT_336994		NA	100
gene-EX30DRAFT_301825	PF01592.22	GO:0005506,GO:0016226,GO:0051536	100
gene-EX30DRAFT_391924	PF01399.34,PF22788.3	NA	100
gene-EX30DRAFT_336998	PF00171.28	GO:0016491	8
gene-EX30DRAFT_337000	PF00642.31,PF16543.11	GO:0046872	100
gene-EX30DRAFT_325126	PF04969.23	NA	100
gene-EX30DRAFT_337002		NA	100
gene-EX30DRAFT_375918		NA	100
gene-EX30DRAFT_302065	PF00696.34,PF01842.32,PF13840.13,PF22468.3	NA	100
gene-EX30DRAFT_300211	PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
gene-EX30DRAFT_337006	PF00675.26,PF05193.27	NA	100
gene-EX30DRAFT_302171	PF01532.27	GO:0004571,GO:0005509,GO:0016020	8
gene-EX30DRAFT_391933	PF00076.29,PF10443.16,PF10443.16	GO:0003723	4
gene-EX30DRAFT_325142		NA	100
gene-EX30DRAFT_313095	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-EX30DRAFT_367650	PF00076.29,PF00806.26,PF00806.26	GO:0003723	4
gene-EX30DRAFT_1139	PF24808.2	NA	100
gene-EX30DRAFT_337013	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-EX30DRAFT_337014		NA	100
gene-EX30DRAFT_337015	PF00213.24	GO:0015986,GO:0046933	6
gene-EX30DRAFT_1244	PF13373.12	NA	100
gene-EX30DRAFT_360543	PF01000.32,PF01193.30	GO:0003899,GO:0006351,GO:0046983	8
gene-EX30DRAFT_375938		NA	100
gene-EX30DRAFT_337020		NA	100
gene-EX30DRAFT_337022		NA	100
gene-EX30DRAFT_300484	PF00085.27,PF00578.28,PF13098.14,PF14595.13	GO:0016209,GO:0016491	8
gene-EX30DRAFT_391945	PF08590.16,PF26286.1	NA	100
gene-EX30DRAFT_1369	PF07575.20	NA	100
gene-EX30DRAFT_391947	PF01066.27	GO:0008654,GO:0016020,GO:0016780	8
gene-EX30DRAFT_360549		NA	100
gene-EX30DRAFT_391949		NA	100
gene-EX30DRAFT_360551		NA	100
gene-EX30DRAFT_337030		NA	100
gene-EX30DRAFT_391952	PF00454.34	NA	100
gene-EX30DRAFT_337031	PF00156.34,PF13793.13,PF14572.13	GO:0000287,GO:0009165	8
gene-EX30DRAFT_t16		NA	100
gene-EX30DRAFT_337033	PF06027.19,PF08627.17	GO:0016020,GO:0022857,GO:0055085	6
gene-EX30DRAFT_391956		NA	100
gene-EX30DRAFT_t2		NA	100
gene-EX30DRAFT_367673	PF00117.35,PF00185.31,PF00988.29,PF02142.28,PF02222.28,PF02729.27,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF07478.19,PF25596.2,PF25596.2	GO:0005524,GO:0006520,GO:0008716,GO:0016597,GO:0016743	8
gene-EX30DRAFT_300811	PF01786.25	GO:0009916	8
gene-EX30DRAFT_337037	PF00010.32,PF23181.1	GO:0046983	100
gene-EX30DRAFT_337038	PF00682.26,PF08502.16,PF22615.2	GO:0003824,GO:0003852,GO:0009098	8
gene-EX30DRAFT_337039	PF07544.19	GO:0003712,GO:0006357,GO:0016592	100
gene-EX30DRAFT_1720		NA	100
gene-EX30DRAFT_367678		NA	100
gene-EX30DRAFT_391962		NA	100
gene-EX30DRAFT_360563		NA	100
gene-EX30DRAFT_367681	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-EX30DRAFT_352914		NA	100
gene-EX30DRAFT_1817		NA	100
gene-EX30DRAFT_360565	PF12757.13	NA	100
gene-EX30DRAFT_t15		NA	100
gene-EX30DRAFT_301053	PF00307.37,PF00612.34,PF00612.34,PF00612.34,PF00612.34,PF00612.34,PF00616.25,PF03836.22,PF29130.1	GO:0005515,GO:0043087	100
gene-EX30DRAFT_375976	PF00176.30,PF00270.36,PF00271.38,PF04851.22,PF11496.15	GO:0003676,GO:0003677,GO:0005524,GO:0016787,GO:0070823	4
gene-EX30DRAFT_391968	PF03127.20	GO:0035091,GO:0043130	100
gene-EX30DRAFT_301134	PF01214.24	GO:0005956,GO:0019887	100
gene-EX30DRAFT_337045	PF08611.16	NA	100
gene-EX30DRAFT_300763	PF05724.18	GO:0008757	8
gene-EX30DRAFT_313159	PF04193.20,PF04193.20	NA	100
gene-EX30DRAFT_1941		NA	100
gene-EX30DRAFT_345245	PF10294.16	NA	100
gene-EX30DRAFT_345246	PF07904.19	GO:0005634,GO:0006355,GO:0043189	100
gene-EX30DRAFT_1963	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08232.18	GO:0005515	100
gene-EX30DRAFT_360575	PF27829.1	GO:0008168	8
gene-EX30DRAFT_367695	PF00170.27	GO:0003700,GO:0006355	3
gene-EX30DRAFT_360577	PF07814.19	NA	100
gene-EX30DRAFT_360578	PF14681.13	NA	100
gene-EX30DRAFT_345252	PF08648.18	GO:0008380	8
gene-EX30DRAFT_325218	PF10247.15	NA	100
gene-EX30DRAFT_2142	PF06428.17,PF25555.3	NA	100
gene-EX30DRAFT_2177	PF01182.27	GO:0005975	8
gene-EX30DRAFT_352940	PF01545.27	NA	100
gene-EX30DRAFT_360583		NA	100
gene-EX30DRAFT_2221		NA	100
gene-EX30DRAFT_2244	PF00580.28,PF00580.28,PF13245.13,PF13361.13,PF13401.13	GO:0005524,GO:0016787,GO:0016887	8
gene-EX30DRAFT_391987		NA	100
gene-EX30DRAFT_391988		NA	100
gene-EX30DRAFT_300558	PF11262.14,PF11732.14,PF16134.11	NA	100
gene-EX30DRAFT_337061	PF04191.19,PF04191.19	NA	100
gene-EX30DRAFT_337062		NA	100
gene-EX30DRAFT_337063	PF11204.14	NA	100
gene-EX30DRAFT_2347	PF00176.30,PF00271.38,PF02985.29,PF12054.14	GO:0005515,GO:0005524	100
gene-EX30DRAFT_391993	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-EX30DRAFT_300376	PF01105.30	NA	100
gene-EX30DRAFT_337067	PF12898.14	NA	100
gene-EX30DRAFT_2488		NA	100
gene-EX30DRAFT_337068	PF05328.18	NA	100
gene-EX30DRAFT_t3		NA	100
gene-EX30DRAFT_367716		NA	100
gene-EX30DRAFT_301431	PF00112.30,PF03051.22	GO:0006508,GO:0008234,GO:0070005	5
gene-EX30DRAFT_337073	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-EX30DRAFT_296842		NA	100
gene-EX30DRAFT_313211	PF00245.26,PF01676.24	GO:0003824,GO:0016791,GO:0046872	8
gene-EX30DRAFT_392002	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-EX30DRAFT_2790		NA	100
gene-EX30DRAFT_2767		NA	100
gene-EX30DRAFT_367723		NA	100
gene-EX30DRAFT_367724		NA	100
gene-EX30DRAFT_356803	PF00561.27	NA	100
gene-EX30DRAFT_337079	PF11443.14,PF25043.1	NA	100
gene-EX30DRAFT_376035		NA	100
gene-EX30DRAFT_337080	PF02229.23	GO:0003677,GO:0006355	4
gene-EX30DRAFT_3008		NA	100
gene-EX30DRAFT_3141	PF00383.30,PF14437.13	NA	100
