protein_id	length
GML000001_mRNA1	612
GML000101_mRNA1	346
GML000201_mRNA1	1354
GML000301_mRNA1	1380
GML000401_mRNA1	406
GML000501_mRNA1	393
GML000601_mRNA1	208
GML000701_mRNA1	409
GML000801_mRNA1	249
GML000901_mRNA1	504
GML001001_mRNA1	258
GML001101_mRNA1	35
GML001201_mRNA1	689
GML001301_mRNA1	253
GML001401_mRNA1	69
GML001501_mRNA1	1080
GML001601_mRNA1	796
GML001701_mRNA1	672
GML001801_mRNA1	371
GML001901_mRNA1	1423
GML002001_mRNA1	228
GML002101_mRNA1	208
GML002201_mRNA1	518
GML002301_mRNA1	888
GML002402_mRNA1	426
GML002501_mRNA1	340
GML002601_mRNA1	154
GML002701_mRNA1	485
GML002801_mRNA1	632
GML002901_mRNA1	346
GML003001_mRNA1	229
GML003101_mRNA1	982
GML003201_mRNA1	943
GML003301_mRNA1	598
GML003401_mRNA1	378
GML003501_mRNA1	472
GML003601_mRNA1	662
GML003701_mRNA1	95
GML003801_mRNA1	226
GML003901_mRNA1	182
GML004001_mRNA1	264
GML004101_mRNA1	316
GML004201_mRNA1	546
GML004301_mRNA1	149
GML004401_mRNA1	833
GML004501_mRNA1	161
GML004601_mRNA1	628
GML004701_mRNA1	140
GML004801_mRNA1	371
GML004901_mRNA1	572
GML005001_mRNA1	396
GML005101_mRNA1	495
GML005201_mRNA1	606
GML005301_mRNA1	471
GML005401_mRNA1	383
GML005501_mRNA1	285
GML005601_mRNA1	529
GML005701_mRNA1	621
GML005801_mRNA1	353
GML005901_mRNA1	268
GML006001_mRNA1	104
GML006101_mRNA1	312
GML006201_mRNA1	697
GML006301_mRNA1	341
GML006401_mRNA1	123
GML006501_mRNA1	521
GML006601_mRNA1	194
GML006701_mRNA1	458
GML006801_mRNA1	304
GML006901_mRNA1	1032
GML007001_mRNA1	276
GML007101_mRNA1	669
GML007201_mRNA1	182
GML007301_mRNA1	625
GML007401_mRNA1	128
GML007501_mRNA1	472
GML007601_mRNA1	239
GML007701_mRNA1	801
GML007801_mRNA1	452
GML007901_mRNA1	806
GML008001_mRNA1	1331
GML008102_mRNA1	479
GML008201_mRNA1	1291
GML008301_mRNA1	160
GML008401_mRNA1	213
GML008501_mRNA1	142
GML008601_mRNA1	829
GML008701_mRNA1	338
GML008801_mRNA1	245
GML008901_mRNA1	233
GML009001_mRNA1	244
GML009101_mRNA1	807
GML009201_mRNA1	156
GML009301_mRNA1	295
GML009401_mRNA1	444
GML009501_mRNA1	1147
GML009601_mRNA1	292
GML009701_mRNA1	300
GML009801_mRNA1	164
GML009901_mRNA1	528
GML010001_mRNA1	511
GML010101_mRNA1	101
GML010201_mRNA1	525
GML010301_mRNA1	407
GML010401_mRNA1	366
GML010501_mRNA1	313
GML010601_mRNA1	346
GML010701_mRNA1	249
GML010801_mRNA1	330
GML010901_mRNA1	254
GML011001_mRNA1	809
GML011101_mRNA1	296
GML011201_mRNA1	456
GML011301_mRNA1	2562
GML011401_mRNA1	690
GML011501_mRNA1	123
GML011601_mRNA1	810
GML011701_mRNA1	597
GML011801_mRNA1	256
GML011901_mRNA1	199
GML012001_mRNA1	390
GML012101_mRNA1	507
GML012201_mRNA1	150
GML012301_mRNA1	485
GML012401_mRNA1	2562
GML012501_mRNA1	624
GML012601_mRNA1	248
GML012701_mRNA1	1016
GML012801_mRNA1	210
GML012901_mRNA1	695
GML013001_mRNA1	744
GML013101_mRNA1	464
GML013201_mRNA1	958
GML013301_mRNA1	260
GML013401_mRNA1	532
GML013501_mRNA1	200
GML013601_mRNA1	625
GML013701_mRNA1	358
GML013801_mRNA1	333
GML013901_mRNA1	233
GML014001_mRNA1	157
