gene_id	pfam_ids	go_ids	bin_id
gene-BCR39DRAFT_584943	PF07690.22	GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508657	PF04685.20,PF17389.9,PF17390.8	GO:0004553	8
gene-BCR39DRAFT_508659	PF07690.22	GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508662	PF00933.28,PF01915.28,PF07691.18,PF14310.13	GO:0004553,GO:0005975	8
gene-BCR39DRAFT_508667	PF00857.27	NA	100
gene-BCR39DRAFT_475131	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_210	PF05721.20	NA	100
gene-BCR39DRAFT_508673	PF07883.18	NA	100
gene-BCR39DRAFT_488933	PF00326.28,PF07859.20,PF20434.6	GO:0006508,GO:0008236,GO:0016787	5
gene-BCR39DRAFT_508696	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-BCR39DRAFT_508716	PF01494.26,PF07976.20	GO:0071949	100
gene-BCR39DRAFT_461226	PF00890.31,PF01266.31,PF01494.26,PF05834.19,PF13450.13	GO:0071949	100
gene-BCR39DRAFT_508718	PF00171.28	GO:0016491	8
gene-BCR39DRAFT_508722	PF01494.26	GO:0071949	100
gene-BCR39DRAFT_508725		NA	100
gene-BCR39DRAFT_508727	PF07366.19,PF12680.14	GO:0030638	2
gene-BCR39DRAFT_555472	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508731	PF00128.32	GO:0005975	8
gene-BCR39DRAFT_508736	PF01433.27,PF11838.15,PF17900.7	GO:0008237,GO:0008270	8
gene-BCR39DRAFT_508741	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-BCR39DRAFT_461485	PF07690.22	GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508754	PF01266.31	NA	100
gene-BCR39DRAFT_508757	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508759		NA	100
gene-BCR39DRAFT_461162	PF11735.14	NA	100
gene-BCR39DRAFT_461596	PF01266.31	NA	100
gene-BCR39DRAFT_508784	PF00450.29	GO:0004185,GO:0006508	5
gene-BCR39DRAFT_508787		NA	100
gene-BCR39DRAFT_591866	PF05721.20	NA	100
gene-BCR39DRAFT_596085		NA	100
gene-BCR39DRAFT_508795	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_567442	PF00400.39,PF00400.39,PF00400.39,PF23798.2,PF23798.2	GO:0005515	100
gene-BCR39DRAFT_502652	PF01813.23	GO:0046961	6
gene-BCR39DRAFT_1310		NA	100
gene-BCR39DRAFT_508811	PF02705.23,PF22776.1	NA	100
gene-BCR39DRAFT_1330	PF02705.23	NA	100
gene-BCR39DRAFT_508846		NA	100
gene-BCR39DRAFT_488981	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-BCR39DRAFT_508851	PF09420.16	NA	100
gene-BCR39DRAFT_555494		NA	100
gene-BCR39DRAFT_555495	PF03311.20	GO:0016192	6
gene-BCR39DRAFT_508876	PF00566.26,PF23436.2	NA	100
gene-BCR39DRAFT_508879	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-BCR39DRAFT_2077	PF00083.31,PF03209.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508885	PF02668.23	GO:0016491	8
gene-BCR39DRAFT_508887	PF12903.13	NA	100
gene-BCR39DRAFT_584987	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-BCR39DRAFT_508892	PF00701.29	GO:0016829	8
gene-BCR39DRAFT_508895	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-BCR39DRAFT_508897	PF01979.27,PF07969.18	GO:0016787	8
gene-BCR39DRAFT_2214	PF24798.3	NA	100
gene-BCR39DRAFT_563001	PF07250.18,PF09118.18	NA	100
gene-BCR39DRAFT_508926	PF01593.31,PF13450.13	GO:0016491	8
gene-BCR39DRAFT_508937	PF00400.39,PF00400.39,PF01546.34,PF07687.20	GO:0005515,GO:0016787	8
gene-BCR39DRAFT_508953	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08581.16,PF12894.14	GO:0005515	100
gene-BCR39DRAFT_508962	PF07719.24,PF12895.14,PF12895.14,PF13181.13,PF13181.13,PF13424.13,PF13432.13,PF13432.13	GO:0005515	100
gene-BCR39DRAFT_508969	PF00568.30,PF00786.34,PF02205.27	GO:0003779	7
gene-BCR39DRAFT_t1		NA	100
gene-BCR39DRAFT_460784		NA	100
gene-BCR39DRAFT_3332	PF00018.35,PF00397.33,PF00617.25,PF00618.26,PF07653.24,PF14604.13	GO:0005085,GO:0005515,GO:0007264	3
gene-BCR39DRAFT_502671	PF00069.32,PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-BCR39DRAFT_3427		NA	100
