gene_id	pfam_ids	go_ids	bin_id
gene-K461DRAFT_298538	PF03583.21	GO:0004806,GO:0016042	8
gene-K461DRAFT_234150	PF26113.1	NA	100
gene-K461DRAFT_288941	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K461DRAFT_283517	PF00107.33,PF00109.33,PF00698.27,PF01209.25,PF02801.29,PF08241.19,PF08242.19,PF08659.17,PF13489.13,PF13602.13,PF13649.13,PF13847.13,PF14765.13,PF21089.4	GO:0008757	8
gene-K461DRAFT_308843	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-K461DRAFT_308844	PF05368.20	NA	100
gene-K461DRAFT_316782	PF01738.25	GO:0016787	8
gene-K461DRAFT_220552	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-K461DRAFT_283520	PF00701.29	GO:0016829	8
gene-K461DRAFT_316783	PF00478.32,PF01070.25,PF01645.24	GO:0003824,GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
gene-K461DRAFT_316784	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-K461DRAFT_100		NA	100
gene-K461DRAFT_263588	PF00561.27	NA	100
gene-K461DRAFT_316786	PF20684.4	NA	100
gene-K461DRAFT_316787	PF00704.35	GO:0005975	8
gene-K461DRAFT_308850	PF13668.13	NA	100
gene-K461DRAFT_288955		NA	100
gene-K461DRAFT_316789	PF00082.28,PF05922.22	GO:0006508,GO:0008236	5
gene-K461DRAFT_234165	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-K461DRAFT_288958	PF20684.4	NA	100
gene-K461DRAFT_288959	PF20684.4	NA	100
gene-K461DRAFT_288960	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-K461DRAFT_218942	PF07350.20	NA	100
gene-K461DRAFT_218936	PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF01749.27,PF02985.29,PF13513.13,PF13646.13,PF16186.12	GO:0005515,GO:0006606,GO:0061608	6
gene-K461DRAFT_288963	PF02765.25,PF16686.12	GO:0000723,GO:0000781,GO:0003677,GO:0043047	4
gene-K461DRAFT_234171	PF13621.13	NA	100
gene-K461DRAFT_248937		NA	100
gene-K461DRAFT_263600	PF00170.27,PF07716.21	GO:0003700,GO:0006355	3
gene-K461DRAFT_213344	PF08538.17,PF12697.14	NA	100
gene-K461DRAFT_305		NA	100
gene-K461DRAFT_272617	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K461DRAFT_263604	PF05291.17	NA	100
gene-K461DRAFT_219279		NA	100
gene-K461DRAFT_288972	PF00753.34,PF16123.12	NA	100
gene-K461DRAFT_272621	PF00749.28	GO:0004812,GO:0005524,GO:0043039	8
gene-K461DRAFT_220292	PF00888.30,PF10557.16,PF26557.1	GO:0006511,GO:0031625	8
gene-K461DRAFT_288975	PF05486.18	NA	100
gene-K461DRAFT_272622	PF07000.18	NA	100
gene-K461DRAFT_316808	PF08661.18	GO:0003677,GO:0005634,GO:0006260,GO:0006281,GO:0006310	3
gene-K461DRAFT_316809	PF26147.1	NA	100
gene-K461DRAFT_316810	PF27522.2,PF27522.2	NA	100
gene-K461DRAFT_325349	PF01728.26,PF07780.18,PF11861.14	GO:0005634,GO:0006364,GO:0008168,GO:0032259	8
gene-K461DRAFT_263612	PF00533.34	NA	100
gene-K461DRAFT_308871	PF01822.25,PF09362.16,PF14295.13,PF14295.13,PF14295.13,PF14295.13	NA	100
gene-K461DRAFT_219765	PF00097.32,PF11145.15,PF11145.15,PF13639.13	GO:0046872	100
gene-K461DRAFT_288985	PF15377.12	NA	100
gene-K461DRAFT_272628	PF01793.24	GO:0000030,GO:0009101,GO:0016020	8
gene-K461DRAFT_272629		NA	100
gene-K461DRAFT_220798	PF00638.25,PF03366.23,PF17035.11,PF20305.5	GO:0046907	6
gene-K461DRAFT_272635	PF25823.2	NA	100
gene-K461DRAFT_283544	PF01423.29	NA	100
gene-K461DRAFT_288992	PF02733.23,PF02734.23	GO:0004371,GO:0006071	3
gene-K461DRAFT_263624		NA	100
gene-K461DRAFT_288994		NA	100
gene-K461DRAFT_1004		NA	100
gene-K461DRAFT_219666	PF00076.29,PF00076.29,PF00076.29,PF13893.13	GO:0003723	4
gene-K461DRAFT_308883	PF00350.30	NA	100
gene-K461DRAFT_263628	PF03357.27	GO:0007034	6
gene-K461DRAFT_1128		NA	100
gene-K461DRAFT_1095		NA	100
gene-K461DRAFT_220371	PF00481.27,PF00481.27	NA	100
gene-K461DRAFT_218396	PF00571.34,PF00571.34,PF00571.34	NA	100
gene-K461DRAFT_1099		NA	100
gene-K461DRAFT_218841	PF00892.27,PF06027.19,PF13127.12	GO:0016020,GO:0022857,GO:0055085	6
gene-K461DRAFT_272647	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
gene-K461DRAFT_263633	PF03853.22,PF09532.16	NA	100
gene-K461DRAFT_298646	PF01975.24	GO:0016787	8
gene-K461DRAFT_218643	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-K461DRAFT_316833	PF00134.29,PF02984.25	NA	100
gene-K461DRAFT_1309		NA	100
gene-K461DRAFT_1310		NA	100
gene-K461DRAFT_1334		NA	100
gene-K461DRAFT_272663	PF01841.26	NA	100
gene-K461DRAFT_218697		NA	100
gene-K461DRAFT_289010	PF12921.13	NA	100
gene-K461DRAFT_1361		NA	100
gene-K461DRAFT_209005	PF01753.25	NA	100
gene-K461DRAFT_298658		NA	100
gene-K461DRAFT_263645		NA	100
gene-K461DRAFT_249025		NA	100
gene-K461DRAFT_1415	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-K461DRAFT_316843	PF04616.21	GO:0004553,GO:0005975	8
gene-K461DRAFT_325370	PF02560.20	GO:0009440	8
gene-K461DRAFT_1427		NA	100
gene-K461DRAFT_272678		NA	100
gene-K461DRAFT_220256	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-K461DRAFT_234276	PF00268.28	GO:0009263	8
gene-K461DRAFT_283565	PF08568.17	NA	100
gene-K461DRAFT_220082	PF00107.33,PF08240.18	NA	100
gene-K461DRAFT_272685	PF12271.15	NA	100
gene-K461DRAFT_1554	PF24841.2	NA	100
gene-K461DRAFT_220021	PF02585.23	NA	100
gene-K461DRAFT_283569	PF00400.39,PF00400.39,PF00400.39,PF12265.15,PF12894.14,PF23098.2	GO:0005515	100
gene-K461DRAFT_218712	PF00025.28,PF00071.29,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
gene-K461DRAFT_272692	PF00339.35	NA	100
gene-K461DRAFT_325379	PF00327.26,PF08079.18	NA	100
gene-K461DRAFT_289031	PF04157.23	NA	100
gene-K461DRAFT_263663		NA	100
gene-K461DRAFT_272695	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K461DRAFT_1617		NA	100
gene-K461DRAFT_1783		NA	100
gene-K461DRAFT_218987	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K461DRAFT_325383	PF12519.15,PF12519.15	GO:0007005,GO:0032865	100
gene-K461DRAFT_289034		NA	100
gene-K461DRAFT_272700	PF00466.26,PF17777.7	NA	100
gene-K461DRAFT_308921	PF01655.24	GO:0003735,GO:0005840,GO:0006412	4
gene-K461DRAFT_272703	PF00443.36,PF13423.13	GO:0004843,GO:0016579	8
gene-K461DRAFT_272704	PF09135.17	NA	100
gene-K461DRAFT_272706	PF10334.17,PF10337.16,PF13515.13	NA	100
gene-K461DRAFT_272707		NA	100
gene-K461DRAFT_219595	PF01794.26,PF08022.19	GO:0016491	8
gene-K461DRAFT_1897		NA	100
gene-K461DRAFT_218732	PF00743.26,PF07992.21,PF13450.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene-K461DRAFT_289045		NA	100
gene-K461DRAFT_272712	PF01423.29	NA	100
gene-K461DRAFT_289047	PF09419.17,PF13242.13	GO:0008962	8
gene-K461DRAFT_234334		NA	100
gene-K461DRAFT_289049		NA	100
gene-K461DRAFT_1968	PF05132.20	GO:0003677,GO:0005666,GO:0006383	4
