gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-QBC40DRAFT_270453	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270453		None	None
gene-QBC40DRAFT_248745	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248745		None	None
gene-QBC40DRAFT_248746	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248746		None	None
gene-QBC40DRAFT_291615	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291615		None	None
gene-QBC40DRAFT_291616	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291616		None	None
gene-QBC40DRAFT_248749	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248749		None	None
gene-QBC40DRAFT_248750	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248750		None	None
gene-QBC40DRAFT_248752	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248752		None	None
gene-QBC40DRAFT_248753	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248753		None	None
gene-QBC40DRAFT_291621	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291621		None	None
gene-QBC40DRAFT_291622	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291622	PF12796.14,PF12796.14,PF24883.3	Complete	None
gene-QBC40DRAFT_291623	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291623		None	None
gene-QBC40DRAFT_291624	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291624		None	None
gene-QBC40DRAFT_291625	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291625		None	None
gene-QBC40DRAFT_270456	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270456	PF00044.31,PF02800.27	Partial	None
gene-QBC40DRAFT_344410	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344410		None	None
gene-QBC40DRAFT_61	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA61	PF00850.25,PF09757.16	Complete	None
gene-QBC40DRAFT_270468	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270468		None	None
gene-QBC40DRAFT_270472	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270472	PF04427.24	Partial	None
gene-QBC40DRAFT_270474	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270474	PF00025.28,PF00071.29,PF01926.30,PF08477.20	Partial	None
gene-QBC40DRAFT_120	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA120		None	None
gene-QBC40DRAFT_344415	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344415		None	None
gene-QBC40DRAFT_270480	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270480	PF01981.22	Partial	None
gene-QBC40DRAFT_270482	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270482	PF00400.39,PF08149.17	Complete	None
gene-QBC40DRAFT_139	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA139	PF04950.19,PF08142.19,PF22298.3	Complete	None
gene-QBC40DRAFT_311825	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311825	PF01965.31	Partial	None
gene-QBC40DRAFT_189324	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA189324	PF02492.26	Partial	None
gene-QBC40DRAFT_311828	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311828	PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26	Complete	None
gene-QBC40DRAFT_270488	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270488	PF08293.17	Partial	None
gene-QBC40DRAFT_311838	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311838	PF00636.32,PF14622.12	Partial	None
gene-QBC40DRAFT_260511	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260511	PF00887.25	Partial	None
gene-QBC40DRAFT_260512	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260512	PF17733.8,PF25871.1	Complete	None
gene-QBC40DRAFT_175	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA175	PF00481.27	Partial	None
gene-QBC40DRAFT_344426	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344426	PF21762.4	Partial	None
gene-QBC40DRAFT_291646	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291646		None	None
gene-QBC40DRAFT_248785	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248785		None	None
gene-QBC40DRAFT_270502	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270502	PF00111.33,PF00384.28,PF09326.17,PF10588.15,PF13510.12,PF22117.3,PF22151.3	Complete	None
gene-QBC40DRAFT_217	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA217		None	None
gene-QBC40DRAFT_270506	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270506	PF03343.19	Partial	None
gene-QBC40DRAFT_161819	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA161819	PF00686.26,PF00723.28	Complete	None
gene-QBC40DRAFT_248790	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248790		None	None
gene-QBC40DRAFT_291652	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291652	PF22980.3	Partial	None
gene-QBC40DRAFT_270517	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270517	PF00118.30	Partial	None
gene-QBC40DRAFT_270525	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270525	PF00241.26	Partial	None
gene-QBC40DRAFT_270527	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270527	PF12754.14,PF17183.10	Complete	None
gene-QBC40DRAFT_421	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA421	PF30667.1	Partial	None
gene-QBC40DRAFT_448	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA448		None	None
gene-QBC40DRAFT_270537	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270537	PF02696.20	Partial	None
gene-QBC40DRAFT_214514	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA214514	PF00248.28	Partial	None
gene-QBC40DRAFT_248799	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248799		None	None
gene-QBC40DRAFT_248800	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248800		None	None
gene-QBC40DRAFT_248801	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248801		None	None
gene-QBC40DRAFT_248802	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248802		None	None
gene-QBC40DRAFT_270545	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270545		None	None
gene-QBC40DRAFT_291662	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291662	PF22980.3	Partial	None
gene-QBC40DRAFT_311888	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311888		None	None
gene-QBC40DRAFT_538	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA538		None	None
gene-QBC40DRAFT_545	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA545		None	None
gene-QBC40DRAFT_270558	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270558	PF00004.36,PF03796.22,PF06068.20,PF17856.8	Complete	None
gene-QBC40DRAFT_311893	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311893	PF02213.22	Complete	None
gene-QBC40DRAFT_189373	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA189373	PF03152.22,PF24842.2	Partial	None
gene-QBC40DRAFT_573	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA573		None	None
gene-QBC40DRAFT_578	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA578	PF09733.15	Complete	None
gene-QBC40DRAFT_585	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA585	PF00676.26,PF02779.30,PF16078.11,PF16870.11	Complete	None
gene-QBC40DRAFT_260541	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260541	PF03909.23,PF03909.23,PF08567.18	Complete	None
gene-QBC40DRAFT_335970	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA335970	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-QBC40DRAFT_606	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA606	PF00004.36,PF07724.21,PF07728.21,PF10431.16	Complete	None
gene-QBC40DRAFT_291675	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291675	PF00006.32,PF00128.32,PF02806.25,PF02874.30,PF02922.25,PF22919.2	Complete	None
gene-QBC40DRAFT_302565	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA302565	PF00326.28,PF10503.15	Partial	None
gene-QBC40DRAFT_189397	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA189397	PF13191.13,PF14630.13,PF21639.4	Complete	None
gene-QBC40DRAFT_270581	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270581	PF00172.24,PF11951.14	Complete	None
gene-QBC40DRAFT_270583	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270583	PF00892.27,PF03151.23	Complete	None
gene-QBC40DRAFT_270584	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270584	PF04037.19,PF04046.22	Complete	None
gene-QBC40DRAFT_260551	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260551	PF00004.36,PF17862.8	Complete	None
gene-QBC40DRAFT_714	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA714	PF00890.31,PF01266.31,PF16901.11	Complete	None
gene-QBC40DRAFT_723	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA723	PF02936.20	Partial	None
gene-QBC40DRAFT_260554	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260554	PF09462.16	Complete	None
gene-QBC40DRAFT_311930	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311930	PF00615.25	Partial	None
gene-QBC40DRAFT_291687	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291687		None	None
gene-QBC40DRAFT_162163	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA162163	PF02902.26	Complete	None
gene-QBC40DRAFT_311946	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311946	PF02862.23,PF02862.23	Complete	None
gene-QBC40DRAFT_270612	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270612		None	None
gene-QBC40DRAFT_260560	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260560	PF10304.16,PF10363.16	Complete	None
gene-QBC40DRAFT_270617	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270617	PF06733.22,PF06777.18,PF13307.13	Complete	None
gene-QBC40DRAFT_291692	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291692		None	None
gene-QBC40DRAFT_162071	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA162071	PF00096.33,PF00096.33,PF00096.33,PF13894.13	Complete	None
gene-QBC40DRAFT_291695	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291695		None	None
gene-QBC40DRAFT_270630	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270630	PF00623.26,PF04983.24,PF04997.18,PF04998.23,PF05000.23	Complete	None
gene-QBC40DRAFT_270634	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270634	PF06544.19,PF08572.16	Complete	None
gene-QBC40DRAFT_311959	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311959	PF01323.27	Partial	None
gene-QBC40DRAFT_270638	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270638	PF00125.31,PF15715.12	Partial	None
gene-QBC40DRAFT_270639	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270639	PF02969.24,PF15511.13	Partial	None
gene-QBC40DRAFT_940	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA940	PF00083.31,PF07690.22	Partial	None
gene-QBC40DRAFT_987	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA987	PF00324.28,PF13520.13	Partial	None
gene-QBC40DRAFT_969	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA969		None	None
gene-QBC40DRAFT_1007	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1007	PF00275.26,PF01202.29,PF01487.23,PF01761.27,PF08501.17,PF18317.7,PF24621.3	Complete	None
gene-QBC40DRAFT_291707	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA291707		None	None
gene-QBC40DRAFT_1098	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1098		None	None
gene-QBC40DRAFT_311967	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311967	PF00616.25,PF13716.12,PF21877.3	Complete	None
gene-QBC40DRAFT_189459	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA189459	PF03159.25,PF17846.7	Partial	None
gene-QBC40DRAFT_344481	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344481	PF04869.21,PF04871.19	Complete	None
gene-QBC40DRAFT_311970	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311970		None	None
gene-QBC40DRAFT_1176	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1176	PF13499.13,PF27909.1,PF30624.1	Complete	None
gene-QBC40DRAFT_311982	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA311982	PF00096.33,PF00096.33	Complete	None
gene-QBC40DRAFT_260581	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260581	PF00270.36,PF00271.38,PF04851.22,PF13959.12,PF23681.2	Complete	None
gene-QBC40DRAFT_1312	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1312		None	None
gene-QBC40DRAFT_302597	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA302597		None	None
gene-QBC40DRAFT_248857	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA248857	PF10241.15	Partial	None
gene-QBC40DRAFT_270692	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270692		None	None
gene-QBC40DRAFT_1327	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1327		None	None
gene-QBC40DRAFT_260586	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260586	PF10197.15	Partial	None
gene-QBC40DRAFT_214639	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA214639	PF00004.36,PF00004.36,PF02933.24,PF17862.8	Complete	None
gene-QBC40DRAFT_1331	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1331	PF01145.32	Partial	None
gene-QBC40DRAFT_214645	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA214645	PF00544.26	Partial	None
gene-QBC40DRAFT_260590	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260590	PF06813.20,PF07690.22	Partial	None
gene-QBC40DRAFT_344495	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344495	PF04072.21,PF08007.19,PF13418.13,PF13621.13	Complete	None
gene-QBC40DRAFT_270701	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270701	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-QBC40DRAFT_260593	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA260593		None	None
gene-QBC40DRAFT_161797	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA161797		None	None
gene-QBC40DRAFT_1403	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1403		None	None
gene-QBC40DRAFT_344500	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344500	PF01423.29	Partial	None
gene-QBC40DRAFT_336014	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA336014	PF05185.23,PF17285.9,PF17286.8	Complete	None
gene-QBC40DRAFT_270713	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270713	PF00270.36,PF00271.38,PF04408.30,PF07717.23,PF13401.13,PF21010.3	Complete	None
gene-QBC40DRAFT_1453	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA1453		None	None
gene-QBC40DRAFT_312008	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA312008		None	None
gene-QBC40DRAFT_344504	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA344504		None	None
gene-QBC40DRAFT_270722	rna-gnl|WGS:JASWIA|QBC40DRAFT_mRNA270722	PF07690.22,PF07690.22	Partial	None
