gene_id	pfam_ids	go_ids	bin_id
GML000001	PF04000.21,PF09368.16	NA	100
GML000002	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
GML000003	PF00400.39,PF00400.39,PF08145.18	GO:0005515,GO:0006364	8
GML000004	PF07817.20	GO:0005643,GO:0016973	6
GML000005	PF00773.26,PF00773.26,PF17849.8,PF17849.8,PF17877.8,PF17877.8	GO:0003723,GO:0004540	1
GML000006	PF07823.18,PF07823.18,PF07823.18	GO:0004112	8
GML000007		NA	100
GML000008		NA	100
GML000009	PF00488.28,PF05192.24,PF27035.1	GO:0005524,GO:0006298,GO:0030983	3
GML000010	PF00004.36,PF00004.36,PF00004.36,PF00004.36,PF00158.33,PF00158.33,PF07724.21,PF07724.21,PF07728.21,PF07728.21,PF10431.16,PF10431.16,PF17871.8,PF17871.8,PF23569.2,PF23569.2	GO:0005524,GO:0006355,GO:0008134,GO:0016887	8
GML000011	PF00736.25,PF10587.15	GO:0003746,GO:0006414	8
GML000012	PF10270.15	NA	100
GML000013	PF00076.29,PF00076.29,PF00076.29	GO:0003723	4
GML000014	PF00173.34	NA	100
GML000015	PF00491.27	GO:0046872	100
GML000016	PF01266.31,PF01266.31	NA	100
GML000017	PF20415.4	NA	100
GML000018	PF03637.23,PF03637.23	NA	100
GML000019	PF04004.19	GO:0006368,GO:0016593	8
GML000020	PF00179.32,PF00179.32	NA	100
GML000021	PF06140.19	GO:0016020	100
GML000022	PF00332.25,PF29664.1	GO:0004553,GO:0005975	8
GML000023	PF11913.14,PF11913.14,PF11913.14,PF11913.14,PF11913.14	NA	100
GML000024		NA	100
GML000025		NA	100
GML000026	PF01105.30	NA	100
GML000027	PF17648.8	NA	100
GML000028	PF00221.25	NA	100
GML000029	PF11885.14,PF11885.14	NA	100
GML000030	PF00069.32,PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000031	PF00561.27,PF06441.19	NA	100
GML000032	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000033	PF11905.14,PF11905.14	NA	100
GML000034	PF00687.27	NA	100
GML000035	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20,PF09439.17	GO:0003924,GO:0005525	8
GML000036		NA	100
GML000037		NA	100
GML000038	PF01633.27	NA	100
GML000039	PF11578.14	NA	100
GML000040	PF00149.34	GO:0016787	8
GML000041		NA	100
GML000042		NA	100
GML000043	PF26916.1	NA	100
GML000044	PF03061.29	NA	100
GML000045	PF04209.20,PF20510.5	NA	100
GML000046	PF00128.32	GO:0005975	8
GML000047	PF13621.13,PF13621.13	NA	100
GML000048	PF00324.28,PF00324.28,PF00324.28	GO:0016020,GO:0055085	6
GML000049		NA	100
GML000050		NA	100
GML000051	PF01161.27	NA	100
GML000052		NA	100
GML000053	PF02205.27	GO:0003779	7
GML000054	PF26729.1	NA	100
GML000055	PF01694.29	GO:0004252,GO:0016020	8
GML000056	PF14378.13	NA	100
GML000057		NA	100
GML000058	PF00010.32	GO:0046983	100
GML000059	PF19050.6,PF19050.6,PF19050.6	NA	100
GML000060	PF08547.19	NA	100
GML000061		NA	100
GML000062	PF01214.24	GO:0005956,GO:0019887	100
GML000063	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000064	PF01557.24,PF09298.17	GO:0003824,GO:0004334,GO:0009072	8
GML000065	PF04968.18,PF04968.18,PF04969.23	NA	100
GML000066	PF05768.21	NA	100
GML000067	PF03328.21,PF03328.21	GO:0003824	8
GML000068		NA	100
GML000069		NA	100
GML000070		NA	100
GML000071	PF01156.25	GO:0016799	8
