protein_id	length
rna-BDR22DRAFT_mRNA883792	267
rna-BDR22DRAFT_mRNA816368	196
rna-BDR22DRAFT_mRNA941559	680
rna-BDR22DRAFT_mRNA788978	425
rna-BDR22DRAFT_mRNA829059	394
rna-BDR22DRAFT_mRNA884263	286
rna-BDR22DRAFT_mRNA829748	453
rna-BDR22DRAFT_mRNA896184	1525
rna-BDR22DRAFT_mRNA797985	490
rna-BDR22DRAFT_mRNA798019	262
rna-BDR22DRAFT_mRNA798802	1594
rna-BDR22DRAFT_mRNA390647	482
rna-BDR22DRAFT_mRNA959433	108
rna-BDR22DRAFT_mRNA878584	521
rna-BDR22DRAFT_mRNA481143	151
rna-BDR22DRAFT_mRNA799309	541
rna-BDR22DRAFT_mRNA799482	318
rna-BDR22DRAFT_mRNA885386	277
rna-BDR22DRAFT_mRNA885478	145
rna-BDR22DRAFT_mRNA926948	626
rna-BDR22DRAFT_mRNA835858	604
rna-BDR22DRAFT_mRNA836306	397
rna-BDR22DRAFT_mRNA643169	167
rna-BDR22DRAFT_mRNA927534	265
rna-BDR22DRAFT_mRNA656831	345
rna-BDR22DRAFT_mRNA818502	551
rna-BDR22DRAFT_mRNA818581	626
rna-BDR22DRAFT_mRNA838798	149
rna-BDR22DRAFT_mRNA839193	973
rna-BDR22DRAFT_mRNA45037	325
rna-BDR22DRAFT_mRNA902745	557
rna-BDR22DRAFT_mRNA801509	645
rna-BDR22DRAFT_mRNA886785	345
rna-BDR22DRAFT_mRNA819214	202
rna-BDR22DRAFT_mRNA929087	1187
rna-BDR22DRAFT_mRNA841970	326
rna-BDR22DRAFT_mRNA819481	408
rna-BDR22DRAFT_mRNA971116	889
rna-BDR22DRAFT_mRNA803084	1070
rna-BDR22DRAFT_mRNA802982	509
rna-BDR22DRAFT_mRNA844070	598
rna-BDR22DRAFT_mRNA844330	361
rna-BDR22DRAFT_mRNA820014	183
rna-BDR22DRAFT_mRNA820097	254
rna-BDR22DRAFT_mRNA845513	60
rna-BDR22DRAFT_mRNA796187	276
rna-BDR22DRAFT_mRNA154763	85
rna-BDR22DRAFT_mRNA880238	443
rna-BDR22DRAFT_mRNA847308	213
rna-BDR22DRAFT_mRNA847621	2027
rna-BDR22DRAFT_mRNA888486	134
rna-BDR22DRAFT_mRNA888574	1960
rna-BDR22DRAFT_mRNA888667	279
rna-BDR22DRAFT_mRNA888762	133
rna-BDR22DRAFT_mRNA805090	503
rna-BDR22DRAFT_mRNA821135	178
rna-BDR22DRAFT_mRNA805788	1094
rna-BDR22DRAFT_mRNA850563	346
rna-BDR22DRAFT_mRNA821407	431
rna-BDR22DRAFT_mRNA972871	445
rna-BDR22DRAFT_mRNA821578	617
rna-BDR22DRAFT_mRNA805937	329
rna-BDR22DRAFT_mRNA256132	340
rna-BDR22DRAFT_mRNA259805	329
rna-BDR22DRAFT_mRNA806590	785
rna-BDR22DRAFT_mRNA822009	376
rna-BDR22DRAFT_mRNA890006	321
rna-BDR22DRAFT_mRNA854303	193
rna-BDR22DRAFT_mRNA822275	569
rna-BDR22DRAFT_mRNA822363	228
rna-BDR22DRAFT_mRNA890360	239
rna-BDR22DRAFT_mRNA324138	321
rna-BDR22DRAFT_mRNA330971	457
rna-BDR22DRAFT_mRNA337547	379
rna-BDR22DRAFT_mRNA890728	960
rna-BDR22DRAFT_mRNA890817	743
rna-BDR22DRAFT_mRNA808404	545
rna-BDR22DRAFT_mRNA823089	450
rna-BDR22DRAFT_mRNA891103	177
rna-BDR22DRAFT_mRNA858967	249
rna-BDR22DRAFT_mRNA891314	312
rna-BDR22DRAFT_mRNA891407	575
rna-BDR22DRAFT_mRNA823540	669
rna-BDR22DRAFT_mRNA964855	685
rna-BDR22DRAFT_mRNA860785	148
rna-BDR22DRAFT_mRNA861242	356
rna-BDR22DRAFT_mRNA823907	280
rna-BDR22DRAFT_mRNA824000	556
rna-BDR22DRAFT_mRNA862406	187
rna-BDR22DRAFT_mRNA435450	175
rna-BDR22DRAFT_mRNA863018	482
rna-BDR22DRAFT_mRNA454166	266
rna-BDR22DRAFT_mRNA892455	1432
rna-BDR22DRAFT_mRNA864479	714
rna-BDR22DRAFT_mRNA899853	354
rna-BDR22DRAFT_mRNA937040	461
rna-BDR22DRAFT_mRNA865497	516
rna-BDR22DRAFT_mRNA892923	221
rna-BDR22DRAFT_mRNA824981	585
rna-BDR22DRAFT_mRNA893131	249
rna-BDR22DRAFT_mRNA893231	1213
rna-BDR22DRAFT_mRNA867617	59
rna-BDR22DRAFT_mRNA882670	422
rna-BDR22DRAFT_mRNA825429	196
rna-BDR22DRAFT_mRNA868874	291
rna-BDR22DRAFT_mRNA893691	609
rna-BDR22DRAFT_mRNA869543	154
rna-BDR22DRAFT_mRNA813104	327
rna-BDR22DRAFT_mRNA893980	184
rna-BDR22DRAFT_mRNA976853	1279
rna-BDR22DRAFT_mRNA813558	563
rna-BDR22DRAFT_mRNA813675	556
rna-BDR22DRAFT_mRNA813928	939
rna-BDR22DRAFT_mRNA621413	509
rna-BDR22DRAFT_mRNA814117	615
rna-BDR22DRAFT_mRNA826488	340
rna-BDR22DRAFT_mRNA977422	362
rna-BDR22DRAFT_mRNA826660	150
rna-BDR22DRAFT_mRNA679494	242
rna-BDR22DRAFT_mRNA957521	1099
rna-BDR22DRAFT_mRNA875661	220
rna-BDR22DRAFT_mRNA923506	383
rna-BDR22DRAFT_mRNA895327	331
rna-BDR22DRAFT_mRNA791531	250
rna-BDR22DRAFT_mRNA877018	584
rna-BDR22DRAFT_mRNA775807	604
rna-BDR22DRAFT_mRNA941243	368
