gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF00004.36,PF22942.2	GO:0005524,GO:0016887	8
GML000003	PF08662.18,PF31025.1	NA	100
GML000004		NA	100
GML000005	PF02926.23	GO:0003723	4
GML000006	PF01636.30	NA	100
GML000007	PF02845.23	GO:0043130	100
GML000008	PF00338.28	NA	100
GML000009		NA	100
GML000010	PF11807.14	GO:0043386	2
GML000011	PF01490.25,PF01490.25	NA	100
GML000012	PF01388.28	GO:0003677	4
GML000013		NA	100
GML000014		NA	100
GML000015	PF00004.36,PF05673.20,PF07724.21,PF07728.21,PF16450.12	GO:0005524,GO:0016887	8
GML000016	PF01504.25	GO:0046488,GO:0052742	3
GML000017		NA	100
GML000018	PF00538.26	GO:0000786,GO:0003677,GO:0006334	4
GML000019		NA	100
GML000020	PF12157.14,PF12157.14	NA	100
GML000021	PF13934.13	NA	100
GML000022	PF00153.33,PF00153.33,PF00153.33,PF00153.33	NA	100
GML000023	PF00646.39,PF12937.13,PF19270.5	GO:0005515	100
GML000024	PF00118.30	GO:0005524	100
GML000025	PF24864.1	NA	100
GML000026		NA	100
GML000027		NA	100
GML000028	PF22974.2,PF23865.2	NA	100
GML000029	PF30929.1,PF30929.1,PF30929.1	NA	100
GML000030		NA	100
GML000031		NA	100
GML000032	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13857.13,PF13857.13,PF13857.13	GO:0005515	100
GML000033	PF01266.31	NA	100
GML000034	PF10075.16	NA	100
GML000035	PF13921.13	NA	100
GML000036		NA	100
GML000037		NA	100
GML000038		NA	100
GML000039		NA	100
GML000040	PF24864.1	NA	100
GML000041	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000042	PF07989.17,PF10495.15	GO:0005815	100
GML000043	PF07093.17	NA	100
GML000044		NA	100
GML000045	PF03443.21	NA	100
GML000046		NA	100
GML000047		NA	100
GML000048		NA	100
GML000049		NA	100
GML000050	PF00249.38,PF00249.38,PF13921.13,PF13921.13	NA	100
GML000051	PF00141.29	GO:0004601,GO:0006979,GO:0020037	3
GML000052		NA	100
GML000053	PF01863.24,PF01863.24,PF08325.17,PF08325.17	NA	100
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057	PF06985.18	NA	100
GML000058	PF04607.24,PF04607.24,PF04607.24	GO:0015969	8
GML000059	PF00295.24	GO:0004650,GO:0005975	8
GML000060	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000061	PF01663.28	NA	100
GML000062		NA	100
GML000063		NA	100
GML000064	PF00854.28,PF00854.28	GO:0016020,GO:0022857,GO:0055085	6
GML000065		NA	100
GML000066	PF00646.39,PF08755.17,PF12937.13,PF13369.13	GO:0003677,GO:0005515	4
GML000067	PF00650.26,PF03765.22	NA	100
GML000068	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
