protein_id	length
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA485025	480
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA439557	770
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA8252	625
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA11718	276
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA493886	856
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA493984	494
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA22464	165
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA441875	277
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA31094	354
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA454389	223
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA454682	198
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA40335	445
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA508159	345
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA498164	128
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA48498	72
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA50946	761
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA456392	538
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA508695	977
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA498671	133
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA457526	234
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA457878	88
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA71519	254
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA74314	484
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA458867	349
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA459308	117
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA488620	1151
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA499497	150
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA460205	311
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA460685	755
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA96760	576
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA98962	586
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA102662	524
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA106060	612
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA509936	224
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA113003	351
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA115259	1549
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA494554	304
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA122067	300
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA494747	996
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA128866	232
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA444678	217
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA462810	366
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA500471	375
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA510607	143
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA145295	353
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA148418	216
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA510877	95
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA489598	118
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA501119	518
rna-gnl|WGS:JAJNNX|F4824DRAFT_mRNA489726	360
