gene_id	pfam_ids	go_ids	bin_id
gene-G6514_000001	PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13637.13,PF13857.13	GO:0005515	100
gene-G6514_000002		NA	100
gene-G6514_000003	PF00732.26,PF05199.20,PF05834.19,PF13450.13	GO:0016614,GO:0050660	8
gene-G6514_000004	PF00171.28	GO:0016491	8
gene-G6514_000005	PF12171.15,PF12874.14	NA	100
gene-G6514_000006	PF00135.35	NA	100
gene-G6514_000007	PF00248.28	NA	100
gene-G6514_000008	PF02779.30,PF02780.26	NA	100
gene-G6514_000009	PF01209.25,PF02353.27,PF03141.23,PF08241.19,PF08242.19,PF08498.16,PF13489.13,PF13649.13,PF13847.13	GO:0006694,GO:0008168,GO:0008757	8
gene-G6514_000010	PF00076.29,PF21369.4	GO:0003723	4
gene-G6514_000011	PF13233.13	NA	100
gene-G6514_000012	PF10058.15,PF31016.1	NA	100
gene-G6514_000013	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-G6514_000014	PF02225.28,PF04253.21,PF04389.23	NA	100
gene-G6514_000015	PF03928.21	NA	100
gene-G6514_000016		NA	100
gene-G6514_000017	PF01926.30,PF04548.23	GO:0005525	100
gene-G6514_000018	PF00012.27,PF27034.2	GO:0005524,GO:0016887	8
gene-G6514_000019		NA	100
gene-G6514_000020	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-G6514_000021	PF05730.17,PF20684.4	NA	100
gene-G6514_000022	PF22847.4	NA	100
gene-G6514_000023	PF00225.30	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
gene-G6514_000024	PF03985.19	GO:0006368,GO:0016593	8
gene-G6514_000025	PF04116.20	NA	100
gene-G6514_000026	PF00651.38	GO:0005515	100
gene-G6514_000027	PF01027.27	NA	100
gene-G6514_000028	PF03798.22	GO:0016020	100
gene-G6514_000029	PF00400.39,PF21032.3	GO:0005515	100
gene-G6514_000030	PF00735.25,PF01926.30	GO:0005525	100
gene-G6514_000031		NA	100
gene-G6514_000032	PF13350.12	GO:0004721	8
gene-G6514_000033	PF00288.33,PF08544.19,PF10509.16	GO:0005524	100
gene-G6514_000034	PF08651.16	GO:0000278,GO:0042729,GO:0072686	100
gene-G6514_000035		NA	100
gene-G6514_000036	PF09468.17,PF17745.7	NA	100
gene-G6514_000037	PF09329.17,PF22379.3	GO:0005634,GO:0006260	4
gene-G6514_000038	PF03133.21	GO:0036211	8
gene-G6514_000039	PF05057.22	NA	100
gene-G6514_000040		NA	100
gene-G6514_000041		NA	100
gene-G6514_000042	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-G6514_000043	PF23155.2	NA	100
gene-G6514_000044	PF07690.22	GO:0022857,GO:0055085	6
gene-G6514_000045	PF00083.31,PF00083.31	GO:0016020,GO:0022857,GO:0055085	6
gene-G6514_000046	PF00128.32,PF11309.14	GO:0005975	8
gene-G6514_000047	PF07950.17	NA	100
gene-G6514_000048		NA	100
gene-G6514_000049		NA	100
gene-G6514_000050		NA	100
gene-G6514_000051		NA	100
gene-G6514_000052	PF06733.22,PF06777.18,PF13307.13	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	4
gene-G6514_000053	PF13639.13,PF22958.3,PF22999.3,PF23009.2	NA	100
gene-G6514_000054		NA	100
gene-G6514_000055	PF02100.24	GO:0008073	100
gene-G6514_000056	PF00254.35,PF17800.8	GO:0003755	8
gene-G6514_000057	PF00533.34,PF00817.26,PF11799.14,PF14377.12,PF14377.12,PF14377.12,PF16589.13,PF16727.11,PF21999.3	GO:0003684,GO:0003887,GO:0006281	3
gene-G6514_000058	PF03226.22	NA	100
gene-G6514_000059	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-G6514_000060	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-G6514_000061	PF00307.37,PF00307.37,PF00307.37,PF00307.37,PF13499.13	GO:0005509,GO:0005515	100
gene-G6514_000062	PF04383.20	NA	100
gene-G6514_000063	PF00241.26	GO:0003779	7
gene-G6514_000064	PF00657.29,PF13472.13	GO:0016788	8
gene-G6514_000065	PF00515.35,PF00564.31,PF07719.24,PF13181.13	GO:0005515	100
gene-G6514_000066	PF00080.26,PF00403.33	GO:0006801,GO:0046872	8
gene-G6514_000067	PF00572.25	GO:0003735,GO:0005840,GO:0006412	4
gene-G6514_000068	PF00725.28,PF02737.25	GO:0006631,GO:0016491,GO:0016616,GO:0070403	8
gene-G6514_000069	PF04821.20,PF05029.20,PF27570.2	NA	100
gene-G6514_000070	PF00004.36,PF16450.12,PF17862.8	GO:0005524,GO:0016887	8
gene-G6514_000071		NA	100
gene-G6514_000072	PF02668.23,PF06155.18	GO:0016491	8
gene-G6514_000073	PF10785.15,PF12853.13	NA	100
gene-G6514_000074	PF04851.22,PF13086.13,PF13087.13,PF13245.13,PF16399.12,PF21143.4,PF21144.3	GO:0003677,GO:0004386,GO:0005524,GO:0016787	4
gene-G6514_000075	PF03849.20,PF18307.7	GO:0000439,GO:0001671,GO:0006289	3
gene-G6514_000076	PF03061.29	NA	100
gene-G6514_000077	PF03595.23,PF03595.23	GO:0016020,GO:0055085	6
gene-G6514_000078	PF00454.34,PF02259.30,PF02260.26,PF08771.17,PF11865.15,PF23593.2	GO:0005515,GO:0044877	100
gene-G6514_000079		NA	100
gene-G6514_000080	PF03810.26,PF08506.17	GO:0006886,GO:0031267	6
gene-G6514_000081	PF00270.36,PF00271.38,PF04851.22,PF08148.18,PF17911.7,PF21408.3,PF22527.3	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-G6514_000082	PF07962.18	GO:0005634,GO:0006974,GO:0031297	3
gene-G6514_000083	PF11957.14	NA	100
gene-G6514_000084	PF00046.36	GO:0003677	4
gene-G6514_000085	PF02854.26,PF12152.14	GO:0003723,GO:0005515	4
gene-G6514_000086		NA	100
gene-G6514_000087	PF00753.34	NA	100
gene-G6514_000088	PF00775.28,PF04444.20	GO:0003824,GO:0005506,GO:0008199,GO:0009712,GO:0018576	8
gene-G6514_000089	PF11927.15	NA	100
gene-G6514_000090	PF03248.19	GO:0016020	100
gene-G6514_000091	PF00378.26,PF16113.11	NA	100
gene-G6514_000092	PF01794.26,PF08022.19	GO:0016491	8
gene-G6514_000093		NA	100
gene-G6514_000094	PF00173.34	NA	100
gene-G6514_000095		NA	100
gene-G6514_000096		NA	100
gene-G6514_000097		NA	100
gene-G6514_000098	PF11705.14	GO:0006383	8
gene-G6514_000099		NA	100
gene-G6514_000100		NA	100
gene-G6514_000101	PF00724.27	GO:0010181,GO:0016491	8
gene-G6514_000102	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-G6514_000103		NA	100
gene-G6514_000104	PF00109.33,PF01648.26,PF02801.29,PF18314.7,PF18325.8	GO:0000287,GO:0008897	8
gene-G6514_000105	PF00698.27,PF01575.26,PF08354.16,PF13452.12,PF16073.11,PF17828.7,PF17951.7,PF22235.2	GO:0004318,GO:0019171	8
gene-G6514_000106		NA	100
gene-G6514_000107	PF05187.20,PF13450.13,PF21162.4	GO:0051536	100
gene-G6514_000108	PF00076.29,PF00076.29	GO:0003723	4
gene-G6514_000109		NA	100
gene-G6514_000110		NA	100
gene-G6514_000111		NA	100
gene-G6514_000112	PF00561.27,PF12697.14	NA	100
gene-G6514_000113		NA	100
gene-G6514_000114	PF00856.34	GO:0005515	100
gene-G6514_000115	PF10281.15,PF10281.15,PF10281.15	NA	100
gene-G6514_000116		NA	100
gene-G6514_000117		NA	100
gene-G6514_000118	PF01545.27	NA	100
gene-G6514_000119	PF15159.12	NA	100
gene-G6514_000120		NA	100
gene-G6514_000121		NA	100
gene-G6514_000122		NA	100
gene-G6514_000123	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-G6514_000124		NA	100
gene-G6514_000125	PF02469.28,PF02469.28	NA	100
gene-G6514_000126		NA	100
gene-G6514_000127	PF01488.27,PF08501.17,PF18317.7	GO:0004764	8
gene-G6514_000128		NA	100
gene-G6514_000129		NA	100
gene-G6514_000130		NA	100
gene-G6514_000131		NA	100
gene-G6514_000132		NA	100
gene-G6514_000133	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-G6514_000134	PF01103.30	GO:0019867	100
gene-G6514_000135	PF00179.32	NA	100
gene-G6514_000136	PF03134.25	NA	100
gene-G6514_000137		NA	100
gene-G6514_000138	PF28122.1	NA	100
gene-G6514_000139	PF11309.14	NA	100
gene-G6514_000140	PF00149.34,PF21953.2	GO:0016787	8
