gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005		NA	100
GML000006	PF01753.25	NA	100
GML000007		NA	100
GML000008	PF01753.25	NA	100
GML000009		NA	100
GML000010		NA	100
GML000011	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000012	PF18758.8,PF18758.8,PF18758.8,PF18802.7,PF18802.7,PF18802.7	NA	100
GML000013	PF02902.26	GO:0006508,GO:0008234	5
GML000014		NA	100
GML000015		NA	100
GML000016	PF18802.7	NA	100
GML000017	PF18758.8,PF18758.8,PF18758.8,PF18758.8	NA	100
GML000018		NA	100
GML000019		NA	100
GML000020		NA	100
GML000021	PF02178.25,PF02178.25	GO:0003677	4
GML000022		NA	100
GML000023		NA	100
GML000024		NA	100
GML000025		NA	100
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031		NA	100
GML000032	PF00078.33,PF00078.33,PF08284.17,PF08284.17,PF08284.17,PF30863.1,PF30863.1,PF30863.1	NA	1
GML000033	PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF24626.2	NA	1
GML000034		NA	100
GML000035		NA	100
GML000036		NA	100
GML000037	PF00078.33,PF00078.33,PF00078.33,PF17917.8,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17919.8,PF17921.8,PF17921.8,PF17921.8,PF24626.2,PF24626.2,PF24626.2,PF30863.1,PF30863.1,PF30863.1	NA	1
GML000038	PF00264.26,PF00264.26	GO:0016491	8
GML000039		NA	100
GML000040		NA	100
GML000041	PF01042.27	NA	100
GML000042		NA	100
GML000043		NA	100
GML000044	PF01753.25	NA	100
GML000045		NA	100
GML000046	PF14613.13,PF19343.6	NA	100
GML000047		NA	100
GML000048	PF20149.5	NA	100
GML000049	PF18759.8,PF18759.8,PF18759.8	NA	100
GML000050		NA	100
GML000051		NA	100
GML000052	PF00264.26	GO:0016491	8
GML000053	PF00481.27	NA	100
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057		NA	100
GML000058		NA	100
GML000059		NA	100
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063	PF01676.24,PF06415.19	GO:0003824,GO:0004619,GO:0005737,GO:0006007,GO:0030145,GO:0046872	8
GML000064	PF18758.8	NA	100
GML000065		NA	100
GML000066		NA	100
GML000067	PF18758.8,PF18803.7	NA	100
GML000068		NA	100
GML000069		NA	100
GML000070		NA	100
GML000071		NA	100
GML000072		NA	100
GML000073		NA	100
GML000074	PF09362.16	NA	100
GML000075		NA	100
GML000076		NA	100
GML000077		NA	100
GML000078		NA	100
GML000079		NA	100
GML000080		NA	100
GML000081	PF00646.39,PF12937.13	GO:0005515	100
GML000082		NA	100
GML000083		NA	100
GML000084		NA	100
GML000085		NA	100
GML000086		NA	100
GML000087	PF02732.22	GO:0003677	4
GML000088	PF01753.25	NA	100
GML000089		NA	100
GML000090	PF00646.39,PF12937.13	GO:0005515	100
GML000091		NA	100
GML000092		NA	100
GML000093	PF01753.25	NA	100
GML000094	PF01595.26,PF01595.26	NA	100
GML000095		NA	100
GML000096		NA	100
GML000097		NA	100
GML000098	PF01595.26	NA	100
GML000099		NA	100
GML000100	PF20151.5,PF20151.5,PF20151.5	NA	100
GML000101	PF12770.13,PF13374.13,PF13374.13	NA	100
GML000102	PF00004.36,PF00004.36,PF00004.36,PF22942.2,PF22942.2,PF22942.2	GO:0005524,GO:0016887	8
GML000103		NA	100
GML000104	PF00069.32,PF00069.32,PF00069.32,PF05773.28,PF07714.24,PF07714.24,PF07714.24,PF12745.13	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000105	PF04752.18	GO:0006751,GO:0061928	8
GML000106	PF05958.18,PF09445.17	GO:0001510,GO:0006396,GO:0008168,GO:0008173,GO:0036261	8
GML000107	PF01738.25	GO:0016787	8
GML000108	PF01738.25	GO:0016787	8
GML000109	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000110		NA	100
GML000111	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000112		NA	100
GML000113	PF00069.32,PF00069.32,PF01073.26,PF01073.26,PF01073.26,PF01370.28,PF01370.28,PF01370.28,PF05368.20,PF05368.20,PF05368.20,PF07993.19,PF07993.19,PF07993.19,PF13460.13,PF13460.13,PF13460.13,PF16363.12,PF16363.12,PF16363.12	GO:0004672,GO:0005524,GO:0006468,GO:0006694,GO:0016616	3
GML000114		NA	100
GML000115		NA	100
GML000116	PF03061.29	NA	100
GML000117	PF10601.15,PF10601.15	NA	100
GML000118	PF10294.16,PF10294.16,PF12770.13,PF12770.13,PF12770.13,PF12770.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13	NA	100
GML000119	PF01112.24,PF01112.24,PF01112.24,PF01112.24,PF01112.24,PF01112.24	GO:0016787	8
GML000120	PF12770.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13	NA	100
GML000121		NA	100
GML000122		NA	100
GML000123		NA	100
GML000124	PF05572.20	NA	100
GML000125	PF05572.20,PF13582.13	NA	100
GML000126		NA	100
GML000127		NA	100
GML000128	PF10601.15,PF10601.15	NA	100
GML000129	PF10601.15,PF10601.15,PF10601.15	NA	100
GML000130		NA	100
GML000131		NA	100
GML000132		NA	100
GML000133		NA	100
GML000134	PF01248.32	NA	100
GML000135		NA	100
GML000136	PF19272.5,PF19272.5	NA	100
GML000137	PF12937.13	GO:0005515	100
GML000138		NA	100
GML000139	PF00128.32	GO:0005975	8
GML000140	PF22741.2,PF22784.2,PF22785.2	NA	100
GML000141	PF08672.18,PF08672.18,PF08672.18,PF25773.2,PF25773.2,PF25773.2,PF26557.1,PF26557.1,PF26557.1	NA	100
GML000142		NA	100
GML000143	PF13409.13,PF13417.13,PF22041.2	NA	100
GML000144	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000145	PF12937.13	GO:0005515	100
GML000146	PF00149.34,PF19272.5	GO:0016787	8
