protein_id	length
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA1	1345
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA101	149
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA3561	370
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA3661	143
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA5619	554
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6876	1043
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA7582	516
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA8204	481
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA8304	801
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA8848	315
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA9401	165
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA9905	96
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA254	1141
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA696	174
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA1099	711
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA1470	144
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA2122	326
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA2447	128
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA2766	739
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA3078	621
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA3377	167
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA3923	448
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA4151	140
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA4384	470
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA4593	526
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA4791	1414
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA4987	421
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA5263	685
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA5454	249
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA5731	99
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA5968	619
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6130	139
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6288	760
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6482	105
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6622	215
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA6772	402
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA7002	504
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA7122	188
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA7230	751
rna-gnl|WGS:JAZBRW|VTK56DRAFT_mRNA7330	1048
