gene_id	pfam_ids	go_ids	bin_id
gene-TREMEDRAFT_58011		NA	100
gene-TREMEDRAFT_41409	PF07651.23	GO:0005543	100
gene-TREMEDRAFT_58013		NA	100
gene-TREMEDRAFT_58014		NA	100
gene-TREMEDRAFT_58016		NA	100
gene-TREMEDRAFT_58018		NA	100
gene-TREMEDRAFT_58019		NA	100
gene-TREMEDRAFT_58020		NA	100
gene-TREMEDRAFT_26182		NA	100
gene-TREMEDRAFT_58024		NA	100
gene-TREMEDRAFT_26133		NA	100
gene-TREMEDRAFT_58027		NA	100
gene-TREMEDRAFT_26069	PF16787.11	GO:0003677	4
gene-TREMEDRAFT_58030		NA	100
gene-TREMEDRAFT_58032		NA	100
gene-TREMEDRAFT_58033		NA	100
gene-TREMEDRAFT_58035		NA	100
gene-TREMEDRAFT_58036		NA	100
gene-TREMEDRAFT_58037		NA	100
gene-TREMEDRAFT_58039		NA	100
gene-TREMEDRAFT_24082		NA	100
gene-TREMEDRAFT_66620	PF14938.13	GO:0006886	6
gene-TREMEDRAFT_58042	PF00642.31,PF00642.31	GO:0046872	100
gene-TREMEDRAFT_58043		NA	100
gene-TREMEDRAFT_58044	PF04824.22,PF04825.19	GO:0005515	100
gene-TREMEDRAFT_58045		NA	100
gene-TREMEDRAFT_58046		NA	100
gene-TREMEDRAFT_25459	PF00134.29,PF16899.11	NA	100
gene-TREMEDRAFT_66622	PF09451.17	NA	100
gene-TREMEDRAFT_25289	PF00400.39,PF00400.39,PF28639.1	GO:0005515	100
gene-TREMEDRAFT_26921	PF10391.16,PF14716.14,PF14791.12,PF14792.13	GO:0003677,GO:0034061	4
gene-TREMEDRAFT_26845	PF01243.28,PF16242.12	NA	100
gene-TREMEDRAFT_58053		NA	100
gene-TREMEDRAFT_58054		NA	100
gene-TREMEDRAFT_58056		NA	100
gene-TREMEDRAFT_58057		NA	100
gene-TREMEDRAFT_26735		NA	100
gene-TREMEDRAFT_58059		NA	100
gene-TREMEDRAFT_58061		NA	100
gene-TREMEDRAFT_58062		NA	100
gene-TREMEDRAFT_26117	PF00078.33,PF08284.17,PF13650.12,PF13975.12	NA	1
gene-TREMEDRAFT_58068		NA	100
gene-TREMEDRAFT_41411	PF00081.28,PF02777.24	GO:0004784,GO:0006801,GO:0046872	8
gene-TREMEDRAFT_36330	PF02966.23	GO:0000398,GO:0046540	8
gene-TREMEDRAFT_72606	PF04056.21,PF07975.19,PF13519.13	GO:0006281,GO:0008270	3
gene-TREMEDRAFT_55770		NA	100
gene-TREMEDRAFT_41420	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-TREMEDRAFT_72608		NA	100
gene-TREMEDRAFT_58074		NA	100
gene-TREMEDRAFT_58075		NA	100
gene-TREMEDRAFT_72610		NA	100
gene-TREMEDRAFT_70589	PF00627.38,PF00632.31,PF06012.18,PF06025.18,PF14377.12,PF14377.12,PF22562.3	GO:0004842	5
gene-TREMEDRAFT_58079		NA	100
gene-TREMEDRAFT_55774		NA	100
gene-TREMEDRAFT_58084		NA	100
gene-TREMEDRAFT_41427	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-TREMEDRAFT_66633	PF09739.15	NA	100
gene-TREMEDRAFT_66634	PF00006.32,PF02874.30,PF22919.2	GO:0005524,GO:0046034,GO:1902600	6
gene-TREMEDRAFT_25035	PF01168.27	NA	100
gene-TREMEDRAFT_41430	PF08920.16,PF13513.13,PF22646.3	NA	100
gene-TREMEDRAFT_36349	PF01633.27,PF01636.30	NA	100
gene-TREMEDRAFT_58092	PF11790.15	NA	100
gene-TREMEDRAFT_24527	PF00646.39,PF07393.18,PF12937.13	GO:0005515	100
gene-TREMEDRAFT_26490	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-TREMEDRAFT_70593	PF06888.19	GO:0016791	8
gene-TREMEDRAFT_26605	PF05047.23	NA	100
gene-TREMEDRAFT_41437	PF00339.35,PF02752.28	NA	100
gene-TREMEDRAFT_24419	PF03009.24	GO:0006629,GO:0008081	8
gene-TREMEDRAFT_36357	PF01553.27	GO:0016746	8
gene-TREMEDRAFT_41442	PF05022.18	NA	100
gene-TREMEDRAFT_72619	PF00696.34,PF13840.13,PF22468.3	NA	100
gene-TREMEDRAFT_70597	PF09766.15	NA	100
gene-TREMEDRAFT_58102	PF01476.27	NA	100
gene-TREMEDRAFT_66648	PF12896.13	NA	100
gene-TREMEDRAFT_55784		NA	100
gene-TREMEDRAFT_58104	PF21816.4,PF23561.2	GO:0008270	100
gene-TREMEDRAFT_70598	PF00171.28,PF05893.20	GO:0003995,GO:0008218,GO:0016491	8
gene-TREMEDRAFT_70599	PF00637.27,PF23411.2,PF23556.2	NA	100
gene-TREMEDRAFT_55788		NA	100
gene-TREMEDRAFT_58108		NA	100
gene-TREMEDRAFT_58109		NA	100
gene-TREMEDRAFT_58110		NA	100
gene-TREMEDRAFT_58111		NA	100
gene-TREMEDRAFT_58112		NA	100
gene-TREMEDRAFT_58113		NA	100
gene-TREMEDRAFT_58114		NA	100
gene-TREMEDRAFT_58115		NA	100
gene-TREMEDRAFT_58116		NA	100
gene-TREMEDRAFT_25138	PF01498.25,PF13358.13,PF13384.13	GO:0003677,GO:0006313,GO:0015074	1
gene-TREMEDRAFT_58118		NA	100
gene-TREMEDRAFT_58120		NA	100
gene-TREMEDRAFT_58123		NA	100
gene-TREMEDRAFT_58124		NA	100
gene-TREMEDRAFT_55789		NA	100
gene-TREMEDRAFT_58125		NA	100
gene-TREMEDRAFT_58126		NA	100
gene-TREMEDRAFT_66653	PF00704.35	GO:0005975	8
gene-TREMEDRAFT_55792		NA	100
gene-TREMEDRAFT_26073	PF01351.26	GO:0004523	1
gene-TREMEDRAFT_66656	PF03914.24,PF07540.17	NA	100
gene-TREMEDRAFT_58130		NA	100
gene-TREMEDRAFT_25441		NA	100
gene-TREMEDRAFT_23406	PF08573.16	GO:0006281	3
gene-TREMEDRAFT_25219	PF04880.19	NA	100
gene-TREMEDRAFT_25698	PF00097.32,PF08647.18,PF26095.1	GO:0046872	100
