protein_id	length
rna-gnl|WGS:LFRF|TOPH_00001-RA	155
rna-gnl|WGS:LFRF|TOPH_00101-RA	697
rna-gnl|WGS:LFRF|TOPH_00203-RA	205
rna-gnl|WGS:LFRF|TOPH_00303-RA	823
rna-gnl|WGS:LFRF|TOPH_00403-RA	332
rna-gnl|WGS:LFRF|TOPH_00503-RA	280
rna-gnl|WGS:LFRF|TOPH_00603-RA	260
rna-gnl|WGS:LFRF|TOPH_00704-RA	86
rna-gnl|WGS:LFRF|TOPH_00806-RA	366
rna-gnl|WGS:LFRF|TOPH_00907-RA	412
rna-gnl|WGS:LFRF|TOPH_01008-RA	274
rna-gnl|WGS:LFRF|TOPH_01108-RA	315
rna-gnl|WGS:LFRF|TOPH_01210-RA	120
rna-gnl|WGS:LFRF|TOPH_01312-RA	293
rna-gnl|WGS:LFRF|TOPH_04483-RA	211
rna-gnl|WGS:LFRF|TOPH_04584-RA	487
rna-gnl|WGS:LFRF|TOPH_04672-RA	241
rna-gnl|WGS:LFRF|TOPH_04775-RA	371
rna-gnl|WGS:LFRF|TOPH_09282-RA	356
rna-gnl|WGS:LFRF|TOPH_04967-RA	508
rna-gnl|WGS:LFRF|TOPH_05062-RA	746
rna-gnl|WGS:LFRF|TOPH_05163-RA	715
rna-gnl|WGS:LFRF|TOPH_05258-RA	320
rna-gnl|WGS:LFRF|TOPH_05358-RA	497
rna-gnl|WGS:LFRF|TOPH_05455-RA	371
rna-gnl|WGS:LFRF|TOPH_05558-RA	276
rna-gnl|WGS:LFRF|TOPH_05657-RA	346
rna-gnl|WGS:LFRF|TOPH_05758-RB_mrna	449
rna-gnl|WGS:LFRF|TOPH_05857-RA	319
rna-gnl|WGS:LFRF|TOPH_05956-RA	389
rna-gnl|WGS:LFRF|TOPH_06056-RA	143
rna-gnl|WGS:LFRF|TOPH_06161-RA	244
rna-gnl|WGS:LFRF|TOPH_01401-RA	490
rna-gnl|WGS:LFRF|TOPH_01503-RA	117
rna-gnl|WGS:LFRF|TOPH_01606-RA	458
rna-gnl|WGS:LFRF|TOPH_01707-RA	263
rna-gnl|WGS:LFRF|TOPH_01808-RA	407
rna-gnl|WGS:LFRF|TOPH_01909-RA	1428
rna-gnl|WGS:LFRF|TOPH_06243-RA	343
rna-gnl|WGS:LFRF|TOPH_06345-RA	2147
rna-gnl|WGS:LFRF|TOPH_06450-RA	64
rna-gnl|WGS:LFRF|TOPH_06551-RA	227
rna-gnl|WGS:LFRF|TOPH_06653-RA	153
rna-gnl|WGS:LFRF|TOPH_06755-RA	154
rna-gnl|WGS:LFRF|TOPH_06858-RA	1577
rna-gnl|WGS:LFRF|TOPH_06959-RA	768
rna-gnl|WGS:LFRF|TOPH_07063-RA	488
rna-gnl|WGS:LFRF|TOPH_07163-RA	1833
rna-gnl|WGS:LFRF|TOPH_07265-RA	539
rna-gnl|WGS:LFRF|TOPH_07368-RA	502
rna-gnl|WGS:LFRF|TOPH_02033-RA	344
rna-gnl|WGS:LFRF|TOPH_02134-RA	250
rna-gnl|WGS:LFRF|TOPH_02234-RA	763
rna-gnl|WGS:LFRF|TOPH_02337-RA	835
rna-gnl|WGS:LFRF|TOPH_02437-RA	232
rna-gnl|WGS:LFRF|TOPH_07487-RA	595
rna-gnl|WGS:LFRF|TOPH_07591-RA	520
rna-gnl|WGS:LFRF|TOPH_07692-RA	238
rna-gnl|WGS:LFRF|TOPH_07793-RA	638
rna-gnl|WGS:LFRF|TOPH_07895-RA	114
rna-gnl|WGS:LFRF|TOPH_07996-RA	593
rna-gnl|WGS:LFRF|TOPH_08097-RA	489
rna-gnl|WGS:LFRF|TOPH_02498-RA	1376
rna-gnl|WGS:LFRF|TOPH_02599-RA	306
rna-gnl|WGS:LFRF|TOPH_02701-RA	152
rna-gnl|WGS:LFRF|TOPH_02803-RA	472
rna-gnl|WGS:LFRF|TOPH_08189-RA	352
rna-gnl|WGS:LFRF|TOPH_08290-RA	115
rna-gnl|WGS:LFRF|TOPH_08394-RA	192
rna-gnl|WGS:LFRF|TOPH_08496-RA	452
rna-gnl|WGS:LFRF|TOPH_08598-RA	109
rna-gnl|WGS:LFRF|TOPH_02926-RA	1156
rna-gnl|WGS:LFRF|TOPH_03029-RA	226
rna-gnl|WGS:LFRF|TOPH_03134-RA	524
rna-gnl|WGS:LFRF|TOPH_03236-RA	226
rna-gnl|WGS:LFRF|TOPH_08758-RA	705
rna-gnl|WGS:LFRF|TOPH_08862-RA	917
rna-gnl|WGS:LFRF|TOPH_08966-RA	239
rna-gnl|WGS:LFRF|TOPH_03292-RA	520
rna-gnl|WGS:LFRF|TOPH_03392-RA	396
rna-gnl|WGS:LFRF|TOPH_03493-RA	251
rna-gnl|WGS:LFRF|TOPH_03595-RA	896
rna-gnl|WGS:LFRF|TOPH_09137-RA	430
rna-gnl|WGS:LFRF|TOPH_03662-RA	532
rna-gnl|WGS:LFRF|TOPH_03763-RA	348
rna-gnl|WGS:LFRF|TOPH_03864-RA	354
rna-gnl|WGS:LFRF|TOPH_09221-RA	1100
rna-gnl|WGS:LFRF|TOPH_04007-RA	828
rna-gnl|WGS:LFRF|TOPH_04108-RA	323
rna-gnl|WGS:LFRF|TOPH_04208-RA	545
rna-gnl|WGS:LFRF|TOPH_04288-RA	249
rna-gnl|WGS:LFRF|TOPH_04389-RA	88
